participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,1,0.06,0.225555556,1,0,0,18.324,Peridotite_13,7,13,5,5,18.324,0.123333333,-0.252222222,1,0,0,4.974,Diorite_rect,3,4.974,0,0,0,0,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,2,0.24,0.26,1,0,0,3.258,Pegmatite_08,6,08,5,6,3.258,0.106666667,-0.256666667,1,0,0,2.712,Diorite_rect,3,2.712,0,1,0,1,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,3,0.393333333,0.26,1,0,0,2.095,Andesite_05,1,05,5,7,2.095,-0.157777778,-0.242222222,1,0,0,3.557,Basalt_rect,2,3.557,0,2,0,2,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,4,0.558888889,0.27,1,0,0,3.61,Gabbro_14,4,14,5,8,3.61,-0.38,-0.25,1,0,0,3.776,Andesite_rect,1,3.776,0,3,0,3,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,5,0.601111111,0.081111111,1,0,0,4.21,Pegmatite_10,6,10,4,8,4.21,-0.397777778,-0.241111111,1,0,0,6.723,Andesite_rect,1,6.723,0,4,0,4,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,6,0.102222222,0.244444444,1,0,0,5.902,Peridotite_13,7,13,5,5,5.902,0.097777778,-0.415555556,1,0,0,2.404,Peridotite_rect,7,2.404,1,5,0,5,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,7,0.247777778,0.27,1,0,0,1.497,Pegmatite_08,6,08,5,6,1.497,0.356666667,-0.237777778,1,0,0,6.263,Gabbro_rect,4,6.263,0,6,0,6,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,8,0.4,0.252222222,1,0,0,2.13,Andesite_05,1,05,5,7,2.13,0.364444444,-0.255555556,1,0,0,1.94,Gabbro_rect,4,1.94,0,7,0,7,0,1,,,,,,,,,,,,,
58b2338a898c2e0001a5ca56,SCN,2024-06-21_10h49.34.471,LearnStrategy,2023.2.3,Linux x86_64,58.2072177,1,1,9,0.55,0.253333333,1,0,0,1.288,Gabbro_14,4,14,5,8,1.288,0.383333333,-0.264444444,1,0,0,1.811,Gabbro_rect,4,1.811,1,8,0,8,0,1,,,,,,,,,,,,,
