participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,0.238095238,-0.078095238,1,0,0,3.4864,Obsidian_06,5,06,3,6,3.486,7,06,-0.373333333,-0.24,1,0,0,9.2282,Andesite_rect,1,9.228,0,0,0,0,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.217142857,0.255238095,1,0,0,1.4991,Gabbro_14,4,14,5,6,1.499,4,14,-0.387619048,-0.25047619,1,0,0,3.4711,Andesite_rect,1,3.471,0,1,0,1,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,-0.224761905,-0.094285714,1,0,0,1.401,Diorite_16,3,16,3,3,1.401,3,16,-0.325714286,-0.248571429,1,0,0,3.6703,Andesite_rect,1,3.67,0,2,0,2,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,0.397142857,0.251428571,1,0,0,3.5563,Obsidian_05,5,05,5,7,3.556,5,05,-0.376190476,-0.240952381,1,0,0,1.9268,Andesite_rect,1,1.927,0,3,0,3,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,-0.224761905,0.404761905,1,0,0,4.5755,Obsidian_07,5,07,6,3,4.576,2,04,-0.353333333,-0.38952381,1,0,0,2.347,Obsidian_rect,5,2.347,1,4,0,4,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.559047619,0.414285714,1,0,0,1.3171,Basalt_11,2,11,6,1,1.317,2,11,0.38952381,-0.397142857,1,0,0,2.7519,Pumice_rect,8,2.752,0,5,0,5,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.398095238,-0.408571429,1,0,0,3.8244,Pumice_15,8,15,1,2,3.824,5,07,0.365714286,-0.4,1,0,0,1.272,Pumice_rect,8,1.272,1,6,0,6,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.42,-0.263809524,1,0,0,2.0005,Pegmatite_08,6,08,2,7,2,4,08,0.145714286,-0.241904762,1,0,0,1.3932,Diorite_rect,3,1.393,0,7,0,7,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,0.527619048,0.080952381,1,0,0,2.7041,Pumice_03,8,03,4,8,2.704,8,03,0.34952381,-0.404761905,1,0,0,1.6945,Pumice_rect,8,1.695,1,8,0,8,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,10,-0.383809524,0.267619048,1,0,0,1.2333,Pegmatite_06,6,06,5,2,1.233,6,06,-0.34952381,-0.248571429,1,0,0,1.4823,Andesite_rect,1,1.482,0,9,0,9,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,11,0.560952381,0.257142857,1,0,0,2.7549,Andesite_07,1,07,5,8,2.755,1,07,0.1,-0.248571429,1,0,0,6.0581,Diorite_rect,3,6.058,0,10,0,10,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,12,-0.202857143,-0.09047619,1,0,0,1.8016,Diorite_16,3,16,3,3,1.802,8,06,-0.375238095,-0.241904762,1,0,0,0.8183,Andesite_rect,1,0.818,0,11,0,11,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,13,0.066666667,-0.087619048,1,0,0,1.5674,Diorite_02,3,02,3,5,1.567,1,11,-0.334285714,-0.266666667,1,0,0,1.1144,Andesite_rect,1,1.114,0,12,0,12,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,14,-0.396190476,-0.255238095,1,0,0,2.0311,Obsidian_02,5,02,2,2,2.031,7,12,-0.396190476,-0.255238095,1,0,0,0.9972,Andesite_rect,1,0.997,0,13,0,13,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,15,0.531428571,-0.243809524,1,0,0,2.3535,Pegmatite_11,6,11,2,8,2.353,6,11,-0.103809524,-0.408571429,1,0,0,2.8359,Pegmatite_rect,6,2.836,1,14,0,14,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,16,-0.218095238,0.265714286,1,0,0,1.4184,Diorite_15,3,15,5,3,1.418,3,15,-0.173333333,-0.237142857,1,0,0,3.2218,Basalt_rect,2,3.222,0,15,0,15,0,1,,,,,,,,,,,,,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,1,,,,,,,,3,14,,,,,,,,,,,,,3,5.761,1,,,,,,0.138095238,-0.242857143,1,0,0,5.7615,Diorite_rect,0,0,0,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,2,,,,,,,,4,11,,,,,,,,,,,,,2,3.637,0,,,,,,-0.151428571,-0.236190476,1,0,0,3.6372,Basalt_rect,1,0,1,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,3,,,,,,,,7,14,,,,,,,,,,,,,2,2.803,0,,,,,,-0.151428571,-0.236190476,1,0,0,2.8027,Basalt_rect,2,0,2,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,4,,,,,,,,1,02,,,,,,,,,,,,,2,4.843,0,,,,,,-0.113333333,-0.248571429,1,0,0,4.8427,Basalt_rect,3,0,3,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,5,,,,,,,,7,16,,,,,,,,,,,,,4,2.216,0,,,,,,0.362857143,-0.261904762,1,0,0,2.2161,Gabbro_rect,4,0,4,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,6,,,,,,,,3,13,,,,,,,,,,,,,2,1.983,0,,,,,,-0.046666667,-0.24952381,1,0,0,1.9829,Basalt_rect,5,0,5,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,7,,,,,,,,5,08,,,,,,,,,,,,,6,3.61,0,,,,,,-0.085714286,-0.381904762,1,0,0,3.6102,Pegmatite_rect,6,0,6,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,8,,,,,,,,2,08,,,,,,,,,,,,,5,3.288,0,,,,,,-0.342857143,-0.400952381,1,0,0,3.2882,Obsidian_rect,7,0,7,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,9,,,,,,,,4,13,,,,,,,,,,,,,3,9.311,0,,,,,,0.153333333,-0.259047619,1,0,0,9.3115,Diorite_rect,8,0,8,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,10,,,,,,,,6,05,,,,,,,,,,,,,6,4.422,1,,,,,,-0.061904762,-0.41047619,1,0,0,4.4223,Pegmatite_rect,9,0,9,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,11,,,,,,,,1,01,,,,,,,,,,,,,2,5.477,0,,,,,,-0.161904762,-0.255238095,1,0,0,5.4769,Basalt_rect,10,0,10,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,12,,,,,,,,5,12,,,,,,,,,,,,,7,1.78,0,,,,,,0.040952381,-0.397142857,1,0,0,1.7797,Peridotite_rect,11,0,11,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,13,,,,,,,,8,04,,,,,,,,,,,,,2,3.806,0,,,,,,-0.086666667,-0.26,1,0,0,3.8059,Basalt_rect,12,0,12,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,14,,,,,,,,8,13,,,,,,,,,,,,,2,1.634,0,,,,,,-0.088571429,-0.26,1,0,0,1.6339,Basalt_rect,13,0,13,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,15,,,,,,,,6,13,,,,,,,,,,,,,4,2.368,0,,,,,,0.344761905,-0.268571429,1,0,0,2.3683,Gabbro_rect,14,0,14,0,1,
591d369e88bbb500013a8517,SCR,2024-06-21_11h02.31.616,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,16,,,,,,,,2,02,,,,,,,,,,,,,2,1.517,1,,,,,,-0.078095238,-0.26,1,0,0,1.5169,Basalt_rect,15,0,15,0,1,
