participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,-0.252222222,-0.274444444,1,0,0,3.4825,Andesite_11,1,11,2,3,3.482,1,11,-0.14,-0.242222222,1,0,0,11.6126,Basalt_rect,2,11.613,0,0,0,0,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.198888889,0.281111111,1,0,0,1.6472,Pegmatite_12,6,12,5,6,1.647,6,12,0.1,-0.39,1,0,0,9.1344,Peridotite_rect,7,9.134,0,1,0,1,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,0.242222222,-0.063333333,1,0,0,1.8963,Basalt_12,2,12,3,6,1.896,2,12,0.413333333,-0.384444444,1,0,0,8.1229,Pumice_rect,8,8.123,0,2,0,2,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.542222222,0.398888889,1,0,0,2.1074,Pegmatite_15,6,15,6,1,2.107,6,15,-0.432222222,-0.385555556,1,0,0,17.4486,Obsidian_rect,5,17.449,0,3,0,3,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,-0.368888889,0.377777778,1,0,0,1.9947,Peridotite_02,7,02,6,2,1.995,7,02,0.133333333,-0.23,1,0,0,19.2349,Diorite_rect,3,19.235,0,4,0,4,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.382222222,-0.407777778,1,0,0,2.0598,Gabbro_09,4,09,1,2,2.06,4,09,-0.182222222,-0.242222222,1,0,0,3.7075,Basalt_rect,2,3.707,0,5,0,5,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.078888889,-0.384444444,1,0,0,1.5952,Peridotite_10,7,10,1,4,1.595,7,10,0.114444444,-0.245555556,1,0,0,15.6354,Diorite_rect,3,15.635,0,6,0,6,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.09,0.103333333,1,0,0,1.0624,Gabbro_13,4,13,4,5,1.062,4,13,0.388888889,-0.247777778,1,0,0,6.923,Gabbro_rect,4,6.923,1,7,0,7,0,1,,,,,,,,,,,,,
5a3e5d407a3e3a0001dd3f7c,SCR,2024-06-21_13h47.24.790,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.228888889,0.233333333,1,0,0,1.5964,Obsidian_14,5,14,5,3,1.596,5,14,-0.105555556,-0.238888889,1,0,0,5.536,Basalt_rect,2,5.536,0,8,0,8,0,1,,,,,,,,,,,,,
