participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,1,-0.384114583,-0.09765625,1,0,0,5.8234,Peridotite_05,7,05,3,2,5.823,7,05,0.145833333,-0.420572917,1,0,0,6.9698,Peridotite_rect,7,6.97,1,0,0,0,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,2,-0.09375,-0.095052083,1,0,0,1.6431,Pumice_02,8,02,3,4,1.643,8,02,-0.326822917,-0.407552083,1,0,0,3.2436,Obsidian_rect,5,3.244,0,1,0,1,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,3,-0.233072917,0.25,1,0,0,2.0113,Pumice_15,8,15,5,3,2.011,8,15,-0.079427083,-0.2421875,1,0,0,3.6019,Basalt_rect,2,3.602,0,2,0,2,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,4,0.41015625,-0.30859375,1,0,0,1.4819,Gabbro_01,4,01,2,7,1.482,4,01,0.194010417,-0.412760417,1,0,0,2.3702,Peridotite_rect,7,2.37,0,3,0,3,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,5,-0.229166667,-0.463541667,1,0,0,1.097,Basalt_16,2,16,1,3,1.097,2,16,-0.330729167,-0.239583333,1,0,0,2.3831,Andesite_rect,1,2.383,0,4,0,4,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,6,0.532552083,-0.283854167,1,0,0,1.4157,Pegmatite_06,6,06,2,8,1.416,6,06,-0.063802083,-0.40234375,1,0,0,5.9566,Pegmatite_rect,6,5.957,1,5,0,5,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,7,-0.095052083,0.1171875,1,0,0,0.9071,Basalt_12,2,12,4,4,0.907,2,12,0.41796875,-0.412760417,1,0,0,2.506,Pumice_rect,8,2.506,0,6,0,6,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,8,-0.5390625,0.389322917,1,0,0,1.7812,Andesite_02,1,02,6,1,1.781,1,02,0.153645833,-0.23828125,1,0,0,4.0785,Diorite_rect,3,4.078,0,7,0,7,0,1,,,,,,,,,,,,,
5b9c2c816f92f30001ecce7a,SCR,2024-06-11_12h18.01.124,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,9,-0.05859375,-0.209635417,1,0,0,0.8197,Diorite_09,3,09,2,4,0.82,3,09,0.158854167,-0.243489583,1,0,0,4.741,Diorite_rect,3,4.741,1,8,0,8,0,1,,,,,,,,,,,,,
