participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,1,0.282222222,0.113333333,1,0,0,4.548,Diorite_14,3,14,4,6,4.548,-0.118888889,-0.25,1,0,0,4.096,Basalt_rect,2,4.096,0,0,0,0,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,2,0.406666667,-0.407777778,1,0,0,4.696,Obsidian_04,5,04,1,7,4.696,-0.17,-0.243333333,1,0,0,4.17,Basalt_rect,2,4.17,0,1,0,1,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,3,0.231111111,0.257777778,1,0,0,4.976,Pumice_09,8,09,5,6,4.976,0.41,-0.258888889,1,0,0,1.673,Gabbro_rect,4,1.673,0,2,0,2,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,4,-0.524444444,-0.257777778,1,0,0,6.774,Pegmatite_16,6,16,2,1,6.774,-0.456666667,-0.245555556,1,0,0,0.854,Andesite_rect,1,0.854,0,3,0,3,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,5,-0.381111111,-0.408888889,1,0,0,4.692,Pegmatite_15,6,15,1,2,4.692,0.463333333,-0.232222222,1,0,0,3.379,Gabbro_rect,4,3.379,0,4,0,4,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,6,-0.238888889,-0.416666667,1,0,0,2.494,Obsidian_10,5,10,1,3,2.494,0.361111111,-0.245555556,1,0,0,2.981,Gabbro_rect,4,2.981,0,5,0,5,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,7,0.117777778,-0.274444444,1,0,0,2.929,Pumice_03,8,03,2,5,2.929,0.386666667,-0.403333333,1,0,0,1.809,Pumice_rect,8,1.809,1,6,0,6,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,8,0.405555556,0.254444444,1,0,0,4.659,Obsidian_02,5,02,5,7,4.659,-0.373333333,-0.408888889,1,0,0,3.84,Obsidian_rect,5,3.84,1,7,0,7,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,9,0.577777778,0.296666667,1,0,0,1.213,Obsidian_09,5,09,5,8,1.213,-0.368888889,-0.412222222,1,0,0,1.024,Obsidian_rect,5,1.024,1,8,0,8,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,10,0.063333333,0.272222222,1,0,0,4.329,Obsidian_05,5,05,5,5,4.329,0.025555556,-0.397777778,1,0,0,2.728,Peridotite_rect,7,2.728,0,9,0,9,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,11,0.244444444,0.246666667,1,0,0,7.44,Pumice_09,8,09,5,6,7.44,0.387777778,-0.396666667,1,0,0,1.98,Pumice_rect,8,1.98,1,10,0,10,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,12,0.065555556,0.113333333,1,0,0,1.364,Diorite_02,3,02,4,5,1.364,0.408888889,-0.255555556,1,0,0,1.441,Gabbro_rect,4,1.441,0,11,0,11,0,1,,,,,,,,,,,,,
5c01d3c509e9c70001500b10,SCN,2024-06-21_14h07.14.160,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,13,0.247777778,0.096666667,1,0,0,1.159,Diorite_14,3,14,4,6,1.159,0.155555556,-0.234444444,1,0,0,0.772,Diorite_rect,3,0.772,1,12,0,12,0,1,,,,,,,,,,,,,
