participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,1,0.068888889,-0.001111111,1,0,0,1.52,rock_grid_rect_2,7,14,-1,-1,1.52,-0.338888889,-0.228888889,1,0,0,3.909,Andesite_rect,1,3.909,0,0,0,0,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,2,0.133333333,0.016666667,1,0,0,1.448,rock_grid_rect_2,8,03,-1,-1,1.448,0.365555556,-0.403333333,1,0,0,3.427,Pumice_rect,8,3.427,1,1,0,1,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,3,0.051111111,0,1,0,0,0.912,rock_grid_rect_2,3,07,-1,-1,0.912,0.096666667,-0.237777778,1,0,0,2.3,Diorite_rect,3,2.3,1,2,0,2,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,4,0.101111111,0.013333333,1,0,0,0.948,rock_grid_rect_2,5,11,-1,-1,0.948,-0.38,-0.405555556,1,0,0,2.707,Obsidian_rect,5,2.707,1,3,0,3,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,5,0.027777778,-0.001111111,1,0,0,0.864,rock_grid_rect_2,4,01,-1,-1,0.864,-0.114444444,-0.386666667,1,0,0,5.585,Pegmatite_rect,6,5.585,0,4,0,4,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,6,0.028888889,0.006666667,1,0,0,1.064,rock_grid_rect_2,6,13,-1,-1,1.064,-0.127777778,-0.403333333,1,0,0,4.784,Pegmatite_rect,6,4.784,1,5,0,5,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,7,0.09,-0.018888889,1,0,0,0.714,rock_grid_rect_2,8,10,-1,-1,0.714,0.105555556,-0.386666667,1,0,0,3.078,Peridotite_rect,7,3.078,0,6,0,6,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,8,0.021111111,0.013333333,1,0,0,0.757,rock_grid_rect_2,5,10,-1,-1,0.757,-0.455555556,-0.397777778,1,0,0,1.709,Obsidian_rect,5,1.709,1,7,0,7,0,1,,,,,,,,,,,,,
5c3c1617f5ebd500018596cb,TCN,2024-06-21_13h47.10.018,LearnStrategy,2023.2.3,Win32,60.0240096,1,1,9,0.058888889,-0.012222222,1,0,0,0.764,rock_grid_rect_2,3,09,-1,-1,0.764,0.038888889,-0.251111111,1,0,0,7.199,Diorite_rect,3,7.199,1,8,0,8,0,1,,,,,,,,,,,,,
