participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.091666681,0.25,1,0,0,4.7222,Basalt_02,2,02,5,4,4.722,0.125925912,-0.244444459,1,0,0,5.127,Diorite_rect,3,5.127,0,0,0,0,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.383333312,-0.09629631,1,0,0,2.4976,Diorite_14,3,14,3,2,2.498,-0.104629587,-0.264814801,1,0,0,1.4386,Basalt_rect,2,1.439,0,1,0,1,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.383333418,0.080555563,1,0,0,1.765,Obsidian_06,5,06,4,7,1.765,0.335185157,-0.395370413,1,0,0,2.3597,Pumice_rect,8,2.36,0,2,0,2,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.566666674,0.26574073,1,0,0,1.7978,Diorite_11,3,11,5,1,1.798,-0.418518526,-0.405555584,1,0,0,2.7095,Obsidian_rect,5,2.71,0,3,0,3,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.062962921,0.407407407,1,0,0,2.5139,Obsidian_04,5,04,6,4,2.514,-0.133333347,-0.396296325,1,0,0,2.526,Pegmatite_rect,6,2.526,0,4,0,4,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.080555598,-0.238888917,1,0,0,8.8974,Pegmatite_03,6,03,2,5,8.897,-0.384259259,-0.271296325,1,0,0,1.2356,Andesite_rect,1,1.236,0,5,0,5,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.55277775,0.076851845,1,0,0,2.4323,Pumice_02,8,02,4,8,2.432,0.156481496,-0.229629658,1,0,0,1.4246,Diorite_rect,3,1.425,0,6,0,6,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.530555584,0.424074076,1,0,0,2.2149,Pumice_05,8,05,6,8,2.215,0.376851824,-0.260185171,1,0,0,1.7426,Gabbro_rect,4,1.743,0,7,0,7,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.537037037,-0.40370369,1,0,0,2.2978,Gabbro_11,4,11,1,1,2.298,0.422222279,-0.39907406,1,0,0,2.8593,Pumice_rect,8,2.859,0,8,0,8,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.227777764,0.106481481,1,0,0,2.2311,Pegmatite_09,6,09,4,3,2.231,0.36018527,-0.408333319,1,0,0,1.7201,Pumice_rect,8,1.72,0,9,0,9,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.078703704,-0.252777806,1,0,0,2.1644,Diorite_02,3,02,2,4,2.164,-0.335185192,-0.263888889,1,0,0,2.2096,Andesite_rect,1,2.21,0,10,0,10,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.575925898,-0.411111125,1,0,0,2.8982,Peridotite_13,7,13,1,8,2.898,-0.099999958,-0.25462963,1,0,0,1.4032,Basalt_rect,2,1.403,0,11,0,11,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.239814829,-0.10092594,1,0,0,3.6481,Pumice_13,8,13,3,3,3.648,-0.41111109,-0.236111111,1,0,0,3.3694,Andesite_rect,1,3.369,0,12,0,12,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.237037023,0.084259245,1,0,0,2.4309,Pegmatite_12,6,12,4,6,2.431,-0.075925898,-0.246296282,1,0,0,1.2767,Basalt_rect,2,1.277,0,13,0,13,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.089814857,0.410185187,1,0,0,2.7136,Obsidian_09,5,09,6,5,2.714,0.386111083,-0.236111111,1,0,0,1.9533,Gabbro_rect,4,1.953,0,14,0,14,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,-0.246296282,-0.425925926,1,0,0,4.3809,Andesite_04,1,04,1,3,4.381,0.088888875,-0.250925912,1,0,0,2.1697,Diorite_rect,3,2.17,0,15,0,15,0,1,,,,,,,,,,,,,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,8,08,,,,,,,,,,,7,6.109,0,,,,,,0.128703718,-0.400925954,1,0,0,6.1086,Peridotite_rect,0,0,0,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,4,16,,,,,,,,,,,3,4.377,0,,,,,,0.140740783,-0.238888917,1,0,0,4.3768,Diorite_rect,1,0,1,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,6,10,,,,,,,,,,,5,3.627,0,,,,,,-0.373148141,-0.400925954,1,0,0,3.6268,Obsidian_rect,2,0,2,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,7,10,,,,,,,,,,,8,8.06,0,,,,,,0.402777778,-0.409259302,1,0,0,8.0599,Pumice_rect,3,0,3,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,5,,,,,,,,1,14,,,,,,,,,,,3,7.176,0,,,,,,0.150000042,-0.244444459,1,0,0,7.1765,Diorite_rect,4,0,4,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,6,,,,,,,,3,06,,,,,,,,,,,6,7.843,0,,,,,,-0.141666624,-0.405555584,1,0,0,7.8427,Pegmatite_rect,5,0,5,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,7,,,,,,,,6,06,,,,,,,,,,,7,3.794,0,,,,,,0.099074116,-0.400925954,1,0,0,3.7937,Peridotite_rect,6,0,6,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,8,,,,,,,,3,13,,,,,,,,,,,1,5.527,0,,,,,,-0.408333319,-0.25462963,1,0,0,5.527,Andesite_rect,7,0,7,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,9,,,,,,,,8,04,,,,,,,,,,,6,7.209,0,,,,,,-0.158333319,-0.397222236,1,0,0,7.2085,Pegmatite_rect,8,0,8,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,10,,,,,,,,7,14,,,,,,,,,,,1,3.594,0,,,,,,-0.378703683,-0.244444459,1,0,0,3.5937,Andesite_rect,9,0,9,0,1,
5d42486206811e001ada5b4b,SCN,2024-06-20_13h31.09.024,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,11,,,,,,,,2,10,,,,,,,,,,,7,2.01,0,,,,,,0.143518519,-0.402777778,1,0,0,2.0101,Peridotite_rect,10,0,10,0,1,
