participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,-0.035833282,0.011666641,1,0,0,1.7585,rock_grid_rect_2,4,05,-1,-1,1.759,-0.3675,-0.245,1,0,0,3.0894,Andesite_rect,1,3.089,0,0,0,0,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.049166718,0.001666641,1,0,0,1.3809,rock_grid_rect_2,8,10,-1,-1,1.381,0.14,-0.245833359,1,0,0,2.5964,Diorite_rect,3,2.596,0,1,0,1,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,0.0425,-0.01,1,0,0,0.9987,rock_grid_rect_2,5,10,-1,-1,0.999,-0.334166641,-0.2375,1,0,0,5.3622,Andesite_rect,1,5.362,0,2,0,2,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.005,-0.018333359,1,0,0,1.0483,rock_grid_rect_2,3,09,-1,-1,1.048,0.1175,-0.395833359,1,0,0,2.2291,Peridotite_rect,7,2.229,0,3,0,3,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,-0.009166641,0.000833321,1,0,0,0.8148,rock_grid_rect_2,6,03,-1,-1,0.815,-0.131666641,-0.389166718,1,0,0,2.029,Pegmatite_rect,6,2.029,1,4,0,4,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.0575,-0.01,1,0,0,1.0319,rock_grid_rect_2,4,11,-1,-1,1.032,-0.178333321,-0.270833359,1,0,0,2.0967,Basalt_rect,2,2.097,0,5,0,5,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.043333282,-0.004166679,1,0,0,0.8314,rock_grid_rect_2,5,11,-1,-1,0.831,-0.3825,-0.3925,1,0,0,2.5459,Obsidian_rect,5,2.546,1,6,0,6,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,-0.028333282,-0.010833359,1,0,0,0.7984,rock_grid_rect_2,8,04,-1,-1,0.798,0.348333359,-0.389166718,1,0,0,2.0624,Pumice_rect,8,2.062,1,7,0,7,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.020833282,-0.003333359,1,0,0,0.6986,rock_grid_rect_2,2,08,-1,-1,0.699,-0.33,-0.229166718,1,0,0,3.446,Andesite_rect,1,3.446,0,8,0,8,0,1,,,,,,,,,,,,,
5df2f36b617219204de98060,TCN,2024-06-21_10h46.39.220,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,10,-0.020833282,-0.020833359,1,0,0,0.6311,rock_grid_rect_2,6,11,-1,-1,0.631,-0.415,-0.249166718,1,0,0,2.0788,Andesite_rect,1,2.079,0,9,0,9,0,1,,,,,,,,,,,,,
