participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,1,-0.083333333,0.389814815,1,0,0,6.4441,Obsidian_02,5,02,6,4,6.444,1,16,-0.34537037,-0.397222222,1,0,0,3.1922,Obsidian_rect,5,3.192,1,0,0,0,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,2,0.408333333,-0.418518519,1,0,0,3.0193,Peridotite_13,7,13,1,7,3.019,7,02,0.137037037,-0.391666667,1,0,0,6.9269,Peridotite_rect,7,6.927,1,1,0,1,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,3,-0.081481481,-0.405555556,1,0,0,6.3275,Pumice_16,8,16,1,4,6.328,4,15,0.409259259,-0.4,1,0,0,5.3076,Pumice_rect,8,5.308,1,2,0,2,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,4,-0.268518519,-0.399074074,1,0,0,7.804,Peridotite_12,7,12,1,3,7.804,5,02,-0.156481481,-0.266666667,1,0,0,4.6964,Basalt_rect,2,4.696,0,3,0,3,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,5,0.102777778,0.393518519,1,0,0,2.0677,Pegmatite_10,6,10,6,5,2.068,8,15,0.125925926,-0.381481481,1,0,0,2.0431,Peridotite_rect,7,2.043,0,4,0,4,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,6,-0.509259259,-0.080555556,1,0,0,17.2897,Peridotite_15,7,15,3,1,17.29,1,11,0.086111111,-0.386111111,1,0,0,3.8642,Peridotite_rect,7,3.864,1,5,0,5,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,7,-0.552777778,0.109259259,1,0,0,9.1927,Pumice_05,8,05,4,1,9.193,4,16,0.412037037,-0.419444444,1,0,0,2.5033,Pumice_rect,8,2.503,1,6,0,6,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,8,0.597222222,0.396296296,1,0,0,2.6786,Obsidian_10,5,10,6,8,2.679,2,05,-0.352777778,-0.397222222,1,0,0,4.1048,Obsidian_rect,5,4.105,1,7,0,7,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,9,-0.419444444,0.374074074,1,0,0,1.6905,Peridotite_06,7,06,6,2,1.691,6,05,-0.175,-0.385185185,1,0,0,3.0356,Pegmatite_rect,6,3.036,0,8,0,8,0,1,,,,,,,,,,,,
5e50cf2e6f8390111edd6211,SCR,2024-06-10_15h00.05.933,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,10,0.224074074,0.398148148,1,0,0,2.04,Diorite_07,3,07,6,6,2.04,3,09,0.360185185,-0.250925926,1,0,0,3.6954,Gabbro_rect,4,3.695,0,9,0,9,0,1,,,,,,,,,,,,
