participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.045370399,0.004629601,1,0,0,2.0778,rock_grid_rect_2,5,10,-1,-1,2.078,-0.338888889,-0.402777778,1,0,0,3.6728,Obsidian_rect,5,3.673,1,0,0,0,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.006481425,-0.019444444,1,0,0,1.532,rock_grid_rect_2,6,09,-1,-1,1.532,0.184259288,-0.409259288,1,0,0,7.0287,Peridotite_rect,7,7.029,0,1,0,1,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.023148092,-0.012037065,1,0,0,1.1322,rock_grid_rect_2,5,06,-1,-1,1.132,0.200925954,-0.259259288,1,0,0,7.879,Diorite_rect,3,7.879,0,2,0,2,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.062037065,-0.002777778,1,0,0,0.8321,rock_grid_rect_2,3,06,-1,-1,0.832,-0.371296268,-0.25648151,1,0,0,3.0792,Andesite_rect,1,3.079,0,3,0,3,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.012963019,0.001851824,1,0,0,0.8154,rock_grid_rect_2,7,08,-1,-1,0.815,0.350925954,-0.384259288,1,0,0,6.7958,Pumice_rect,8,6.796,0,4,0,4,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.018518575,-0.003703732,1,0,0,0.732,rock_grid_rect_2,8,02,-1,-1,0.732,0.35648151,-0.261111111,1,0,0,4.2292,Gabbro_rect,4,4.229,0,5,0,5,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.015740797,0.007407379,1,0,0,0.7319,rock_grid_rect_2,1,11,-1,-1,0.732,0.362963019,-0.248148176,1,0,0,7.1792,Gabbro_rect,4,7.179,0,6,0,6,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.090740797,-0.012037065,1,0,0,0.6653,rock_grid_rect_2,4,16,-1,-1,0.665,0.128703732,-0.262037065,1,0,0,2.3955,Diorite_rect,3,2.395,0,7,0,7,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.089814843,0.002777778,1,0,0,0.6488,rock_grid_rect_2,3,13,-1,-1,0.649,0.066666667,-0.270370399,1,0,0,9.429,Diorite_rect,3,9.429,1,8,0,8,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.017592621,-0.008333333,1,0,0,0.6652,rock_grid_rect_2,7,15,-1,-1,0.665,-0.069444444,-0.400925954,1,0,0,2.0125,Pegmatite_rect,6,2.012,0,9,0,9,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.014814843,-0.013888889,1,0,0,0.7155,rock_grid_rect_2,8,15,-1,-1,0.716,-0.117592536,-0.236111111,1,0,0,2.4459,Basalt_rect,2,2.446,0,10,0,10,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.043518575,-0.017592621,1,0,0,0.5486,rock_grid_rect_2,1,09,-1,-1,0.549,-0.077777778,-0.248148176,1,0,0,2.8458,Basalt_rect,2,2.846,0,11,0,11,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.026851908,-0.000925954,1,0,0,0.5156,rock_grid_rect_2,6,12,-1,-1,0.516,-0.097222222,-0.400925954,1,0,0,4.296,Pegmatite_rect,6,4.296,1,12,0,12,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,0.059259288,0.007407379,1,0,0,0.5321,rock_grid_rect_2,2,06,-1,-1,0.532,-0.337962935,-0.411111111,1,0,0,2.579,Obsidian_rect,5,2.579,0,13,0,13,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.089814843,0.021296268,1,0,0,0.5154,rock_grid_rect_2,2,10,-1,-1,0.515,-0.365740712,-0.261111111,1,0,0,1.9287,Andesite_rect,1,1.929,0,14,0,14,0,1,,,,,,,,,,,,
5e83d40c2598d412c836b579,TCN,2024-06-10_15h18.46.003,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.053703732,0.001851824,1,0,0,0.7821,rock_grid_rect_2,4,08,-1,-1,0.782,0.184259288,-0.402777778,1,0,0,11.3795,Peridotite_rect,7,11.38,0,15,0,15,0,1,,,,,,,,,,,,
