participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.546875,0.4140625,1,0,0,5.3643,Diorite_15,3,15,6,1,5.364,0.399739583,-0.41015625,1,0,0,8.9369,Pumice_rect,8,8.937,0,0,0,0,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.397135417,0.403645833,1,0,0,1.6161,Pumice_10,8,10,6,2,1.616,0.3671875,-0.380208333,1,0,0,5.8236,Pumice_rect,8,5.824,1,1,0,1,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.223958333,0.395833333,1,0,0,1.2341,Andesite_01,1,01,6,3,1.234,-0.09765625,-0.26171875,1,0,0,4.9729,Basalt_rect,2,4.973,0,2,0,2,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.069010417,0.408854167,1,0,0,1.3665,Basalt_12,2,12,6,4,1.367,-0.06640625,-0.23828125,1,0,0,8.0777,Basalt_rect,2,8.078,1,3,0,3,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.084635417,0.391927083,1,0,0,1.304,Basalt_06,2,06,6,5,1.304,-0.390625,-0.37890625,1,0,0,5.4301,Obsidian_rect,5,5.43,0,4,0,4,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.194010417,0.401041667,1,0,0,1.5834,Andesite_02,1,02,6,6,1.583,0.12890625,-0.236979167,1,0,0,6.462,Diorite_rect,3,6.462,0,5,0,5,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.384114583,0.364583333,1,0,0,1.4129,Pumice_06,8,06,6,7,1.413,0.446614583,-0.229166667,1,0,0,6.0426,Gabbro_rect,4,6.043,0,6,0,6,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.56640625,0.39453125,1,0,0,1.8335,Diorite_13,3,13,6,8,1.833,-0.34375,-0.240885417,1,0,0,3.3303,Andesite_rect,1,3.33,0,7,0,7,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.567708333,0.265625,1,0,0,1.5166,Diorite_14,3,14,5,1,1.517,0.111979167,-0.264322917,1,0,0,5.0973,Diorite_rect,3,5.097,1,8,0,8,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.4140625,0.223958333,1,0,0,1.1134,Basalt_01,2,01,5,2,1.113,-0.177083333,-0.23828125,1,0,0,2.1494,Basalt_rect,2,2.149,1,9,0,9,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.2109375,0.244791667,1,0,0,1.1844,Peridotite_05,7,05,5,3,1.184,0.098958333,-0.391927083,1,0,0,6.7452,Peridotite_rect,7,6.745,1,10,0,10,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,-0.04296875,0.231770833,1,0,0,2.2537,Gabbro_15,4,15,5,4,2.254,0.139322917,-0.255208333,1,0,0,1.9418,Diorite_rect,3,1.942,0,11,0,11,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.095052083,0.204427083,1,0,0,1.5843,Andesite_16,1,16,5,5,1.584,-0.126302083,-0.401041667,1,0,0,4.597,Pegmatite_rect,6,4.597,0,12,0,12,0,1,,,,,,,,,,,,,
5e8cf14c0bec230b335e060d,SCN,2024-06-21_12h46.57.154,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.239583333,0.221354167,1,0,0,1.1147,Pumice_09,8,09,5,6,1.115,0.3359375,-0.41015625,1,0,0,1.2572,Pumice_rect,8,1.257,1,13,0,13,0,1,,,,,,,,,,,,,
