participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,0.064108481,-0.001758925,1,0,0,3.5396,rock_grid_rect_2,3,08,-1,-1,3.54,0.112247692,-0.245232359,1,0,0,9.2241,Diorite_rect,3,9.224,1,0,0,0,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.065959985,-0.009164938,1,0,0,1.4396,rock_grid_rect_2,8,13,-1,-1,1.44,-0.109007608,-0.407239366,1,0,0,9.9694,Pegmatite_rect,6,9.969,0,1,0,1,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,0.016894991,-0.005461932,1,0,0,1.9321,rock_grid_rect_2,7,08,-1,-1,1.932,0.101138672,-0.415571162,1,0,0,7.5848,Peridotite_rect,7,7.585,1,2,0,2,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,0.090955373,-0.009164938,1,0,0,1.5412,rock_grid_rect_2,6,09,-1,-1,1.541,-0.381179437,-0.404462018,1,0,0,5.8676,Obsidian_rect,5,5.868,0,3,0,3,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,0.077069005,-0.016570983,1,0,0,3.3589,rock_grid_rect_2,8,04,-1,-1,3.359,0.3797907,-0.389650054,1,0,0,5.7346,Pumice_rect,8,5.735,1,4,0,4,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,0.041890379,-0.017496734,1,0,0,1.9095,rock_grid_rect_2,1,16,-1,-1,1.91,0.082623577,-0.39798185,1,0,0,8.3848,Peridotite_rect,7,8.385,0,5,0,5,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.040501798,-0.019348238,1,0,0,1.881,rock_grid_rect_2,1,14,-1,-1,1.881,-0.109007608,-0.256341379,1,0,0,8.8181,Basalt_rect,2,8.818,0,6,0,6,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.002082902,-0.018422486,1,0,0,1.8309,rock_grid_rect_2,6,05,-1,-1,1.831,-0.393214239,-0.232271773,1,0,0,4.5027,Andesite_rect,1,4.503,0,7,0,7,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,0.006711692,0.012127412,1,0,0,1.7146,rock_grid_rect_2,7,15,-1,-1,1.715,0.14742638,-0.39798185,1,0,0,5.2346,Peridotite_rect,7,5.235,1,8,0,8,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,10,0.089103807,-0.013793728,1,0,0,1.5758,rock_grid_rect_2,2,10,-1,-1,1.576,-0.119190908,-0.24800952,1,0,0,5.3507,Basalt_rect,2,5.351,1,9,0,9,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,11,-0.001620104,-0.017496734,1,0,0,1.5576,rock_grid_rect_2,2,06,-1,-1,1.558,0.399231579,-0.264673175,1,0,0,5.5181,Gabbro_rect,4,5.518,0,10,0,10,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,12,-0.054388105,-0.009164938,1,0,0,2.4679,rock_grid_rect_2,4,05,-1,-1,2.468,-0.065497187,-0.389650054,1,0,0,5.4146,Pegmatite_rect,6,5.415,0,11,0,11,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,13,0.058553909,0.009350126,1,0,0,1.7514,rock_grid_rect_2,4,03,-1,-1,1.751,-0.133077214,-0.405387863,1,0,0,6.2155,Pegmatite_rect,6,6.216,0,12,0,12,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,14,0.033558583,0.015830419,1,0,0,1.2959,rock_grid_rect_2,5,14,-1,-1,1.296,-0.350629507,-0.38779855,1,0,0,1.9503,Obsidian_rect,5,1.95,1,13,0,13,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,15,-0.012729186,-0.007313435,1,0,0,1.165,rock_grid_rect_2,5,16,-1,-1,1.165,-0.339520487,-0.385021264,1,0,0,1.8841,Obsidian_rect,5,1.884,1,14,0,14,0,1,,,,,,,,,,,,,
5ef6308c40846d2dfca0b66a,TCN,2024-06-24_15h32.56.564,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,16,-0.002545887,0.010275878,1,0,0,1.6525,rock_grid_rect_2,3,06,-1,-1,1.653,0.301101591,-0.262821671,1,0,0,5.8314,Gabbro_rect,4,5.831,0,15,0,15,0,1,,,,,,,,,,,,,
