participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.239583333,0.091145833,1,0,0,3.8873,Obsidian_08,5,08,4,3,3.887,0.369791667,-0.252604167,1,0,0,3.7736,Gabbro_rect,4,3.774,0,0,0,0,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.076822917,-0.095052083,1,0,0,2.7605,Diorite_15,3,15,3,5,2.761,-0.361979167,-0.391927083,1,0,0,12.9194,Obsidian_rect,5,12.919,0,1,0,1,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.248697917,-0.26953125,1,0,0,3.0956,Pegmatite_11,6,11,2,3,3.096,-0.110677083,-0.416666667,1,0,0,16.2566,Pegmatite_rect,6,16.257,1,2,0,2,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.07421875,0.229166667,1,0,0,5.7725,Basalt_01,2,01,5,4,5.772,-0.108072917,-0.240885417,1,0,0,1.8797,Basalt_rect,2,1.88,1,3,0,3,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.2265625,-0.427083333,1,0,0,4.0616,Pumice_16,8,16,1,3,4.062,0.44140625,-0.40625,1,0,0,5.5175,Pumice_rect,8,5.517,1,4,0,4,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.565104167,-0.41796875,1,0,0,3.574,Diorite_13,3,13,1,1,3.574,-0.345052083,-0.243489583,1,0,0,6.189,Andesite_rect,1,6.189,0,5,0,5,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.2265625,0.108072917,1,0,0,1.0581,Obsidian_08,5,08,4,3,1.058,-0.348958333,-0.3828125,1,0,0,2.6685,Obsidian_rect,5,2.668,1,6,0,6,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.528645833,0.279947917,1,0,0,1.2701,Gabbro_08,4,08,5,1,1.27,0.140625,-0.403645833,1,0,0,4.5385,Peridotite_rect,7,4.538,0,7,0,7,0,1,,,,,,,,,,,,,
5f35cd449bf003039842077f,SCN,2024-06-24_14h46.10.977,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.071614583,0.278645833,1,0,0,2.8744,Basalt_01,2,01,5,4,2.874,0.375,-0.411458333,1,0,0,3.3592,Pumice_rect,8,3.359,0,8,0,8,0,1,,,,,,,,,,,,,
