participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.527777778,0.427777778,1,0,0,4.4453,Obsidian_02,5,02,6,8,4.445,2,04,-0.437962963,-0.382407407,1,0,0,4.9324,Obsidian_rect,5,4.932,1,0,0,0,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.218518519,-0.101851852,1,0,0,2.1304,Obsidian_06,5,06,3,3,2.13,5,11,-0.07037037,-0.410185185,1,0,0,6.1601,Pegmatite_rect,6,6.16,0,1,0,1,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.384259259,-0.42962963,1,0,0,3.9776,Pegmatite_09,6,09,1,2,3.978,8,16,0.059259259,-0.413888889,1,0,0,5.7072,Peridotite_rect,7,5.707,0,2,0,2,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.235185185,-0.393518519,1,0,0,6.6963,Pumice_04,8,04,1,6,6.696,5,14,0.378703704,-0.399074074,1,0,0,1.4232,Pumice_rect,8,1.423,1,3,0,3,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.269444444,0.241666667,1,0,0,2.2138,Obsidian_07,5,07,5,3,2.214,8,03,-0.37037037,-0.37962963,1,0,0,2.3269,Obsidian_rect,5,2.327,1,4,0,4,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.060185185,0.268518519,1,0,0,3.4938,Gabbro_09,4,09,5,4,3.494,2,06,-0.111111111,-0.401851852,1,0,0,4.9731,Pegmatite_rect,6,4.973,0,5,0,5,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.394444444,0.091666667,1,0,0,3.4131,Obsidian_04,5,04,4,7,3.413,1,14,-0.410185185,-0.403703704,1,0,0,1.5067,Obsidian_rect,5,1.507,1,6,0,6,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.359259259,0.07962963,1,0,0,2.2965,Andesite_05,1,05,4,2,2.296,4,09,0.397222222,-0.25462963,1,0,0,4.2267,Gabbro_rect,4,4.227,0,7,0,7,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.568518519,0.063888889,1,0,0,2.2281,Diorite_02,3,02,4,1,2.228,7,07,-0.421296296,-0.252777778,1,0,0,1.1275,Andesite_rect,1,1.127,0,8,0,8,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.536111111,-0.412037037,1,0,0,6.9813,Andesite_16,1,16,1,1,6.981,1,04,0.123148148,-0.251851852,1,0,0,2.0883,Diorite_rect,3,2.088,0,9,0,9,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.113888889,-0.087962963,1,0,0,2.529,Andesite_14,1,14,3,4,2.529,3,06,-0.372222222,-0.250925926,1,0,0,1.4612,Andesite_rect,1,1.461,1,10,0,10,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.084259259,0.087037037,1,0,0,2.8811,Gabbro_14,4,14,4,4,2.881,6,15,0.073148148,-0.401851852,1,0,0,2.2396,Peridotite_rect,7,2.24,0,11,0,11,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.248148148,0.403703704,1,0,0,2.3453,Gabbro_13,4,13,6,6,2.345,3,14,0.40462963,-0.25462963,1,0,0,0.8962,Gabbro_rect,4,0.896,1,12,0,12,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.385185185,0.240740741,1,0,0,1.7954,Pegmatite_15,6,15,5,2,1.795,6,06,-0.207407407,-0.228703704,1,0,0,3.0612,Basalt_rect,2,3.061,0,13,0,13,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.052777778,-0.424074074,1,0,0,3.1588,Pegmatite_13,6,13,1,5,3.159,7,10,-0.060185185,-0.40462963,1,0,0,7.6773,Pegmatite_rect,6,7.677,1,14,0,14,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,-0.555555556,-0.228703704,1,0,0,2.9953,Pumice_14,8,14,2,1,2.995,4,03,0.462037037,-0.384259259,1,0,0,1.2902,Pumice_rect,8,1.29,1,15,0,15,0,1,,,,,,,,,,,,,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,7,14,,,,,,,,,,,,,6,35.758,0,,,,,,-0.059259259,-0.389814815,1,0,0,35.7583,Pegmatite_rect,0,0,0,0,1,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,8,02,,,,,,,,,,,,,8,2.127,1,,,,,,0.409259259,-0.40462963,1,0,0,2.1275,Pumice_rect,1,0,1,0,1,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,8,05,,,,,,,,,,,,,8,1.243,1,,,,,,0.364814815,-0.408333333,1,0,0,1.2426,Pumice_rect,2,0,2,0,1,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,7,12,,,,,,,,,,,,,1,12.435,0,,,,,,-0.308333333,-0.232407407,1,0,0,12.4351,Andesite_rect,3,0,3,0,1,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,3,09,,,,,,,,,,,,,1,12.16,0,,,,,,-0.303703704,-0.238888889,1,0,0,12.1597,Andesite_rect,4,0,4,0,1,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,1,03,,,,,,,,,,,,,1,20.958,1,,,,,,-0.327777778,-0.237037037,1,0,0,20.9582,Andesite_rect,5,0,5,0,1,
5fc0c49264908d09e94c8cd7,SCR,2024-06-20_15h30.23.120,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,1,09,,,,,,,,,,,,,3,4.492,0,,,,,,0.118518519,-0.262037037,1,0,0,4.4919,Diorite_rect,6,0,6,0,1,
