participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.034259231,0.002777771,1,0,0,1.7066,rock_grid_rect_2,4,14,-1,-1,1.707,-0.205555527,-0.407407407,1,0,0,3.1968,Pegmatite_rect,6,3.197,0,0,0,0,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.012962977,0.003703683,1,0,0,1.4278,rock_grid_rect_2,7,07,-1,-1,1.428,0.159259302,-0.255555541,1,0,0,1.5589,Diorite_rect,3,1.559,0,1,0,1,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.039814843,-0.001851859,1,0,0,1.064,rock_grid_rect_2,1,01,-1,-1,1.064,-0.152777778,-0.393518519,1,0,0,3.2464,Pegmatite_rect,6,3.246,0,2,0,2,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.032407407,-0.01203703,1,0,0,0.9285,rock_grid_rect_2,1,11,-1,-1,0.928,0.115740741,-0.251851894,1,0,0,2.3244,Diorite_rect,3,2.324,0,3,0,3,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.135185171,0.010185171,1,0,0,0.975,rock_grid_rect_2,8,08,-1,-1,0.975,0.393518519,-0.409259302,1,0,0,2.315,Pumice_rect,8,2.315,1,4,0,4,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.08148151,-0.0074074,1,0,0,0.9889,rock_grid_rect_2,7,02,-1,-1,0.989,-0.076851809,-0.390740783,1,0,0,3.9226,Pegmatite_rect,6,3.923,0,5,0,5,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.085185228,-0.000925947,1,0,0,1.523,rock_grid_rect_2,5,12,-1,-1,1.523,-0.372222229,-0.420370384,1,0,0,3.9563,Obsidian_rect,5,3.956,1,6,0,6,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.084259245,-0.003703718,1,0,0,0.9312,rock_grid_rect_2,6,13,-1,-1,0.931,-0.126851824,-0.261111153,1,0,0,3.6718,Basalt_rect,2,3.672,0,7,0,7,0,1,,,,,,,,,,,,,
6016b656600dc185acab2cc1,TCN,2024-06-24_14h45.13.626,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.125925912,-0.01666666,1,0,0,0.9059,rock_grid_rect_2,2,12,-1,-1,0.906,0.390740712,-0.404629672,1,0,0,4.7068,Pumice_rect,8,4.707,0,8,0,8,0,1,,,,,,,,,,,,,
