participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,1,0.211111111,0.391111111,1,0,0,4.603,Diorite_13,3,13,6,6,4.603,3,16,0.361111111,-0.41,1,0,0,3.514,Pumice_rect,8,3.514,0,0,0,0,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,2,-0.096666667,0.237777778,1,0,0,3.11,Andesite_07,1,07,5,4,3.11,1,07,-0.153333333,-0.404444444,1,0,0,6.271,Pegmatite_rect,6,6.271,0,1,0,1,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,3,0.532222222,0.077777778,1,0,0,1.766,Pumice_14,8,14,4,8,1.766,8,14,0.414444444,-0.384444444,1,0,0,2.177,Pumice_rect,8,2.177,1,2,0,2,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,4,-0.052222222,-0.258888889,1,0,0,3.332,Pumice_05,8,05,2,4,3.332,8,05,-0.053333333,-0.257777778,1,0,0,2.096,Basalt_rect,2,2.096,0,3,0,3,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,5,0.073333333,-0.245555556,1,0,0,1.548,Peridotite_10,7,10,2,5,1.548,7,10,-0.338888889,-0.232222222,1,0,0,4.567,Andesite_rect,1,4.567,0,4,0,4,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,6,0.252222222,-0.26,1,0,0,1.817,Gabbro_05,4,05,2,6,1.817,4,05,-0.133333333,-0.412222222,1,0,0,5.118,Pegmatite_rect,6,5.118,0,5,0,5,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,7,-0.223333333,-0.228888889,1,0,0,1.417,Pegmatite_03,6,03,2,3,1.417,6,03,0.082222222,-0.252222222,1,0,0,3.118,Diorite_rect,3,3.118,0,6,0,6,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,8,-0.536666667,-0.071111111,1,0,0,1.453,Pegmatite_05,6,05,3,1,1.453,6,05,-0.416666667,-0.387777778,1,0,0,3.306,Obsidian_rect,5,3.306,0,7,0,7,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,9,0.39,-0.111111111,1,0,0,2.029,Obsidian_14,5,14,3,7,2.029,5,14,-0.38,-0.401111111,1,0,0,1.99,Obsidian_rect,5,1.99,1,8,0,8,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,10,-0.044444444,0.083333333,1,0,0,1.097,Obsidian_16,5,16,4,4,1.097,5,16,-0.403333333,-0.407777778,1,0,0,1.714,Obsidian_rect,5,1.714,1,9,0,9,0,1,,,,,,,,,,,,,
60b7d18beb67181cd97d7ac5,SCR,2024-06-26_12h35.04.378,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,11,0.256666667,0.246666667,1,0,0,1.213,Diorite_02,3,02,5,6,1.213,3,02,0.117777778,-0.405555556,1,0,0,3.145,Peridotite_rect,7,3.145,0,10,0,10,0,1,,,,,,,,,,,,,
