participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.518518519,0.39537037,1,0,0,3.8362,Gabbro_13,4,13,6,1,3.836,-0.360185185,-0.235185185,1,0,0,3.1192,Andesite_rect,1,3.119,0,0,0,0,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.396296296,0.380555556,1,0,0,2.1153,Obsidian_06,5,06,6,2,2.115,0.128703704,-0.261111111,1,0,0,3.8102,Diorite_rect,3,3.81,0,1,0,1,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.237962963,0.37962963,1,0,0,2.0488,Gabbro_05,4,05,6,3,2.049,0.390740741,-0.248148148,1,0,0,0.9755,Gabbro_rect,4,0.976,1,2,0,2,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.081481481,0.391666667,1,0,0,1.7655,Basalt_06,2,06,6,4,1.766,-0.096296296,-0.257407407,1,0,0,1.4272,Basalt_rect,2,1.427,1,3,0,3,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.078703704,0.388888889,1,0,0,1.0658,Diorite_08,3,08,6,5,1.066,0.334259259,-0.412037037,1,0,0,2.5437,Pumice_rect,8,2.544,0,4,0,4,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.212037037,0.385185185,1,0,0,1.1153,Pegmatite_15,6,15,6,6,1.115,-0.108333333,-0.387037037,1,0,0,2.4606,Pegmatite_rect,6,2.461,1,5,0,5,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.37037037,0.401851852,1,0,0,1.2652,Pumice_15,8,15,6,7,1.265,0.137037037,-0.407407407,1,0,0,3.11,Peridotite_rect,7,3.11,0,6,0,6,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.574074074,0.374074074,1,0,0,1.1652,Andesite_09,1,09,6,8,1.165,-0.121296296,-0.389814815,1,0,0,1.7607,Pegmatite_rect,6,1.761,0,7,0,7,0,1,,,,,,,,,,,,,
60d50ceb7c563c73f91d9ec5,SCN,2024-06-25_11h39.03.650,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.556481481,0.238888889,1,0,0,1.8145,Pumice_09,8,09,5,8,1.815,0.371296296,-0.399074074,1,0,0,1.0439,Pumice_rect,8,1.044,1,8,0,8,0,1,,,,,,,,,,,,,
