participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.519,0.4115,1,0,0,3.536300001,Diorite_16,3,16,6,1,3.536,0.3415,-0.42,1,0,0,4.380199999,Pumice_rect,8,4.38,0,0,0,0,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.3755,0.414,1,0,0,1.537,Pegmatite_16,6,16,6,2,1.537,0.3565,-0.4215,1,0,0,5.408,Pumice_rect,8,5.408,0,1,0,1,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.228,0.395,1,0,0,2.015400002,Pegmatite_10,6,10,6,3,2.015,-0.3435,-0.396,1,0,0,7.2079,Obsidian_rect,5,7.208,0,2,0,2,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.0655,0.387,1,0,0,3.486799999,Pegmatite_13,6,13,6,4,3.487,0.1115,-0.2315,1,0,0,1.978199999,Diorite_rect,3,1.978,0,3,0,3,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.056,0.365,1,0,0,1.7724,Peridotite_06,7,06,6,5,1.772,-0.1345,-0.25,1,0,0,4.031800001,Basalt_rect,2,4.032,0,4,0,4,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.2335,0.403,1,0,0,1.566700001,Diorite_12,3,12,6,6,1.567,0.338,-0.416,1,0,0,2.712,Pumice_rect,8,2.712,0,5,0,5,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.4395,0.4145,1,0,0,1.291599998,Gabbro_08,4,08,6,7,1.292,0.153,-0.2495,1,0,0,2.534199999,Diorite_rect,3,2.534,0,6,0,6,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.5185,0.3735,1,0,0,1.130700001,Basalt_06,2,06,6,8,1.131,-0.423,-0.4055,1,0,0,4.125300001,Obsidian_rect,5,4.125,0,7,0,7,0,1,,,,,,,,,,,,,
60ff7c8f4f066ccf6fe05587,SCN,2024-06-21_13h07.09.904,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.5505,0.2335,1,0,0,0.998300001,Pumice_04,8,04,5,1,0.998,0.3345,-0.4185,1,0,0,1.229699999,Pumice_rect,8,1.23,1,8,0,8,0,1,,,,,,,,,,,,,
