participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.025000057,-0.001851852,1,0,0,1.9771,rock_grid_rect_2,7,16,-1,-1,1.977,-0.077777778,-0.252777778,1,0,0,4.3432,Basalt_rect,2,4.343,0,0,0,0,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.000925926,-0.00462963,1,0,0,1.2873,rock_grid_rect_2,5,05,-1,-1,1.287,-0.34537037,-0.253703704,1,0,0,3.1498,Andesite_rect,1,3.15,0,1,0,1,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.07037037,-0.012037037,1,0,0,1.0189,rock_grid_rect_2,6,15,-1,-1,1.019,-0.363888889,-0.248148148,1,0,0,2.4432,Andesite_rect,1,2.443,0,2,0,2,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.053703704,-0.006481481,1,0,0,0.9895,rock_grid_rect_2,7,04,-1,-1,0.99,0.15462963,-0.239814815,1,0,0,2.931,Diorite_rect,3,2.931,0,3,0,3,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.017592593,0.008333333,1,0,0,5.1564,rock_grid_rect_2,5,11,-1,-1,5.156,-0.362962963,-0.414814815,1,0,0,1.5839,Obsidian_rect,5,1.584,1,4,0,4,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.057407464,-0.00462963,1,0,0,0.896,rock_grid_rect_2,2,14,-1,-1,0.896,0.377777778,-0.417592593,1,0,0,2.4425,Pumice_rect,8,2.442,0,5,0,5,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0,0.013888889,1,0,0,0.85,rock_grid_rect_2,1,01,-1,-1,0.85,0.087962963,-0.25,1,0,0,3.4008,Diorite_rect,3,3.401,0,6,0,6,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.037962963,0.000925926,1,0,0,0.824,rock_grid_rect_2,1,04,-1,-1,0.824,-0.339814815,-0.237037037,1,0,0,2.5093,Andesite_rect,1,2.509,1,7,0,7,0,1,,,,,,,,,,,,,
61155a7ed7bb8ba7da579301,TCN,2024-06-20_15h28.09.664,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.006481538,-0.006481481,1,0,0,1.2272,rock_grid_rect_2,8,08,-1,-1,1.227,0.356481481,-0.412037037,1,0,0,1.4014,Pumice_rect,8,1.401,1,8,0,8,0,1,,,,,,,,,,,,,
