participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.080555556,0.058333333,1,0,0,3.8252,Obsidian_12,5,12,4,5,3.825,-0.421296296,-0.408333333,1,0,0,12.3931,Obsidian_rect,5,12.393,1,0,0,0,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.519444444,-0.27962963,1,0,0,9.0249,Diorite_06,3,06,2,1,9.025,-0.168518519,-0.238888889,1,0,0,14.9694,Basalt_rect,2,14.969,0,1,0,1,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.213888889,-0.223148148,1,0,0,5.5043,Diorite_08,3,08,2,3,5.504,-0.432407407,-0.236111111,1,0,0,17.9231,Andesite_rect,1,17.923,0,2,0,2,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.077777778,-0.07962963,1,0,0,5.7378,Andesite_03,1,03,3,5,5.738,-0.181481481,-0.262037037,1,0,0,11.7827,Basalt_rect,2,11.783,0,3,0,3,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.242592593,-0.415740741,1,0,0,3.3521,Pumice_14,8,14,1,6,3.352,-0.04537037,-0.248148148,1,0,0,12.6401,Basalt_rect,2,12.64,0,4,0,4,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.432407407,-0.082407407,1,0,0,1.717,Pegmatite_13,6,13,3,2,1.717,-0.156481481,-0.390740741,1,0,0,6.9174,Pegmatite_rect,6,6.917,1,5,0,5,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.562037037,0.25462963,1,0,0,5.3542,Pumice_16,8,16,5,1,5.354,-0.12962963,-0.244444444,1,0,0,2.6908,Basalt_rect,2,2.691,0,6,0,6,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.099074074,0.397222222,1,0,0,4.8703,Basalt_08,2,08,6,5,4.87,-0.100925926,-0.232407407,1,0,0,1.9235,Basalt_rect,2,1.923,1,7,0,7,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.390740741,-0.391666667,1,0,0,2.768,Peridotite_13,7,13,1,7,2.768,0.125,-0.383333333,1,0,0,3.1974,Peridotite_rect,7,3.197,1,8,0,8,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.525,-0.242592593,1,0,0,5.204,Peridotite_16,7,16,2,8,5.204,0.474074074,-0.262962963,1,0,0,6.7119,Gabbro_rect,4,6.712,0,9,0,9,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.110185185,0.383333333,1,0,0,33.3825,Gabbro_01,4,01,6,4,33.382,0.340740741,-0.251851852,1,0,0,1.4387,Gabbro_rect,4,1.439,1,10,0,10,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,-0.227777778,0.056481481,1,0,0,2.0501,Obsidian_10,5,10,4,3,2.05,-0.32962963,-0.378703704,1,0,0,3.3313,Obsidian_rect,5,3.331,1,11,0,11,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.383333333,-0.248148148,1,0,0,6.6056,Diorite_15,3,15,2,2,6.606,0.135185185,-0.247222222,1,0,0,10.8324,Diorite_rect,3,10.832,1,12,0,12,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.374074074,-0.262962963,1,0,0,2.952,Pumice_09,8,09,2,7,2.952,-0.1,-0.246296296,1,0,0,2.1897,Basalt_rect,2,2.19,0,13,0,13,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.223148148,-0.264814815,1,0,0,2.7013,Pegmatite_10,6,10,2,6,2.701,0.060185185,-0.402777778,1,0,0,2.3298,Peridotite_rect,7,2.33,0,14,0,14,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,-0.364814815,-0.12962963,1,0,0,1.7836,Pegmatite_13,6,13,3,2,1.784,-0.165740741,-0.39537037,1,0,0,1.162,Pegmatite_rect,6,1.162,1,15,0,15,0,1,,,,,,,,,,,,
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,8,06,,,,,,,,,,,8,5.533,1,,,,,,0.371296296,-0.391666667,1,0,0,5.533,Pumice_rect,0,0,0,0,1
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,6,05,,,,,,,,,,,2,9.237,0,,,,,,-0.132407407,-0.262962963,1,0,0,9.237,Basalt_rect,1,0,1,0,1
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,3,13,,,,,,,,,,,3,9.087,1,,,,,,0.080555556,-0.269444444,1,0,0,9.087,Diorite_rect,2,0,2,0,1
61267e282a445af9eb95beae,SCN,2024-06-10_15h02.18.257,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,6,07,,,,,,,,,,,6,2.53,1,,,,,,-0.100925926,-0.399074074,1,0,0,2.5304,Pegmatite_rect,3,0,3,0,1
