participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.003703718,0.003703683,1,0,0,1.229,rock_grid_rect_2,2,11,-1,-1,1.229,0.380555612,-0.262037065,1,0,0,2.0799,Gabbro_rect,4,2.08,0,0,0,0,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.012962977,-0.005555577,1,0,0,0.9073,rock_grid_rect_2,6,11,-1,-1,0.907,0.404629601,-0.412037037,1,0,0,1.1433,Pumice_rect,8,1.143,0,1,0,1,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.041666667,0,1,0,0,1.3632,rock_grid_rect_2,8,16,-1,-1,1.363,0.396296325,-0.406481496,1,0,0,1.2422,Pumice_rect,8,1.242,1,2,0,2,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.037037037,-0.002777771,1,0,0,1.3819,rock_grid_rect_2,8,05,-1,-1,1.382,0.393518519,-0.244444459,1,0,0,1.0257,Gabbro_rect,4,1.026,0,3,0,3,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.001851824,0.009259259,1,0,0,1.0647,rock_grid_rect_2,6,07,-1,-1,1.065,0.329629686,-0.261111153,1,0,0,1.3782,Gabbro_rect,4,1.378,0,4,0,4,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.005555541,0.014814801,1,0,0,0.764,rock_grid_rect_2,1,01,-1,-1,0.764,0.082407422,-0.397222236,1,0,0,1.2078,Peridotite_rect,7,1.208,0,5,0,5,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.064814815,-0.005555577,1,0,0,0.8469,rock_grid_rect_2,4,12,-1,-1,0.847,-0.128703718,-0.266666695,1,0,0,1.128,Basalt_rect,2,1.128,0,6,0,6,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.003703718,-0.005555577,1,0,0,0.7497,rock_grid_rect_2,2,02,-1,-1,0.75,0.398148148,-0.25462963,1,0,0,1.7927,Gabbro_rect,4,1.793,0,7,0,7,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.036111125,0.012962942,1,0,0,0.797,rock_grid_rect_2,5,07,-1,-1,0.797,-0.422222208,-0.387037065,1,0,0,0.9766,Obsidian_rect,5,0.977,1,8,0,8,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.025000042,0.006481489,1,0,0,0.9482,rock_grid_rect_2,3,09,-1,-1,0.948,-0.102777764,-0.256481524,1,0,0,0.8941,Basalt_rect,2,0.894,0,9,0,9,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.043518561,-0.005555577,1,0,0,1.2648,rock_grid_rect_2,5,12,-1,-1,1.265,-0.372222229,-0.420370384,1,0,0,1.1268,Obsidian_rect,5,1.127,1,10,0,10,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,-0.020370342,-0.008333347,1,0,0,0.7994,rock_grid_rect_2,3,11,-1,-1,0.799,0.119444459,-0.37962963,1,0,0,0.8244,Peridotite_rect,7,0.824,0,11,0,11,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.007407365,0.009259259,1,0,0,0.8147,rock_grid_rect_2,1,06,-1,-1,0.815,-0.080555527,-0.388888889,1,0,0,0.7587,Pegmatite_rect,6,0.759,0,12,0,12,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,-0.006481453,-0.005555577,1,0,0,0.8981,rock_grid_rect_2,7,06,-1,-1,0.898,0.080555598,-0.395370413,1,0,0,2.915,Peridotite_rect,7,2.915,1,13,0,13,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.001851894,-0.003703718,1,0,0,0.881,rock_grid_rect_2,7,15,-1,-1,0.881,-0.102777764,-0.37962963,1,0,0,0.8264,Pegmatite_rect,6,0.826,0,14,0,14,0,1,,,,,,,,,,,,,
6132542039ead71f30971bd6,TCN,2024-06-11_14h55.29.142,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,-0.015740712,0.001851859,1,0,0,0.7806,rock_grid_rect_2,4,11,-1,-1,0.781,-0.314814815,-0.263888889,1,0,0,1.2763,Andesite_rect,1,1.276,0,15,0,15,0,1,,,,,,,,,,,,,
