participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,1,-0.256644263,0.11938446,1,0,0,6.9531,Obsidian_08,5,08,4,3,6.953,-0.393295988,-0.398173947,1,0,0,9.1059,Obsidian_rect,5,9.106,1,0,0,0,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,2,0.396343679,0.260582539,1,0,0,8.031,Pumice_16,8,16,5,7,8.031,0.365707441,-0.408212394,1,0,0,7.4959,Pumice_rect,8,7.496,1,1,0,1,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,3,-0.38236711,0.239023422,1,0,0,4.8506,Pegmatite_10,6,10,5,2,4.851,0.126981981,-0.231704887,1,0,0,12.5362,Diorite_rect,3,12.536,0,2,0,2,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,4,-0.082986214,-0.268868345,1,0,0,10.0732,Pumice_10,8,10,2,4,10.073,-0.176211294,-0.24801662,1,0,0,7.774,Basalt_rect,2,7.774,0,3,0,3,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,5,0.37685755,0.406707796,1,0,0,3.5684,Pegmatite_15,6,15,6,7,3.568,0.123023091,-0.398504918,1,0,0,10.6915,Peridotite_rect,7,10.692,0,4,0,4,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,6,-0.406987843,-0.08841502,1,0,0,5.1806,Andesite_03,1,03,3,2,5.181,0.138674149,-0.397288937,1,0,0,9.244,Peridotite_rect,7,9.244,0,5,0,5,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,7,0.254573877,-0.415075614,1,0,0,15.6589,Peridotite_05,7,05,1,6,15.659,0.156624431,-0.23518341,1,0,0,9.3137,Diorite_rect,3,9.314,0,6,0,6,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,8,0.218412383,0.105762034,1,0,0,11.0915,Gabbro_12,4,12,4,6,11.091,-0.382750372,-0.248378109,1,0,0,14.5204,Andesite_rect,1,14.52,0,7,0,7,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,9,-0.545847589,0.25468705,1,0,0,3.4594,Basalt_05,2,05,5,1,3.459,-0.127610608,-0.250484609,1,0,0,7.493,Basalt_rect,2,7.493,1,8,0,8,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,10,-0.07290492,0.398663824,1,0,0,10.067,Pegmatite_08,6,08,6,4,10.067,-0.14250887,-0.400039542,1,0,0,2.5074,Pegmatite_rect,6,2.507,1,9,0,9,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,11,0.564763985,-0.120689764,1,0,0,4.7333,Diorite_06,3,06,3,8,4.733,0.419744453,-0.241140109,1,0,0,3.5655,Gabbro_rect,4,3.565,0,10,0,10,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,12,0.392750213,-0.099212515,1,0,0,2.7095,Obsidian_05,5,05,3,7,2.709,-0.405678779,-0.412074485,1,0,0,7.9061,Obsidian_rect,5,7.906,1,11,0,11,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,13,0.244644121,-0.261877197,1,0,0,6.4216,Obsidian_14,5,14,2,6,6.422,-0.411328204,-0.396955867,1,0,0,3.7898,Obsidian_rect,5,3.79,1,12,0,12,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,14,0.390485529,-0.411326149,1,0,0,4.5644,Pegmatite_12,6,12,1,7,4.564,0.389834079,-0.238229309,1,0,0,11.6123,Gabbro_rect,4,11.612,0,13,0,13,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,15,-0.550217003,-0.400802044,1,0,0,4.6111,Diorite_08,3,08,1,1,4.611,0.124001664,-0.254269226,1,0,0,5.5305,Diorite_rect,3,5.531,1,14,0,14,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,1,16,0.066078864,-0.234252667,1,0,0,24.9999,Gabbro_14,4,14,2,5,25,-0.422005858,-0.251896287,1,0,0,15.3466,Andesite_rect,1,15.347,0,15,0,15,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,1,,,,,,,,2,16,,,,,,,,,,,4,14.549,0,,,,,,0.419432632,-0.249139999,1,0,0,14.5488,Gabbro_rect,0,0,0,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,2,,,,,,,,8,06,,,,,,,,,,,8,3.424,1,,,,,,0.404731117,-0.400521352,1,0,0,3.424,Pumice_rect,1,0,1,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,3,,,,,,,,1,05,,,,,,,,,,,3,7.945,0,,,,,,0.138599909,-0.251241077,1,0,0,7.9446,Diorite_rect,2,0,2,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,4,,,,,,,,4,11,,,,,,,,,,,4,17.149,1,,,,,,0.413298511,-0.235724507,1,0,0,17.1495,Gabbro_rect,3,0,3,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,5,,,,,,,,7,13,,,,,,,,,,,7,10.968,1,,,,,,0.111157874,-0.399539718,1,0,0,10.9679,Peridotite_rect,4,0,4,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,6,,,,,,,,5,06,,,,,,,,,,,5,3.17,1,,,,,,-0.38366979,-0.39442081,1,0,0,3.1701,Obsidian_rect,5,0,5,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,7,,,,,,,,7,15,,,,,,,,,,,7,19.805,1,,,,,,0.122452001,-0.396741807,1,0,0,19.8047,Peridotite_rect,6,0,6,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,8,,,,,,,,6,11,,,,,,,,,,,5,4.01,0,,,,,,-0.411926401,-0.406532965,1,0,0,4.0095,Obsidian_rect,7,0,7,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,9,,,,,,,,4,15,,,,,,,,,,,3,12.449,0,,,,,,0.147368073,-0.241697557,1,0,0,12.4487,Diorite_rect,8,0,8,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,10,,,,,,,,6,06,,,,,,,,,,,1,11.484,0,,,,,,-0.401931938,-0.250654773,1,0,0,11.4836,Andesite_rect,9,0,9,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,11,,,,,,,,3,15,,,,,,,,,,,3,12.253,1,,,,,,0.149077582,-0.241809484,1,0,0,12.2534,Diorite_rect,10,0,10,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,12,,,,,,,,3,07,,,,,,,,,,,5,4.619,0,,,,,,-0.396411491,-0.386934996,1,0,0,4.6186,Obsidian_rect,11,0,11,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,13,,,,,,,,5,04,,,,,,,,,,,5,1.918,1,,,,,,-0.402086056,-0.404165273,1,0,0,1.9184,Obsidian_rect,12,0,12,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,14,,,,,,,,2,12,,,,,,,,,,,2,12.555,1,,,,,,-0.150013746,-0.236694511,1,0,0,12.5552,Basalt_rect,13,0,13,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,15,,,,,,,,1,09,,,,,,,,,,,3,18.787,0,,,,,,0.14118446,-0.246376453,1,0,0,18.7875,Diorite_rect,14,0,14,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,1,2,16,,,,,,,,8,13,,,,,,,,,,,8,4.476,1,,,,,,0.430455074,-0.410790561,1,0,0,4.4764,Pumice_rect,15,0,15,0,1
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,2,1,1,-0.064340499,-0.414051919,1,0,0,6.4859,Gabbro_13,4,13,1,4,6.486,0.410563821,-0.236040088,1,0,0,12.0288,Gabbro_rect,4,12.029,1,0,0,0,0,1,,,,,,,,,,,,
614eb0a92921d8c1e64f4873,SCN,2024-06-10_14h55.13.191,LearnStrategy,2023.2.3,Linux x86_64,59.96282305,2,1,2,-0.239263453,-0.419828923,1,0,0,7.7365,Gabbro_10,4,10,1,3,7.736,0.13393072,-0.246884234,1,0,0,5.8886,Diorite_rect,3,5.889,0,1,0,1,0,1,,,,,,,,,,,,
