participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,1,-0.068654625,0.090383659,1,0,0,7.8758,Obsidian_06,5,06,4,4,7.876,0.162505807,-0.254507762,1,0,0,22.6605,Diorite_rect,3,22.661,0,0,0,0,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,2,-0.104715539,-0.088996912,1,0,0,14.2641,Pegmatite_07,6,07,3,4,14.264,-0.109801061,-0.253120694,1,0,0,1.7306,Basalt_rect,2,1.731,0,1,0,1,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,3,0.389043024,-0.113962118,1,0,0,6.5315,Pegmatite_15,6,15,3,7,6.531,0.395515516,-0.40707358,1,0,0,2.5654,Pumice_rect,8,2.565,0,2,0,2,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,4,-0.276236574,0.254045307,1,0,0,23.3623,Peridotite_04,7,04,5,3,23.362,-0.371474775,-0.397364842,1,0,0,2.2966,Obsidian_rect,5,2.297,0,3,0,3,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,5,-0.546694339,-0.253120694,1,0,0,14.6468,Diorite_14,3,14,2,1,14.647,-0.360841424,-0.239713502,1,0,0,1.6593,Andesite_rect,1,1.659,0,4,0,4,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,6,0.379796593,-0.418631544,1,0,0,14.2338,Obsidian_14,5,14,1,7,14.234,0.373324101,-0.246185994,1,0,0,2.252,Gabbro_rect,4,2.252,0,5,0,5,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,7,0.564725215,0.087609794,1,0,0,3.1311,Andesite_04,1,04,4,8,3.131,0.096394165,-0.255894732,1,0,0,1.6954,Diorite_rect,3,1.695,0,6,0,6,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,8,-0.546232082,0.095006924,1,0,0,7.8392,Basalt_11,2,11,4,1,7.839,-0.137540305,-0.232778704,1,0,0,2.2497,Basalt_rect,2,2.25,1,7,0,7,0,1,,,,,,,,,,,,,
6238dfab577ecd4adb97a917,SCN,2024-06-12_12h39.26.781,LearnStrategy,2023.2.3,Win32,30.03003003,1,1,9,0.24110062,0.412159022,1,0,0,6.8635,Pumice_14,8,14,6,6,6.863,0.402450315,-0.387656104,1,0,0,3.2478,Pumice_rect,8,3.248,1,8,0,8,0,1,,,,,,,,,,,,,
