participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,1,0.003564358,0.009604375,1,0,0,6.0948,rock_grid_rect_2,3,13,-1,-1,6.095,-0.136139393,-0.255589644,1,0,0,9.2263,Basalt_rect,2,9.226,0,0,0,0,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,2,0.02136604,-0.011464755,1,0,0,2.7628,rock_grid_rect_2,6,10,-1,-1,2.763,0.362571319,-0.244024833,1,0,0,9.4199,Gabbro_rect,4,9.42,0,1,0,1,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,3,-0.009880702,0.024839322,1,0,0,2.1812,rock_grid_rect_2,8,04,-1,-1,2.181,0.404953957,-0.40616862,1,0,0,2.7123,Pumice_rect,8,2.712,1,2,0,2,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,4,0.04392004,-0.00965337,1,0,0,1.2009,rock_grid_rect_2,1,05,-1,-1,1.201,-0.134655476,-0.255280654,1,0,0,3.5443,Basalt_rect,2,3.544,0,3,0,3,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,5,-0.035122792,0.002507726,1,0,0,1.883,rock_grid_rect_2,6,11,-1,-1,1.883,-0.394083142,-0.415071487,1,0,0,9.5473,Obsidian_rect,5,9.547,0,4,0,4,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,6,0.007179737,-0.003491402,1,0,0,1.8463,rock_grid_rect_2,2,10,-1,-1,1.846,-0.091645797,-0.261577845,1,0,0,5.8589,Basalt_rect,2,5.859,1,5,0,5,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,7,0.033423265,-0.000265241,1,0,0,1.7142,rock_grid_rect_2,7,04,-1,-1,1.714,0.119719267,-0.378653288,1,0,0,3.7021,Peridotite_rect,7,3.702,1,6,0,6,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,8,0.004514058,-0.004330993,1,0,0,1.4999,rock_grid_rect_2,2,16,-1,-1,1.5,0.395936012,-0.419849157,1,0,0,2.2648,Pumice_rect,8,2.265,0,7,0,7,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,9,0.066356262,-0.011155089,1,0,0,2.6168,rock_grid_rect_2,7,07,-1,-1,2.617,0.055117448,-0.402976513,1,0,0,5.6576,Peridotite_rect,7,5.658,1,8,0,8,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,10,0.045905034,-0.0137796,1,0,0,1.6313,rock_grid_rect_2,3,06,-1,-1,1.631,-0.41151762,-0.412869056,1,0,0,5.054,Obsidian_rect,5,5.054,0,9,0,9,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,11,0.028854688,0.014515082,1,0,0,1.7004,rock_grid_rect_2,5,02,-1,-1,1.7,0.375094573,-0.251056751,1,0,0,6.3808,Gabbro_rect,4,6.381,0,10,0,10,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,12,0.03269426,-0.003370762,1,0,0,2.3996,rock_grid_rect_2,8,14,-1,-1,2.4,0.392919779,-0.407318036,1,0,0,2.3223,Pumice_rect,8,2.322,1,11,0,11,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,13,0.002423207,-0.003171325,1,0,0,1.7802,rock_grid_rect_2,4,14,-1,-1,1.78,0.129948378,-0.263805787,1,0,0,2.6625,Diorite_rect,3,2.663,0,12,0,12,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,14,-0.022535324,0.016002576,1,0,0,1.7836,rock_grid_rect_2,5,10,-1,-1,1.784,0.138529062,-0.382457018,1,0,0,5.8678,Peridotite_rect,7,5.868,0,13,0,13,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,15,0.05284516,0.007520556,1,0,0,2.0966,rock_grid_rect_2,4,09,-1,-1,2.097,-0.166186968,-0.400389194,1,0,0,3.6307,Pegmatite_rect,6,3.631,0,14,0,14,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,16,0.043541114,0.015140136,1,0,0,1.8841,rock_grid_rect_2,1,09,-1,-1,1.884,-0.138855378,-0.261412938,1,0,0,3.827,Basalt_rect,2,3.827,0,15,0,15,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,1,,,,,,,,1,16,,,,,,,,,,,7,37.259,0,,,,,,0.079359452,-0.403920809,1,0,0,37.2593,Peridotite_rect,0,0,0,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,2,,,,,,,,4,16,,,,,,,,,,,2,9.49,0,,,,,,-0.104528904,-0.252364,1,0,0,9.49,Basalt_rect,1,0,1,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,3,,,,,,,,5,12,,,,,,,,,,,5,6.017,1,,,,,,-0.374691685,-0.381452243,1,0,0,6.0169,Obsidian_rect,2,0,2,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,4,,,,,,,,3,02,,,,,,,,,,,1,15.705,0,,,,,,-0.370912353,-0.253946622,1,0,0,15.705,Andesite_rect,3,0,3,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,5,,,,,,,,2,06,,,,,,,,,,,2,18.779,1,,,,,,-0.126758337,-0.234967788,1,0,0,18.7791,Basalt_rect,4,0,4,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,6,,,,,,,,5,04,,,,,,,,,,,5,8.262,1,,,,,,-0.363028765,-0.392710845,1,0,0,8.2619,Obsidian_rect,5,0,5,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,7,,,,,,,,4,01,,,,,,,,,,,6,14.212,0,,,,,,-0.114063104,-0.382666349,1,0,0,14.2125,Pegmatite_rect,6,0,6,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,8,,,,,,,,7,02,,,,,,,,,,,6,2.534,0,,,,,,-0.114063104,-0.382666349,1,0,0,2.5343,Pegmatite_rect,7,0,7,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,9,,,,,,,,8,16,,,,,,,,,,,2,44.586,0,,,,,,-0.129396915,-0.231319189,1,0,0,44.5856,Basalt_rect,8,0,8,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,10,,,,,,,,6,09,,,,,,,,,,,6,23.648,1,,,,,,-0.126376708,-0.386858622,1,0,0,23.6478,Pegmatite_rect,9,0,9,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,11,,,,,,,,8,09,,,,,,,,,,,8,6.114,1,,,,,,0.427035729,-0.380928198,1,0,0,6.1137,Pumice_rect,10,0,10,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,12,,,,,,,,3,11,,,,,,,,,,,1,11.564,0,,,,,,-0.424751083,-0.232111533,1,0,0,11.564,Andesite_rect,11,0,11,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,13,,,,,,,,1,10,,,,,,,,,,,8,3.622,0,,,,,,0.344739993,-0.407179197,1,0,0,3.6222,Pumice_rect,12,0,12,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,14,,,,,,,,6,16,,,,,,,,,,,6,4.836,1,,,,,,-0.1380229,-0.416491667,1,0,0,4.8362,Pegmatite_rect,13,0,13,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,15,,,,,,,,7,06,,,,,,,,,,,6,1.478,0,,,,,,-0.1380229,-0.416491667,1,0,0,1.478,Pegmatite_rect,14,0,14,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,16,,,,,,,,2,09,,,,,,,,,,,4,12.435,0,,,,,,0.371696154,-0.253177802,1,0,0,12.4352,Gabbro_rect,15,0,15,0,1,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,1,0.030475537,0.001620134,1,0,0,2.9308,rock_grid_rect_2,6,13,-1,-1,2.931,0.414233685,-0.25718228,1,0,0,10.1219,Gabbro_rect,4,10.122,0,0,0,0,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,2,0.037143946,0.009705027,1,0,0,3.8154,rock_grid_rect_2,7,16,-1,-1,3.815,-0.117397308,-0.389092684,1,0,0,3.9847,Pegmatite_rect,6,3.985,0,1,0,1,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,3,-0.101712863,-0.005680879,1,0,0,1.5471,rock_grid_rect_2,5,07,-1,-1,1.547,-0.125361125,-0.392297665,1,0,0,5.4325,Pegmatite_rect,6,5.432,0,2,0,2,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,4,0.044924498,0.005806764,1,0,0,3.2329,rock_grid_rect_2,2,05,-1,-1,3.233,0.402087132,-0.234639247,1,0,0,4.365,Gabbro_rect,4,4.365,0,3,0,3,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,5,-0.117166917,-0.0126369,1,0,0,1.366,rock_grid_rect_2,3,14,-1,-1,1.366,-0.358238816,-0.237809738,1,0,0,14.9656,Andesite_rect,1,14.966,0,4,0,4,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,6,-0.02828145,-0.016070724,1,0,0,1.9662,rock_grid_rect_2,3,07,-1,-1,1.966,0.095352332,-0.256747802,1,0,0,4.3085,Diorite_rect,3,4.308,1,5,0,5,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,7,-0.014399131,-0.015726805,1,0,0,1.1778,rock_grid_rect_2,5,06,-1,-1,1.178,0.422115882,-0.238265038,1,0,0,3.2728,Gabbro_rect,4,3.273,0,6,0,6,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,8,0.031311035,0.003673275,1,0,0,1.7175,rock_grid_rect_2,1,07,-1,-1,1.717,0.145821412,-0.265686512,1,0,0,7.5115,Diorite_rect,3,7.511,0,7,0,7,0,1,,,,,,,,,,,,,
6266a599c7361af8b51a95e0,TCN,2024-06-21_10h48.13.353,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,2,1,9,-0.009703716,-0.005287886,1,0,0,2.5993,rock_grid_rect_2,7,08,-1,-1,2.599,0.403960784,-0.420397123,1,0,0,2.1145,Pumice_rect,8,2.114,0,8,0,8,0,1,,,,,,,,,,,,,
