participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.070041595,-0.101017134,1,0,0,18.3142,Obsidian_08,5,08,3,4,18.314,-0.109801061,-0.248959933,1,0,0,12.6384,Basalt_rect,2,12.638,0,0,0,0,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.352981962,-0.42186779,1,0,0,20.0359,Obsidian_05,5,05,1,2,20.036,-0.341886255,-0.24803527,1,0,0,13.0429,Andesite_rect,1,13.043,0,1,0,1,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.217059632,0.075589424,1,0,0,1.583,Pegmatite_10,6,10,4,3,1.583,0.068654675,-0.388580816,1,0,0,11.5023,Peridotite_rect,7,11.502,0,2,0,2,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.390892251,-0.123208648,1,0,0,4.4581,Peridotite_13,7,13,3,2,4.458,0.405224254,-0.254507762,1,0,0,8.9765,Gabbro_rect,4,8.977,0,3,0,3,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.377485257,0.408460469,1,0,0,8.6382,Obsidian_14,5,14,6,7,8.638,-0.132917089,-0.25080921,1,0,0,17.6595,Basalt_rect,2,17.66,0,4,0,4,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.406611174,0.410309751,1,0,0,5.12,Pumice_03,8,03,6,2,5.12,0.39227927,-0.408922807,1,0,0,4.233,Pumice_rect,8,4.233,1,5,0,5,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.534211736,-0.258206216,1,0,0,2.9931,Pumice_05,8,05,2,1,2.993,0.394128793,-0.400601088,1,0,0,1.3615,Pumice_rect,8,1.362,1,6,0,6,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.587378937,0.095006924,1,0,0,11.8779,Diorite_02,3,02,4,8,11.878,-0.356680515,-0.391354657,1,0,0,2.1103,Obsidian_rect,5,2.11,0,7,0,7,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.228617943,0.060795164,1,0,0,1.6535,Pegmatite_16,6,16,4,6,1.654,-0.369625499,-0.247110509,1,0,0,11.5992,Andesite_rect,1,11.599,0,8,0,8,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.109339149,0.412159022,1,0,0,4.5946,Obsidian_07,5,07,6,5,4.595,0.374711318,-0.245261232,1,0,0,19.1943,Gabbro_rect,4,19.194,0,9,0,9,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.54715672,0.383495146,1,0,0,7.6974,Diorite_16,3,16,6,1,7.697,-0.382570483,-0.396902634,1,0,0,3.0162,Obsidian_rect,5,3.016,0,10,0,10,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,-0.082061817,0.094082286,1,0,0,2.1936,Pumice_08,8,08,4,4,2.194,0.415395298,-0.387656104,1,0,0,2.1647,Pumice_rect,8,2.165,1,11,0,11,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.56056406,0.234627832,1,0,0,8.293,Gabbro_11,4,11,5,8,8.293,0.4227927,-0.390430142,1,0,0,2.2456,Pumice_rect,8,2.246,0,12,0,12,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.07697669,-0.088996912,1,0,0,2.3039,Andesite_11,1,11,3,5,2.304,-0.354831239,-0.408922807,1,0,0,25.1975,Obsidian_rect,5,25.197,0,13,0,13,0,1,,,,,,,,,,,,,
62897d2024f826ea90b7efa1,SCN,2024-06-11_12h10.03.285,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,-0.230929131,0.240175611,1,0,0,12.8288,Obsidian_02,5,02,5,3,12.829,0.175913098,-0.246185994,1,0,0,11.541,Diorite_rect,3,11.541,0,14,0,14,0,1,,,,,,,,,,,,,
