participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,1,0.092453613,-0.010368924,1,0,0,8.3399,rock_grid_rect_2,6,15,-1,-1,8.34,0.109624769,-0.256140747,1,0,0,8.3943,Diorite_rect,3,8.394,0,0,0,0,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,2,-0.058855659,-0.017396749,1,0,0,9.1265,rock_grid_rect_2,8,16,-1,-1,9.127,0.38722602,-0.403075697,1,0,0,5.2841,Pumice_rect,8,5.284,1,1,0,1,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,3,-0.023426107,-0.001771715,1,0,0,1.3034,rock_grid_rect_2,8,10,-1,-1,1.303,0.374749485,-0.412828166,1,0,0,5.0559,Pumice_rect,8,5.056,1,2,0,2,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,4,-0.000580851,-0.004688246,1,0,0,1.4673,rock_grid_rect_2,2,04,-1,-1,1.467,-0.170500488,-0.251871609,1,0,0,4.6011,Basalt_rect,2,4.601,1,3,0,3,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,5,0.026692844,-0.011420085,1,0,0,1.2498,rock_grid_rect_2,5,02,-1,-1,1.25,0.172491998,-0.407588976,1,0,0,6.1586,Peridotite_rect,7,6.159,0,4,0,4,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,6,-0.011368001,0.007619765,1,0,0,1.9168,rock_grid_rect_2,4,01,-1,-1,1.917,-0.380937195,-0.238262397,1,0,0,8.6157,Andesite_rect,1,8.616,0,5,0,5,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,7,-0.047864787,-0.007141724,1,0,0,4.8254,rock_grid_rect_2,7,07,-1,-1,4.825,0.127998725,-0.254246419,1,0,0,8.0049,Diorite_rect,3,8.005,0,6,0,6,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,8,0.06356642,-0.006381056,1,0,0,1.1185,rock_grid_rect_2,3,09,-1,-1,1.118,-0.35381368,-0.244937134,1,0,0,4.1878,Andesite_rect,1,4.188,0,7,0,7,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,9,0.032247993,0.000184428,1,0,0,1.3324,rock_grid_rect_2,3,11,-1,-1,1.332,0.386512316,-0.247426147,1,0,0,5.6333,Gabbro_rect,4,5.633,0,8,0,8,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,10,0.004944051,-0.018728638,1,0,0,1.919,rock_grid_rect_2,5,05,-1,-1,1.919,-0.105125732,-0.261206123,1,0,0,5.8385,Basalt_rect,2,5.839,0,9,0,9,0,1,,,,,,,,,,,,,
630386f64c5bbd56ab1c3b0f,TCN,2024-06-24_11h48.05.928,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,11,0.009920044,-0.001372579,1,0,0,1.2158,rock_grid_rect_2,1,09,-1,-1,1.216,0.33148546,-0.238666314,1,0,0,3.8826,Gabbro_rect,4,3.883,0,10,0,10,0,1,,,,,,,,,,,,,
