participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,1,0.542943016,-0.399099099,1,0,0,13.2206,Peridotite_04,7,04,1,8,13.221,8,04,0.151351351,-0.394294313,1,0,0,19.2581,Peridotite_rect,7,19.258,1,0,0,0,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,2,0.395195269,0.08858857,1,0,0,10.5286,Pumice_06,8,06,4,7,10.529,3,14,-0.183783784,-0.254354391,1,0,0,16.2831,Basalt_rect,2,16.283,0,1,0,1,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,3,0.527327364,0.078378378,1,0,0,3.8052,Andesite_04,1,04,4,8,3.805,4,03,0.183783784,-0.392492511,1,0,0,3.7609,Peridotite_rect,7,3.761,0,2,0,2,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,4,-0.387387387,-0.068168186,1,0,0,2.1213,Pegmatite_11,6,11,3,2,2.121,6,11,-0.40840839,-0.385885923,1,0,0,9.712,Obsidian_rect,5,9.712,0,3,0,3,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,5,0.224624661,-0.272972973,1,0,0,2.9709,Obsidian_02,5,02,2,6,2.971,5,02,-0.404804786,-0.384084121,1,0,0,8.2095,Obsidian_rect,5,8.21,1,4,0,4,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,6,0.407807881,-0.251351351,1,0,0,4.9192,Gabbro_13,4,13,2,7,4.919,2,02,0.375375449,-0.259159177,1,0,0,3.8201,Gabbro_rect,4,3.82,1,5,0,5,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,7,0.398798872,-0.391291328,1,0,0,23.5204,Basalt_10,2,10,1,7,23.52,2,10,0.353153153,-0.387087105,1,0,0,11.1666,Pumice_rect,8,11.167,0,6,0,6,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,8,0.037237274,-0.203903941,1,0,0,2.2377,Andesite_10,1,10,2,5,2.238,1,10,-0.305705687,-0.242942961,1,0,0,12.4381,Andesite_rect,1,12.438,1,7,0,7,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,9,-0.5183183,0.067567568,1,0,0,5.5639,Diorite_09,3,09,4,1,5.564,3,09,0.077477477,-0.245345382,1,0,0,8.4865,Diorite_rect,3,8.486,1,8,0,8,0,1,,,,,,,,,,,,,
633a35fc5b65d7fa6965c176,SCR,2024-06-24_14h37.30.825,LearnStrategy,2023.2.3,Win32,2.727024816,1,1,10,0.080480517,0.084984967,1,0,0,6.7255,Peridotite_16,7,16,4,5,6.726,7,16,-0.350750732,-0.389489526,1,0,0,8.9289,Obsidian_rect,5,8.929,0,9,0,9,0,1,,,,,,,,,,,,,
