participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.102777764,-0.017592607,1,0,0,4.2352,rock_grid_rect_2,7,02,-1,-1,4.235,0.123148176,-0.402777778,1,0,0,3.3893,Peridotite_rect,7,3.389,1,0,0,0,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.086111139,-0.011111118,1,0,0,2.6625,rock_grid_rect_2,4,14,-1,-1,2.663,0.118518547,-0.248148176,1,0,0,1.6706,Diorite_rect,3,1.671,0,1,0,1,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.086111139,0.017592571,1,0,0,1.5594,rock_grid_rect_2,5,12,-1,-1,1.559,0.183333362,-0.267592607,1,0,0,5.3535,Diorite_rect,3,5.354,0,2,0,2,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.113888917,-0.009259259,1,0,0,1.3367,rock_grid_rect_2,6,09,-1,-1,1.337,0.180555556,-0.392592607,1,0,0,3.0716,Peridotite_rect,7,3.072,0,3,0,3,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.106481481,0.003703683,1,0,0,1.4338,rock_grid_rect_2,4,11,-1,-1,1.434,0.409259231,-0.387962977,1,0,0,3.4699,Pumice_rect,8,3.47,0,4,0,4,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.100000028,0.01944443,1,0,0,1.21,rock_grid_rect_2,1,06,-1,-1,1.21,0.35555564,-0.259259259,1,0,0,1.7658,Gabbro_rect,4,1.766,0,5,0,5,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.047222208,-0.013888889,1,0,0,0.8125,rock_grid_rect_2,5,06,-1,-1,0.813,-0.350925905,-0.393518519,1,0,0,2.9669,Obsidian_rect,5,2.967,1,6,0,6,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.135185171,0.006481489,1,0,0,1.2695,rock_grid_rect_2,8,04,-1,-1,1.269,0.424074102,-0.392592607,1,0,0,2.4577,Pumice_rect,8,2.458,1,7,0,7,0,1,,,,,,,,,,,,,
6345bfdce5f06f5b4ee98ea8,TCR,2024-06-11_13h33.02.963,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.092592593,-0.000925947,1,0,0,1.0853,rock_grid_rect_2,3,06,-1,-1,1.085,-0.362037023,-0.255555541,1,0,0,5.1043,Andesite_rect,1,5.104,0,8,0,8,0,1,,,,,,,,,,,,,
