participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,-0.532552083,0.420572917,1,0,0,10.2485,Andesite_01,1,01,6,1,10.248,0.180989583,-0.263020833,1,0,0,14.736,Diorite_rect,3,14.736,0,0,0,0,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,-0.3671875,0.40234375,1,0,0,3.5259,Diorite_16,3,16,6,2,3.526,-0.141927083,-0.404947917,1,0,0,7.5653,Pegmatite_rect,6,7.565,0,1,0,1,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,-0.229166667,0.385416667,1,0,0,6.2797,Peridotite_04,7,04,6,3,6.28,-0.106770833,-0.408854167,1,0,0,7.1479,Pegmatite_rect,6,7.148,0,2,0,2,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.08984375,0.4296875,1,0,0,1.9955,Peridotite_02,7,02,6,4,1.996,0.401041667,-0.2421875,1,0,0,6.3298,Gabbro_rect,4,6.33,0,3,0,3,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,0.059895833,0.40625,1,0,0,7.0357,Basalt_09,2,09,6,5,7.036,-0.1328125,-0.233072917,1,0,0,3.5877,Basalt_rect,2,3.588,1,4,0,4,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,0.243489583,0.407552083,1,0,0,2.7207,Peridotite_07,7,07,6,6,2.721,0.385416667,-0.3984375,1,0,0,8.3626,Pumice_rect,8,8.363,0,5,0,5,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,0.393229167,0.399739583,1,0,0,5.4567,Peridotite_06,7,06,6,7,5.457,0.428385417,-0.2578125,1,0,0,6.0514,Gabbro_rect,4,6.051,0,6,0,6,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.548177083,0.391927083,1,0,0,12.7471,Peridotite_08,7,08,6,8,12.747,0.1640625,-0.393229167,1,0,0,2.6505,Peridotite_rect,7,2.651,1,7,0,7,0,1,,,,,,,,,,,,,
63bc819194ca25a555eb8fb5,SCN,2024-06-20_16h32.29.159,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.541666667,0.24609375,1,0,0,2.3198,Basalt_04,2,04,5,1,2.32,-0.127604167,-0.236979167,1,0,0,1.6249,Basalt_rect,2,1.625,1,8,0,8,0,1,,,,,,,,,,,,,
