participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,1,-0.001851824,0.00462963,1,0,0,4.3296,rock_grid_rect_2,5,04,-1,-1,4.33,-0.330555563,-0.250925912,1,0,0,7.6014,Andesite_rect,1,7.601,0,0,0,0,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,2,0.021296325,-0.014814836,1,0,0,1.3695,rock_grid_rect_2,8,13,-1,-1,1.37,0.089814857,-0.270370413,1,0,0,6.5577,Diorite_rect,3,6.558,0,1,0,1,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,3,-0.016666624,-0.017592607,1,0,0,1.1231,rock_grid_rect_2,7,12,-1,-1,1.123,-0.10555557,-0.243518547,1,0,0,1.8063,Basalt_rect,2,1.806,0,2,0,2,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,4,0.061111097,-0.009259259,1,0,0,1.1743,rock_grid_rect_2,4,01,-1,-1,1.174,0.188888903,-0.247222265,1,0,0,1.4633,Diorite_rect,3,1.463,0,3,0,3,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,5,-0.00462963,0.000925912,1,0,0,0.9404,rock_grid_rect_2,4,16,-1,-1,0.94,-0.346296275,-0.236111111,1,0,0,6.5719,Andesite_rect,1,6.572,0,4,0,4,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,6,0.049074102,0.013888889,1,0,0,1.1467,rock_grid_rect_2,3,09,-1,-1,1.147,0.135185171,-0.259259259,1,0,0,6.7745,Diorite_rect,3,6.774,1,5,0,5,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,7,0.034259302,-0.01203703,1,0,0,1.1726,rock_grid_rect_2,6,16,-1,-1,1.173,-0.106481481,-0.388888889,1,0,0,3.2003,Pegmatite_rect,6,3.2,1,6,0,6,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,8,-0.030555513,0.01203703,1,0,0,1.0053,rock_grid_rect_2,3,15,-1,-1,1.005,0.137962977,-0.262962977,1,0,0,5.9303,Diorite_rect,3,5.93,1,7,0,7,0,1,,,,,,,,,,,,,
63d2a4b549eb02187fd40092,TCR,2024-06-24_17h32.41.671,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,9,0.015740783,-0.006481489,1,0,0,1.1942,rock_grid_rect_2,8,06,-1,-1,1.194,-0.339814822,-0.24537037,1,0,0,4.4005,Andesite_rect,1,4.4,0,8,0,8,0,1,,,,,,,,,,,,,
