participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.04537037,0.002777778,1,0,0,2.9594,rock_grid_rect_2,3,09,-1,-1,2.959,0.128703704,-0.394444444,1,0,0,8.0769,Peridotite_rect,7,8.077,0,0,0,0,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.012962963,-0.00462963,1,0,0,7.1526,rock_grid_rect_2,5,04,-1,-1,7.153,-0.410185185,-0.388888889,1,0,0,3.3042,Obsidian_rect,5,3.304,1,1,0,1,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.013888889,0.008333333,1,0,0,1.1156,rock_grid_rect_2,7,04,-1,-1,1.116,-0.150925926,-0.407407407,1,0,0,28.0437,Pegmatite_rect,6,28.044,0,2,0,2,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.063888889,0,1,0,0,1.0245,rock_grid_rect_2,4,08,-1,-1,1.024,-0.118518519,-0.262037037,1,0,0,5.1173,Basalt_rect,2,5.117,0,3,0,3,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.038888889,-0.002777778,1,0,0,0.8424,rock_grid_rect_2,6,05,-1,-1,0.842,0.123148148,-0.396296296,1,0,0,5.266,Peridotite_rect,7,5.266,0,4,0,4,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.019444444,-0.014814815,1,0,0,1.0279,rock_grid_rect_2,2,09,-1,-1,1.028,-0.364814815,-0.242592593,1,0,0,7.3001,Andesite_rect,1,7.3,0,5,0,5,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.032407407,-0.012962963,1,0,0,1.0802,rock_grid_rect_2,7,15,-1,-1,1.08,-0.352777778,-0.243518519,1,0,0,7.5168,Andesite_rect,1,7.517,0,6,0,6,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.002777778,-0.005555556,1,0,0,1.1399,rock_grid_rect_2,8,06,-1,-1,1.14,0.392592593,-0.400925926,1,0,0,2.4639,Pumice_rect,8,2.464,1,7,0,7,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.044444444,0.009259259,1,0,0,1.3464,rock_grid_rect_2,3,15,-1,-1,1.346,-0.388888889,-0.243518519,1,0,0,5.7516,Andesite_rect,1,5.752,0,8,0,8,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.014814815,-0.005555556,1,0,0,1.2721,rock_grid_rect_2,6,07,-1,-1,1.272,-0.361111111,-0.256481481,1,0,0,6.724,Andesite_rect,1,6.724,0,9,0,9,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.001851852,-0.00462963,1,0,0,1.3756,rock_grid_rect_2,5,02,-1,-1,1.376,-0.377777778,-0.398148148,1,0,0,2.4479,Obsidian_rect,5,2.448,1,10,0,10,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.086111111,0.008333333,1,0,0,1.2449,rock_grid_rect_2,2,16,-1,-1,1.245,0.391666667,-0.409259259,1,0,0,5.0344,Pumice_rect,8,5.034,0,11,0,11,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.109259259,-0.014814815,1,0,0,1.4267,rock_grid_rect_2,1,14,-1,-1,1.427,0.134259259,-0.247222222,1,0,0,7.3859,Diorite_rect,3,7.386,0,12,0,12,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.033333333,0.010185185,1,0,0,1.3576,rock_grid_rect_2,8,10,-1,-1,1.358,0.391666667,-0.396296296,1,0,0,4.6895,Pumice_rect,8,4.69,1,13,0,13,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.07962963,0.005555556,1,0,0,0.9926,rock_grid_rect_2,4,05,-1,-1,0.993,0.15462963,-0.397222222,1,0,0,6.5252,Peridotite_rect,7,6.525,0,14,0,14,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,0.008333333,-0.010185185,1,0,0,1.2232,rock_grid_rect_2,1,04,-1,-1,1.223,0.15,-0.269444444,1,0,0,5.6684,Diorite_rect,3,5.668,0,15,0,15,0,1,,,,,,,,,,,,,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,6,11,,,,,,,,,,,6,23.499,1,,,,,,-0.081481481,-0.405555556,1,0,0,23.4993,Pegmatite_rect,0,0,0,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,6,10,,,,,,,,,,,7,6.28,0,,,,,,0.160185185,-0.385185185,1,0,0,6.2798,Peridotite_rect,1,0,1,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,5,11,,,,,,,,,,,5,1.303,1,,,,,,-0.373148148,-0.402777778,1,0,0,1.3028,Obsidian_rect,2,0,2,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,1,16,,,,,,,,,,,4,12.533,0,,,,,,0.444444444,-0.24537037,1,0,0,12.5332,Gabbro_rect,3,0,3,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,5,,,,,,,,2,02,,,,,,,,,,,2,3.399,1,,,,,,-0.146296296,-0.24537037,1,0,0,3.3987,Basalt_rect,4,0,4,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,6,,,,,,,,3,08,,,,,,,,,,,7,23.348,0,,,,,,0.150925926,-0.418518519,1,0,0,23.3479,Peridotite_rect,5,0,5,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,7,,,,,,,,7,13,,,,,,,,,,,7,6.388,1,,,,,,0.174074074,-0.398148148,1,0,0,6.3878,Peridotite_rect,6,0,6,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,8,,,,,,,,3,12,,,,,,,,,,,4,4.732,0,,,,,,0.433333333,-0.265740741,1,0,0,4.7317,Gabbro_rect,7,0,7,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,9,,,,,,,,8,03,,,,,,,,,,,8,2.378,1,,,,,,0.372222222,-0.415740741,1,0,0,2.3784,Pumice_rect,8,0,8,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,10,,,,,,,,4,03,,,,,,,,,,,2,4.771,0,,,,,,-0.105555556,-0.253703704,1,0,0,4.7714,Basalt_rect,9,0,9,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,11,,,,,,,,1,03,,,,,,,,,,,2,3.902,0,,,,,,-0.10462963,-0.25,1,0,0,3.9023,Basalt_rect,10,0,10,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,12,,,,,,,,2,05,,,,,,,,,,,2,5.894,1,,,,,,-0.102777778,-0.25,1,0,0,5.8944,Basalt_rect,11,0,11,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,13,,,,,,,,8,16,,,,,,,,,,,1,15.96,0,,,,,,-0.408333333,-0.252777778,1,0,0,15.9597,Andesite_rect,12,0,12,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,14,,,,,,,,4,11,,,,,,,,,,,2,2.38,0,,,,,,-0.102777778,-0.269444444,1,0,0,2.3797,Basalt_rect,13,0,13,0,1,
6422f34be2b8257efb345837,TCN,2024-06-11_10h10.12.859,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,15,,,,,,,,5,10,,,,,,,,,,,5,1.234,1,,,,,,-0.362037037,-0.4,1,0,0,1.2335,Obsidian_rect,14,0,14,0,1,
