participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,1,0.001776111,0.002320703,1,0,0,7.4947,rock_grid_rect_2,8,03,-1,-1,7.495,-0.138916389,-0.230390187,1,0,0,9.7918,Basalt_rect,2,9.792,0,0,0,0,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,2,-0.009753319,-0.002729583,1,0,0,4.6177,rock_grid_rect_2,3,06,-1,-1,4.618,0.148916272,-0.253075998,1,0,0,6.2458,Diorite_rect,3,6.246,1,1,0,1,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,3,0.020145393,-0.005073812,1,0,0,10.201,rock_grid_rect_2,4,10,-1,-1,10.201,-0.364477464,-0.415765953,1,0,0,4.95,Obsidian_rect,5,4.95,0,2,0,2,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,4,0.02361209,3.01757E-05,1,0,0,2.9004,rock_grid_rect_2,3,09,-1,-1,2.9,-0.390705054,-0.236091319,1,0,0,5.3263,Andesite_rect,1,5.326,0,3,0,3,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,5,-0.001374099,0.000343929,1,0,0,3.1359,rock_grid_rect_2,2,09,-1,-1,3.136,-0.046925531,-0.395856434,1,0,0,6.4083,Pegmatite_rect,6,6.408,0,4,0,4,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,6,0.004960256,-0.010275598,1,0,0,3.0291,rock_grid_rect_2,5,14,-1,-1,3.029,-0.428071778,-0.241547066,1,0,0,3.4491,Andesite_rect,1,3.449,0,5,0,5,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,7,-0.002189745,-0.00812529,1,0,0,2.2521,rock_grid_rect_2,8,14,-1,-1,2.252,0.413058465,-0.407873647,1,0,0,3.4878,Pumice_rect,8,3.488,1,6,0,6,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,8,-0.010856116,-0.005690378,1,0,0,4.104,rock_grid_rect_2,6,07,-1,-1,4.104,-0.334479928,-0.24839792,1,0,0,8.6709,Andesite_rect,1,8.671,0,7,0,7,0,1,,,,,,,,,,,,,
6543f753696f612571ac356c,TCN,2024-06-26_13h53.25.481,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,9,-0.096838802,0.001049407,1,0,0,2.2177,rock_grid_rect_2,1,06,-1,-1,2.218,-0.3917553,-0.255357047,1,0,0,8.8536,Andesite_rect,1,8.854,1,8,0,8,0,1,,,,,,,,,,,,,
