participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,1,0.013208119,-0.003313178,1,0,0,3.5996,rock_grid_rect_2,4,01,-1,-1,3.6,-0.069407285,-0.238753924,1,0,0,5.9076,Basalt_rect,2,5.908,0,0,0,0,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,2,-0.007335367,-0.007781286,1,0,0,0.977,rock_grid_rect_2,1,07,-1,-1,0.977,0.124545163,-0.267796625,1,0,0,2.9736,Diorite_rect,3,2.974,0,1,0,1,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,3,0.021207905,0.001685574,1,0,0,1.1811,rock_grid_rect_2,4,08,-1,-1,1.181,-0.371521832,-0.410388128,1,0,0,1.5867,Obsidian_rect,5,1.587,0,2,0,2,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,4,-0.033042594,-0.007478061,1,0,0,1.0457,rock_grid_rect_2,5,07,-1,-1,1.046,-0.103903574,-0.404319171,1,0,0,2.3252,Pegmatite_rect,6,2.325,0,3,0,3,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,5,0.051347567,-0.012904894,1,0,0,1.1065,rock_grid_rect_2,6,11,-1,-1,1.107,0.357662671,-0.392283818,1,0,0,1.6208,Pumice_rect,8,1.621,0,4,0,4,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,6,0.001311002,-0.009863727,1,0,0,0.8624,rock_grid_rect_2,2,10,-1,-1,0.862,0.092291845,-0.393835616,1,0,0,2.7921,Peridotite_rect,7,2.792,0,5,0,5,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,7,0.020592537,0.020217965,1,0,0,0.796,rock_grid_rect_2,2,16,-1,-1,0.796,0.130908426,-0.420118079,1,0,0,2.2823,Peridotite_rect,7,2.282,0,6,0,6,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,8,0.110342644,-0.009074451,1,0,0,0.7789,rock_grid_rect_2,8,05,-1,-1,0.779,0.076109446,-0.4017373,1,0,0,2.5573,Peridotite_rect,7,2.557,0,7,0,7,0,1,,,,,,,,,,,,,
65a700a7fa22d5f150d08b09,TCR,2024-06-25_13h25.37.815,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,9,0.053684182,-0.008106807,1,0,0,1.0949,rock_grid_rect_2,7,07,-1,-1,1.095,0.33346265,-0.259480237,1,0,0,1.7827,Gabbro_rect,4,1.783,0,8,0,8,0,1,,,,,,,,,,,,,
