participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,1,-0.227864583,0.279947917,1,0,0,8.5445,Obsidian_14,5,14,5,3,8.545,5,14,-0.42578125,-0.389322917,1,0,0,28.7276,Obsidian_rect,5,28.728,1,0,0,0,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,2,0.57421875,0.303385417,1,0,0,12.8643,Pumice_04,8,04,5,8,12.864,8,04,0.388020833,-0.385416667,1,0,0,3.7113,Pumice_rect,8,3.711,1,1,0,1,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,3,-0.229166667,0.4140625,1,0,0,2.1438,Andesite_06,1,06,6,3,2.144,1,06,-0.127604167,-0.244791667,1,0,0,13.7341,Basalt_rect,2,13.734,0,2,0,2,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,4,0.565104167,0.109375,1,0,0,2.1308,Diorite_09,3,09,4,8,2.131,3,09,0.337239583,-0.240885417,1,0,0,7.3475,Gabbro_rect,4,7.348,0,3,0,3,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,5,0.091145833,-0.415364583,1,0,0,5.3749,Diorite_11,3,11,1,5,5.375,3,11,0.1484375,-0.404947917,1,0,0,17.4475,Peridotite_rect,7,17.447,0,4,0,4,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,6,0.067708333,0.118489583,1,0,0,11.1828,Obsidian_12,5,12,4,5,11.183,5,12,-0.354166667,-0.399739583,1,0,0,2.2603,Obsidian_rect,5,2.26,1,5,0,5,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,7,-0.201822917,0.096354167,1,0,0,1.762,Pegmatite_12,6,12,4,3,1.762,6,12,0.157552083,-0.25,1,0,0,17.2809,Diorite_rect,3,17.281,0,6,0,6,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,8,0.079427083,0.247395833,1,0,0,10.1733,Pegmatite_11,6,11,5,5,10.173,6,11,0.389322917,-0.239583333,1,0,0,5.5207,Gabbro_rect,4,5.521,0,7,0,7,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,9,-0.080729167,-0.251302083,1,0,0,8.1053,Gabbro_08,4,08,2,4,8.105,4,08,0.346354167,-0.389322917,1,0,0,3.4938,Pumice_rect,8,3.494,0,8,0,8,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,10,0.244791667,0.08984375,1,0,0,14.158,Peridotite_16,7,16,4,6,14.158,7,16,-0.100260417,-0.25,1,0,0,7.8475,Basalt_rect,2,7.847,0,9,0,9,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,11,0.401041667,0.376302083,1,0,0,4.3379,Andesite_07,1,07,6,7,4.338,1,07,0.16015625,-0.24609375,1,0,0,12.499,Diorite_rect,3,12.499,0,10,0,10,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,12,0.411458333,0.264322917,1,0,0,20.5813,Basalt_14,2,14,5,7,20.581,2,14,-0.106770833,-0.233072917,1,0,0,11.7175,Basalt_rect,2,11.717,1,11,0,11,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,13,-0.063802083,-0.076822917,1,0,0,1.7596,Pumice_05,8,05,3,4,1.76,8,05,0.420572917,-0.407552083,1,0,0,4.0155,Pumice_rect,8,4.015,1,12,0,12,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,14,-0.513020833,0.23828125,1,0,0,2.4982,Gabbro_09,4,09,5,1,2.498,4,09,-0.381510417,-0.259114583,1,0,0,4.695,Andesite_rect,1,4.695,0,13,0,13,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,15,0.092447917,0.3828125,1,0,0,7.4457,Peridotite_02,7,02,6,5,7.446,7,02,0.12890625,-0.26171875,1,0,0,4.2691,Diorite_rect,3,4.269,0,14,0,14,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,1,16,0.545572917,-0.104166667,1,0,0,9.5384,Peridotite_15,7,15,3,8,9.538,2,06,0.130208333,-0.3984375,1,0,0,12.0311,Peridotite_rect,7,12.031,1,15,0,15,0,1,,,,,,,,,,,,,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,2,1,,,,,,,,7,10,,,,,,,,,,,,,3,12.074,0,,,,,,0.135416667,-0.25,1,0,0,12.0741,Diorite_rect,0,0,0,0,1,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,2,2,,,,,,,,4,15,,,,,,,,,,,,,1,3.385,0,,,,,,-0.3515625,-0.256510417,1,0,0,3.385,Andesite_rect,1,0,1,0,1,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,2,3,,,,,,,,2,16,,,,,,,,,,,,,6,11.143,0,,,,,,-0.130208333,-0.401041667,1,0,0,11.143,Pegmatite_rect,2,0,2,0,1,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,2,4,,,,,,,,5,04,,,,,,,,,,,,,5,1.908,1,,,,,,-0.364583333,-0.411458333,1,0,0,1.9077,Obsidian_rect,3,0,3,0,1,
65b92135e296f28cb1a093c3,SCR,2024-06-21_13h48.13.092,LearnStrategy,2023.2.3,Win32,4.615782283,1,2,5,,,,,,,,8,13,,,,,,,,,,,,,6,7.012,0,,,,,,-0.102864583,-0.393229167,1,0,0,7.0124,Pegmatite_rect,4,0,4,0,1,
