participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.038888889,0.000925912,1,0,0,1.8379,rock_grid_rect_2,6,10,-1,-1,1.838,-0.372222222,-0.249074131,1,0,0,13.016,Andesite_rect,1,13.016,0,0,0,0,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.009259203,0.005555556,1,0,0,1.1295,rock_grid_rect_2,5,08,-1,-1,1.129,-0.363888889,-0.401851908,1,0,0,6.9928,Obsidian_rect,5,6.993,1,1,0,1,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.000925954,-0.00648151,1,0,0,1.5682,rock_grid_rect_2,5,07,-1,-1,1.568,-0.128703647,-0.259259288,1,0,0,5.1389,Basalt_rect,2,5.139,0,2,0,2,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.019444444,-0.009259288,1,0,0,8.7644,rock_grid_rect_2,1,07,-1,-1,8.764,0.327777778,-0.38148151,1,0,0,4.1373,Pumice_rect,8,4.137,0,3,0,3,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.059259203,0.001851824,1,0,0,0.7409,rock_grid_rect_2,6,13,-1,-1,0.741,0.325925954,-0.246296353,1,0,0,5.1553,Gabbro_rect,4,5.155,0,4,0,4,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.018518575,-0.007407422,1,0,0,0.845,rock_grid_rect_2,3,11,-1,-1,0.845,0.091666667,-0.251851908,1,0,0,2.0475,Diorite_rect,3,2.048,1,5,0,5,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.052777778,-0.012037065,1,0,0,6.0458,rock_grid_rect_2,8,10,-1,-1,6.046,0.324074131,-0.385185242,1,0,0,3.0678,Pumice_rect,8,3.068,1,6,0,6,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.01851849,-0.00648151,1,0,0,0.8938,rock_grid_rect_2,2,05,-1,-1,0.894,0.332407464,-0.251851908,1,0,0,5.0908,Gabbro_rect,4,5.091,0,7,0,7,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.099074046,0.004629601,1,0,0,0.974,rock_grid_rect_2,3,16,-1,-1,0.974,-0.133333333,-0.390740797,1,0,0,2.6318,Pegmatite_rect,6,2.632,0,8,0,8,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.045370314,0.006481467,1,0,0,0.8962,rock_grid_rect_2,4,15,-1,-1,0.896,-0.137036981,-0.240740797,1,0,0,2.1189,Basalt_rect,2,2.119,0,9,0,9,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.070370314,-0.011111111,1,0,0,0.9407,rock_grid_rect_2,4,11,-1,-1,0.941,-0.383333333,-0.401851908,1,0,0,3.668,Obsidian_rect,5,3.668,0,10,0,10,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.054629601,0.009259245,1,0,0,0.8069,rock_grid_rect_2,7,16,-1,-1,0.807,0.095370399,-0.249074131,1,0,0,3.2849,Diorite_rect,3,3.285,0,11,0,11,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,-0.042592536,-0.003703732,1,0,0,1.2271,rock_grid_rect_2,8,06,-1,-1,1.227,0.420370399,-0.40648151,1,0,0,11.0517,Pumice_rect,8,11.052,1,12,0,12,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.01851849,-0.008333333,1,0,0,0.8728,rock_grid_rect_2,7,12,-1,-1,0.873,0.091666667,-0.25,1,0,0,24.4192,Diorite_rect,3,24.419,0,13,0,13,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.009259288,-0.004629644,1,0,0,0.761,rock_grid_rect_2,2,16,-1,-1,0.761,-0.131481425,-0.240740797,1,0,0,19.9596,Basalt_rect,2,19.96,1,14,0,14,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,-0.054629601,-0.015740755,1,0,0,0.8841,rock_grid_rect_2,1,06,-1,-1,0.884,0.135185242,-0.245370399,1,0,0,6.7472,Diorite_rect,3,6.747,0,15,0,15,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,2,14,,,,,,,,,,,4,33.768,0,,,,,,0.416666667,-0.229629686,1,0,0,33.7679,Gabbro_rect,0,0,0,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,7,10,,,,,,,,,,,7,11.2,1,,,,,,0.145370399,-0.40648151,1,0,0,11.2004,Peridotite_rect,1,0,1,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,4,08,,,,,,,,,,,7,9.547,0,,,,,,0.135185242,-0.390740797,1,0,0,9.5474,Peridotite_rect,2,0,2,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,6,08,,,,,,,,,,,7,37.865,0,,,,,,0.168518575,-0.400925954,1,0,0,37.8647,Peridotite_rect,3,0,3,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,5,05,,,,,,,,,,,5,5.492,1,,,,,,-0.344444444,-0.392592621,1,0,0,5.4924,Obsidian_rect,4,0,4,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,8,16,,,,,,,,,,,8,5.072,1,,,,,,0.410185242,-0.388888889,1,0,0,5.0717,Pumice_rect,5,0,5,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,3,10,,,,,,,,,,,3,8.128,1,,,,,,0.175925954,-0.245370399,1,0,0,8.1283,Diorite_rect,6,0,6,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,1,03,,,,,,,,,,,1,8.583,1,,,,,,-0.402777778,-0.228703732,1,0,0,8.5829,Andesite_rect,7,0,7,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,8,04,,,,,,,,,,,8,1.213,1,,,,,,0.419444444,-0.387963019,1,0,0,1.2131,Pumice_rect,8,0,8,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,10,,,,,,,,7,13,,,,,,,,,,,3,19.588,0,,,,,,0.099074131,-0.234259288,1,0,0,19.5876,Diorite_rect,9,0,9,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,2,10,,,,,,,,,,,5,5.471,0,,,,,,-0.382407379,-0.383333333,1,0,0,5.4713,Obsidian_rect,10,0,10,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,3,12,,,,,,,,,,,3,8.646,1,,,,,,0.134259288,-0.253703732,1,0,0,8.6457,Diorite_rect,11,0,11,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,6,12,,,,,,,,,,,3,46.834,0,,,,,,0.124074131,-0.25,1,0,0,46.8343,Diorite_rect,12,0,12,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,4,10,,,,,,,,,,,4,68.365,1,,,,,,0.343518575,-0.261111111,1,0,0,68.365,Gabbro_rect,13,0,13,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,15,,,,,,,,5,04,,,,,,,,,,,5,1.747,1,,,,,,-0.392592578,-0.396296353,1,0,0,1.7466,Obsidian_rect,14,0,14,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,16,,,,,,,,1,10,,,,,,,,,,,4,3.018,0,,,,,,0.318518575,-0.260185242,1,0,0,3.0176,Gabbro_rect,15,0,15,0,1,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,1,0.048148176,-0.010185199,1,0,0,2.0693,rock_grid_rect_2,5,10,-1,-1,2.069,-0.389814801,-0.410185242,1,0,0,1.3468,Obsidian_rect,5,1.347,1,0,0,0,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,2,0.009259288,-0.011111111,1,0,0,1.4697,rock_grid_rect_2,7,02,-1,-1,1.47,-0.113888889,-0.380555556,1,0,0,13.6603,Pegmatite_rect,6,13.66,0,1,0,1,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,3,-0.075925869,-0.009259288,1,0,0,1.3009,rock_grid_rect_2,4,16,-1,-1,1.301,0.097222222,-0.397222222,1,0,0,2.9057,Peridotite_rect,7,2.906,0,2,0,2,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,4,-0.137036981,-0.014814843,1,0,0,0.8168,rock_grid_rect_2,1,04,-1,-1,0.817,-0.381481467,-0.257407464,1,0,0,2.7162,Andesite_rect,1,2.716,1,3,0,3,0,1,,,,,,,,,,,,,
65c243c37e0d77ca70ee030e,TCN,2024-06-21_14h04.23.190,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,5,-0.086111111,-0.004629644,1,0,0,0.9668,rock_grid_rect_2,6,06,-1,-1,0.967,0.125925954,-0.244444444,1,0,0,2.3984,Diorite_rect,3,2.398,0,4,0,4,0,1,,,,,,,,,,,,,
