participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.07421875,0.286458333,1,0,0,5.6878,Gabbro_16,4,16,5,4,5.688,-0.352864583,-0.404947917,1,0,0,4.1796,Obsidian_rect,5,4.18,0,0,0,0,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.563802083,0.403645833,1,0,0,3.5065,Peridotite_16,7,16,6,1,3.506,0.341145833,-0.403645833,1,0,0,2.2931,Pumice_rect,8,2.293,0,1,0,1,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.395833333,0.407552083,1,0,0,0.9644,Basalt_10,2,10,6,2,0.964,0.080729167,-0.236979167,1,0,0,1.9239,Diorite_rect,3,1.924,0,2,0,2,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.243489583,0.415364583,1,0,0,1.6489,Gabbro_11,4,11,6,3,1.649,-0.41796875,-0.243489583,1,0,0,1.4855,Andesite_rect,1,1.486,0,3,0,3,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.091145833,0.388020833,1,0,0,1.3434,Obsidian_07,5,07,6,4,1.343,-0.373697917,-0.243489583,1,0,0,2.4696,Andesite_rect,1,2.47,0,4,0,4,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.076822917,0.39453125,1,0,0,1.5636,Pumice_03,8,03,6,5,1.564,0.393229167,-0.231770833,1,0,0,1.3882,Gabbro_rect,4,1.388,0,5,0,5,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.274739583,0.3828125,1,0,0,7.698,Obsidian_09,5,09,6,6,7.698,-0.079427083,-0.40625,1,0,0,1.8897,Pegmatite_rect,6,1.89,0,6,0,6,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.4296875,0.38671875,1,0,0,1.1769,Obsidian_10,5,10,6,7,1.177,0.408854167,-0.415364583,1,0,0,2.0957,Pumice_rect,8,2.096,0,7,0,7,0,1,,,,,,,,,,,,,
65c3ed5a2ce11e90eb7fd7ae,SCN,2024-06-11_12h21.54.249,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.572916667,0.40625,1,0,0,1.479,Gabbro_08,4,08,6,8,1.479,-0.35546875,-0.391927083,1,0,0,2.454,Obsidian_rect,5,2.454,0,8,0,8,0,1,,,,,,,,,,,,,
