participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.0234375,-0.01171875,1,0,0,5.9452,rock_grid_rect_2,5,12,-1,-1,5.945,-0.403645833,-0.407552083,1,0,0,11.4958,Obsidian_rect,5,11.496,1,0,0,0,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.020833333,0.009114583,1,0,0,2.2017,rock_grid_rect_2,7,07,-1,-1,2.202,0.123697917,-0.236979167,1,0,0,19.4512,Diorite_rect,3,19.451,0,1,0,1,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.032552083,0.0078125,1,0,0,1.7975,rock_grid_rect_2,6,03,-1,-1,1.798,-0.143229167,-0.2578125,1,0,0,17.7648,Basalt_rect,2,17.765,0,2,0,2,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.0625,-0.018229167,1,0,0,1.8119,rock_grid_rect_2,1,06,-1,-1,1.812,0.110677083,-0.239583333,1,0,0,8.6554,Diorite_rect,3,8.655,0,3,0,3,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.114583333,0.015625,1,0,0,2.168,rock_grid_rect_2,7,04,-1,-1,2.168,0.154947917,-0.24609375,1,0,0,8.3483,Diorite_rect,3,8.348,0,4,0,4,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.002604167,0.0078125,1,0,0,2.0281,rock_grid_rect_2,8,05,-1,-1,2.028,0.412760417,-0.229166667,1,0,0,4.9893,Gabbro_rect,4,4.989,0,5,0,5,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.036458333,0.00390625,1,0,0,2.2965,rock_grid_rect_2,8,15,-1,-1,2.297,0.372395833,-0.263020833,1,0,0,4.2583,Gabbro_rect,4,4.258,0,6,0,6,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.022135417,-0.001302083,1,0,0,9.2084,rock_grid_rect_2,5,14,-1,-1,9.208,-0.352864583,-0.388020833,1,0,0,3.0675,Obsidian_rect,5,3.068,1,7,0,7,0,1,,,,,,,,,,,,,
65c6bbe7f9428763522fa244,TCN,2024-06-11_13h17.40.511,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.006510417,0.006510417,1,0,0,1.9906,rock_grid_rect_2,2,16,-1,-1,1.991,0.354166667,-0.25390625,1,0,0,8.6111,Gabbro_rect,4,8.611,0,8,0,8,0,1,,,,,,,,,,,,,
