participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,1,-0.227809991,0.392116665,1,0,0,5.2924,Pegmatite_07,6,07,6,3,5.292,6,07,0.091326701,-0.390620728,1,0,0,4.3816,Peridotite_rect,7,4.382,0,0,0,0,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,2,-0.570006409,0.113728163,1,0,0,3.4443,Basalt_16,2,16,4,1,3.444,2,16,0.374613715,-0.248820936,1,0,0,4.2287,Gabbro_rect,4,4.229,0,1,0,1,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,3,0.053507555,0.429786258,1,0,0,5.1424,Diorite_02,3,02,6,5,5.142,3,02,0.162654215,-0.240178019,1,0,0,3.5058,Diorite_rect,3,3.506,1,2,0,2,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,4,0.060511339,0.27030916,1,0,0,13.7754,Andesite_01,1,01,5,5,13.775,1,01,0.333716159,-0.408734673,1,0,0,5.9164,Pumice_rect,8,5.916,0,3,0,3,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,5,0.373757189,-0.230597534,1,0,0,16.8704,Pumice_03,8,03,2,7,16.87,8,03,0.395234646,-0.4061124,1,0,0,3.3622,Pumice_rect,8,3.362,1,4,0,4,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,6,-0.069670953,0.37725135,1,0,0,2.5786,Obsidian_02,5,02,6,4,2.579,5,02,-0.362442017,-0.411125081,1,0,0,2.2723,Obsidian_rect,5,2.272,1,5,0,5,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,7,0.057490573,-0.246802979,1,0,0,2.0286,Obsidian_07,5,07,2,5,2.029,5,07,0.337438422,-0.238182509,1,0,0,6.7487,Gabbro_rect,4,6.749,0,6,0,6,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,8,-0.086257528,-0.434779324,1,0,0,3.5631,Peridotite_10,7,10,1,4,3.563,7,10,-0.051952989,-0.384326104,1,0,0,4.1098,Pegmatite_rect,6,4.11,0,7,0,7,0,1,,,,,,,,,,,,,
65cba317504938f6ca5272f5,SCR,2024-06-11_13h11.08.159,LearnStrategy,2023.2.3,MacIntel,56.81818182,1,1,9,-0.53342353,0.363442637,1,0,0,3.5765,Basalt_05,2,05,6,1,3.577,2,05,0.375400933,-0.259126858,1,0,0,3.391,Gabbro_rect,4,3.391,0,8,0,8,0,1,,,,,,,,,,,,,
