participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.005208333,-0.01171875,1,0,0,5.2509,rock_grid_rect_2,5,02,-1,-1,5.251,-0.3984375,-0.404947917,1,0,0,4.9552,Obsidian_rect,5,4.955,1,0,0,0,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.01953125,0.005208333,1,0,0,1.6589,rock_grid_rect_2,6,05,-1,-1,1.659,-0.1015625,-0.399739583,1,0,0,7.1276,Pegmatite_rect,6,7.128,1,1,0,1,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.036458333,-0.009114583,1,0,0,1.9861,rock_grid_rect_2,8,05,-1,-1,1.986,0.415364583,-0.4140625,1,0,0,2.1787,Pumice_rect,8,2.179,1,2,0,2,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.06640625,0.013020833,1,0,0,1.9272,rock_grid_rect_2,7,14,-1,-1,1.927,-0.1953125,-0.24609375,1,0,0,6.6273,Basalt_rect,2,6.627,0,3,0,3,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.024739583,0.020833333,1,0,0,2.0435,rock_grid_rect_2,2,12,-1,-1,2.043,0.401041667,-0.411458333,1,0,0,7.1708,Pumice_rect,8,7.171,0,4,0,4,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.045572917,0.001302083,1,0,0,1.4405,rock_grid_rect_2,6,09,-1,-1,1.441,0.1015625,-0.266927083,1,0,0,4.5334,Diorite_rect,3,4.533,0,5,0,5,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.049479167,-0.00390625,1,0,0,1.8369,rock_grid_rect_2,3,12,-1,-1,1.837,-0.35546875,-0.25,1,0,0,4.0676,Andesite_rect,1,4.068,0,6,0,6,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.018229167,-0.0078125,1,0,0,1.7109,rock_grid_rect_2,1,01,-1,-1,1.711,0.424479167,-0.24609375,1,0,0,2.9031,Gabbro_rect,4,2.903,0,7,0,7,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.01171875,-0.013020833,1,0,0,1.4779,rock_grid_rect_2,7,15,-1,-1,1.478,0.302083333,-0.244791667,1,0,0,2.8457,Gabbro_rect,4,2.846,0,8,0,8,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.02734375,-0.00390625,1,0,0,1.7101,rock_grid_rect_2,1,05,-1,-1,1.71,-0.1484375,-0.416666667,1,0,0,7.4183,Pegmatite_rect,6,7.418,0,9,0,9,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.1015625,0.016927083,1,0,0,1.571,rock_grid_rect_2,4,12,-1,-1,1.571,0.328125,-0.23828125,1,0,0,6.0085,Gabbro_rect,4,6.009,1,10,0,10,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.001302083,0,1,0,0,1.6759,rock_grid_rect_2,4,05,-1,-1,1.676,-0.4296875,-0.23828125,1,0,0,3.45,Andesite_rect,1,3.45,0,11,0,11,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.072916667,-0.014322917,1,0,0,1.9602,rock_grid_rect_2,3,11,-1,-1,1.96,0.20703125,-0.390625,1,0,0,3.5142,Peridotite_rect,7,3.514,0,12,0,12,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,0.125,0.002604167,1,0,0,1.6871,rock_grid_rect_2,8,03,-1,-1,1.687,0.373697917,-0.40625,1,0,0,2.4251,Pumice_rect,8,2.425,1,13,0,13,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,-0.046875,0.002604167,1,0,0,1.4037,rock_grid_rect_2,5,06,-1,-1,1.404,-0.399739583,-0.411458333,1,0,0,1.7843,Obsidian_rect,5,1.784,1,14,0,14,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.063802083,0.010416667,1,0,0,1.3111,rock_grid_rect_2,2,06,-1,-1,1.311,-0.369791667,-0.399739583,1,0,0,2.5543,Obsidian_rect,5,2.554,0,15,0,15,0,1,,,,,,,,,,,,,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,1,10,,,,,,,,,,,3,34.384,0,,,,,,0.205729167,-0.251302083,1,0,0,34.384,Diorite_rect,0,0,0,0,1,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,6,12,,,,,,,,,,,6,9.177,1,,,,,,-0.08203125,-0.395833333,1,0,0,9.1773,Pegmatite_rect,1,0,1,0,1,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,2,14,,,,,,,,,,,2,10.839,1,,,,,,-0.114583333,-0.239583333,1,0,0,10.8391,Basalt_rect,2,0,2,0,1,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,1,11,,,,,,,,,,,6,8.802,0,,,,,,-0.11328125,-0.39453125,1,0,0,8.8016,Pegmatite_rect,3,0,3,0,1,
65e1e10fd349a80ffaf53948,TCR,2024-06-24_14h48.06.065,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,5,07,,,,,,,,,,,5,6.318,1,,,,,,-0.3984375,-0.415364583,1,0,0,6.3181,Obsidian_rect,4,0,4,0,1,
