participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,1,-0.013020833,0.00390625,1,0,0,4.3805,rock_grid_rect_2,5,08,-1,-1,4.381,-0.134114583,-0.2578125,1,0,0,8.1794,Basalt_rect,2,8.179,0,0,0,0,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,2,-0.022135417,-0.01171875,1,0,0,3.839,rock_grid_rect_2,6,16,-1,-1,3.839,-0.3828125,-0.248697917,1,0,0,7.0492,Andesite_rect,1,7.049,0,1,0,1,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,3,0.048177083,-0.01171875,1,0,0,1.7755,rock_grid_rect_2,4,11,-1,-1,1.776,0.114583333,-0.239583333,1,0,0,1.075,Diorite_rect,3,1.075,0,2,0,2,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,4,0,-0.00390625,1,0,0,1.0743,rock_grid_rect_2,8,08,-1,-1,1.074,-0.067708333,-0.399739583,1,0,0,0.9173,Pegmatite_rect,6,0.917,0,3,0,3,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,5,-0.040364583,-0.009114583,1,0,0,1.6029,rock_grid_rect_2,8,15,-1,-1,1.603,-0.19140625,-0.251302083,1,0,0,0.9983,Basalt_rect,2,0.998,0,4,0,4,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,6,0.069010417,-0.015625,1,0,0,1.3558,rock_grid_rect_2,4,01,-1,-1,1.356,0.376302083,-0.399739583,1,0,0,1.8434,Pumice_rect,8,1.843,0,5,0,5,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,7,0.0078125,-0.009114583,1,0,0,1.1142,rock_grid_rect_2,7,15,-1,-1,1.114,0.134114583,-0.3984375,1,0,0,0.8738,Peridotite_rect,7,0.874,1,6,0,6,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,8,-0.010416667,0.00390625,1,0,0,1.2838,rock_grid_rect_2,1,06,-1,-1,1.284,-0.084635417,-0.389322917,1,0,0,1.7649,Pegmatite_rect,6,1.765,0,7,0,7,0,1,,,,,,,,,,,,,
65f05f1dbfcc8387b992be3b,TCN,2024-06-21_17h50.05.764,LearnStrategy,2023.2.3,Win32,60.60606061,1,1,9,0.078125,0.014322917,1,0,0,1.1838,rock_grid_rect_2,6,07,-1,-1,1.184,-0.337239583,-0.384114583,1,0,0,1.2489,Obsidian_rect,5,1.249,0,8,0,8,0,1,,,,,,,,,,,,,
