participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.01171875,-0.0078125,1,0,0,5.9998,rock_grid_rect_2,8,06,-1,-1,6,0.390625,-0.397135417,1,0,0,5.9112,Pumice_rect,8,5.911,1,0,0,0,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.015625,-0.002604167,1,0,0,1.6655,rock_grid_rect_2,2,04,-1,-1,1.665,0.0703125,-0.388020833,1,0,0,8.8418,Peridotite_rect,7,8.842,0,1,0,1,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.00390625,-0.020833333,1,0,0,1.9549,rock_grid_rect_2,4,16,-1,-1,1.955,0.14453125,-0.251302083,1,0,0,5.8378,Diorite_rect,3,5.838,0,2,0,2,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.0234375,-0.014322917,1,0,0,1.4071,rock_grid_rect_2,7,05,-1,-1,1.407,0.123697917,-0.40625,1,0,0,6.5038,Peridotite_rect,7,6.504,1,3,0,3,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.03515625,-0.006510417,1,0,0,1.4063,rock_grid_rect_2,2,14,-1,-1,1.406,-0.415364583,-0.39453125,1,0,0,3.7008,Obsidian_rect,5,3.701,0,4,0,4,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.02734375,-0.009114583,1,0,0,1.1976,rock_grid_rect_2,3,06,-1,-1,1.198,-0.381510417,-0.3984375,1,0,0,6.2116,Obsidian_rect,5,6.212,0,5,0,5,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.049479167,-0.006510417,1,0,0,1.3667,rock_grid_rect_2,6,11,-1,-1,1.367,-0.091145833,-0.401041667,1,0,0,5.2906,Pegmatite_rect,6,5.291,1,6,0,6,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.0078125,-0.0078125,1,0,0,1.3057,rock_grid_rect_2,5,05,-1,-1,1.306,0.157552083,-0.3828125,1,0,0,4.5553,Peridotite_rect,7,4.555,0,7,0,7,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.0703125,-0.00390625,1,0,0,1.3357,rock_grid_rect_2,8,13,-1,-1,1.336,0.377604167,-0.390625,1,0,0,3.7912,Pumice_rect,8,3.791,1,8,0,8,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.001302083,-0.002604167,1,0,0,1.3639,rock_grid_rect_2,4,05,-1,-1,1.364,-0.16015625,-0.248697917,1,0,0,7.5409,Basalt_rect,2,7.541,0,9,0,9,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.041666667,0.006510417,1,0,0,1.1637,rock_grid_rect_2,7,04,-1,-1,1.164,0.13671875,-0.395833333,1,0,0,3.5945,Peridotite_rect,7,3.595,1,10,0,10,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.071614583,-0.001302083,1,0,0,1.2807,rock_grid_rect_2,1,14,-1,-1,1.281,0.37109375,-0.247395833,1,0,0,4.193,Gabbro_rect,4,4.193,0,11,0,11,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,-0.020833333,-0.014322917,1,0,0,1.1512,rock_grid_rect_2,1,03,-1,-1,1.151,-0.141927083,-0.265625,1,0,0,3.5502,Basalt_rect,2,3.55,0,12,0,12,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,-0.032552083,-0.015625,1,0,0,1.2185,rock_grid_rect_2,5,09,-1,-1,1.219,0.059895833,-0.270833333,1,0,0,10.6723,Diorite_rect,3,10.672,0,13,0,13,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,-0.022135417,-0.00390625,1,0,0,1.478,rock_grid_rect_2,3,11,-1,-1,1.478,-0.0703125,-0.39453125,1,0,0,4.048,Pegmatite_rect,6,4.048,0,14,0,14,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,-0.006510417,-0.002604167,1,0,0,1.1728,rock_grid_rect_2,6,06,-1,-1,1.173,0.127604167,-0.264322917,1,0,0,3.7069,Diorite_rect,3,3.707,0,15,0,15,0,1,,,,,,,,,,,,,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,7,13,,,,,,,,,,,1,7.603,0,,,,,,-0.360677083,-0.24609375,1,0,0,7.6029,Andesite_rect,0,0,0,0,1,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,6,09,,,,,,,,,,,6,5.285,1,,,,,,-0.106770833,-0.389322917,1,0,0,5.2847,Pegmatite_rect,1,0,1,0,1,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,4,11,,,,,,,,,,,4,9.744,1,,,,,,0.35546875,-0.2421875,1,0,0,9.7438,Gabbro_rect,2,0,2,0,1,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,1,06,,,,,,,,,,,5,5.453,0,,,,,,-0.420572917,-0.40625,1,0,0,5.4534,Obsidian_rect,3,0,3,0,1,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,5,,,,,,,,3,12,,,,,,,,,,,1,6.706,0,,,,,,-0.438802083,-0.268229167,1,0,0,6.7058,Andesite_rect,4,0,4,0,1,
65ff67c31641a4be4c903b68,TCR,2024-06-25_11h42.28.283,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,6,,,,,,,,5,02,,,,,,,,,,,5,3.953,1,,,,,,-0.42578125,-0.388020833,1,0,0,3.9529,Obsidian_rect,5,0,5,0,1,
