participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.073148148,0.100925926,1,0,0,2.6998,Obsidian_07,5,07,4,4,2.7,0.137037037,-0.262037037,1,0,0,3.1787,Diorite_rect,3,3.179,0,0,0,0,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.077777778,-0.251851852,1,0,0,1.5831,Pegmatite_16,6,16,2,4,1.583,-0.063888889,-0.24537037,1,0,0,1.2463,Basalt_rect,2,1.246,0,1,0,1,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.408333333,0.093518519,1,0,0,2.1848,Basalt_02,2,02,4,7,2.185,-0.341666667,-0.262962963,1,0,0,3.9095,Andesite_rect,1,3.91,0,2,0,2,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.541666667,0.082407407,1,0,0,2.984,Diorite_02,3,02,4,1,2.984,-0.316666667,-0.394444444,1,0,0,3.045,Obsidian_rect,5,3.045,0,3,0,3,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.075925926,0.083333333,1,0,0,1.4324,Basalt_16,2,16,4,5,1.432,0.385185185,-0.392592593,1,0,0,1.2986,Pumice_rect,8,1.299,0,4,0,4,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.257407407,0.406481481,1,0,0,2.5167,Obsidian_09,5,09,6,3,2.517,-0.398148148,-0.403703704,1,0,0,1.2876,Obsidian_rect,5,1.288,1,5,0,5,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.252777778,0.087962963,1,0,0,2.1179,Pumice_02,8,02,4,6,2.118,0.462962963,-0.390740741,1,0,0,2.211,Pumice_rect,8,2.211,1,6,0,6,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.244444444,-0.405555556,1,0,0,2.5333,Pegmatite_09,6,09,1,3,2.533,0.107407407,-0.391666667,1,0,0,2.1937,Peridotite_rect,7,2.194,0,7,0,7,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.389814815,0.4,1,0,0,2.6169,Diorite_15,3,15,6,7,2.617,-0.122222222,-0.238888889,1,0,0,2.5282,Basalt_rect,2,2.528,0,8,0,8,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.539814815,0.248148148,1,0,0,2.8345,Andesite_05,1,05,5,1,2.834,-0.108333333,-0.251851852,1,0,0,1.3258,Basalt_rect,2,1.326,0,9,0,9,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,-0.22037037,-0.437037037,1,0,0,1.2663,Pegmatite_09,6,09,1,3,1.266,-0.114814815,-0.400925926,1,0,0,2.1926,Pegmatite_rect,6,2.193,1,10,0,10,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,-0.400925926,0.090740741,1,0,0,2.648,Gabbro_09,4,09,4,2,2.648,0.109259259,-0.252777778,1,0,0,2.402,Diorite_rect,3,2.402,0,11,0,11,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.387962963,-0.4,1,0,0,2.1307,Diorite_08,3,08,1,7,2.131,-0.386111111,-0.240740741,1,0,0,2.1462,Andesite_rect,1,2.146,0,12,0,12,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,-0.386111111,0.257407407,1,0,0,1.6636,Peridotite_06,7,06,5,2,1.664,-0.137962963,-0.237962963,1,0,0,1.6928,Basalt_rect,2,1.693,0,13,0,13,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.249074074,0.265740741,1,0,0,4.0819,Pumice_09,8,09,5,6,4.082,0.378703704,-0.403703704,1,0,0,1.321,Pumice_rect,8,1.321,1,14,0,14,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,0.075925926,0.423148148,1,0,0,2.5144,Obsidian_16,5,16,6,5,2.514,-0.408333333,-0.405555556,1,0,0,1.4939,Obsidian_rect,5,1.494,1,15,0,15,0,1,,,,,,,,,,,,,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,1,07,,,,,,,,,,,3,3.642,0,,,,,,0.146296296,-0.247222222,1,0,0,3.6421,Diorite_rect,0,0,0,0,1,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,2,,,,,,,,6,10,,,,,,,,,,,2,3.526,0,,,,,,-0.161111111,-0.240740741,1,0,0,3.5257,Basalt_rect,1,0,1,0,1,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,3,,,,,,,,2,01,,,,,,,,,,,2,4.725,1,,,,,,-0.148148148,-0.248148148,1,0,0,4.7251,Basalt_rect,2,0,2,0,1,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,4,,,,,,,,7,16,,,,,,,,,,,7,2.377,1,,,,,,0.100925926,-0.405555556,1,0,0,2.3766,Peridotite_rect,3,0,3,0,1,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,5,,,,,,,,3,11,,,,,,,,,,,1,4.359,0,,,,,,-0.310185185,-0.251851852,1,0,0,4.359,Andesite_rect,4,0,4,0,1,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,6,,,,,,,,8,08,,,,,,,,,,,8,1.577,1,,,,,,0.446296296,-0.415740741,1,0,0,1.5767,Pumice_rect,5,0,5,0,1,
66060f19dda14ccd05dfcef9,SCN,2024-06-21_10h47.25.031,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,7,,,,,,,,2,09,,,,,,,,,,,2,2.593,1,,,,,,-0.112962963,-0.24537037,1,0,0,2.5931,Basalt_rect,6,0,6,0,1,
