participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,1,-0.026879437,-0.005112078,1,0,0,2.2488,rock_grid_rect_2,8,13,-1,-1,2.249,-0.100769252,-0.250612024,1,0,0,7.1977,Basalt_rect,2,7.198,0,0,0,0,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,2,0.063996476,-0.01151523,1,0,0,1.3153,rock_grid_rect_2,1,11,-1,-1,1.315,-0.096236625,-0.398108217,1,0,0,8.3256,Pegmatite_rect,6,8.326,0,1,0,1,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,3,0.07107328,0.005868502,1,0,0,1.4189,rock_grid_rect_2,8,08,-1,-1,1.419,0.41186398,-0.403952263,1,0,0,3.1877,Pumice_rect,8,3.188,1,2,0,2,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,4,-0.043331477,-0.008581919,1,0,0,1.9331,rock_grid_rect_2,6,10,-1,-1,1.933,0.084626707,-0.400646262,1,0,0,3.3742,Peridotite_rect,7,3.374,0,3,0,3,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,5,0.120743564,0.007267155,1,0,0,1.3376,rock_grid_rect_2,5,12,-1,-1,1.338,0.170726341,-0.41308761,1,0,0,13.9871,Peridotite_rect,7,13.987,0,4,0,4,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,6,0.070884879,-0.00029246,1,0,0,1.5316,rock_grid_rect_2,1,04,-1,-1,1.532,-0.12786921,-0.233838155,1,0,0,5.3243,Basalt_rect,2,5.324,0,5,0,5,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,7,0.03412353,-0.003344044,1,0,0,1.2794,rock_grid_rect_2,3,09,-1,-1,1.279,-0.393808443,-0.40569713,1,0,0,4.1383,Obsidian_rect,5,4.138,0,6,0,6,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,8,0.103084407,-0.020944186,1,0,0,1.313,rock_grid_rect_2,7,07,-1,-1,1.313,0.058481155,-0.40713933,1,0,0,11.6891,Peridotite_rect,7,11.689,1,7,0,7,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,9,0.074652406,-0.002410366,1,0,0,1.2774,rock_grid_rect_2,7,06,-1,-1,1.277,0.100287869,-0.391065833,1,0,0,2.8015,Peridotite_rect,7,2.802,1,8,0,8,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,10,0.038346521,-0.002585354,1,0,0,1.4982,rock_grid_rect_2,2,06,-1,-1,1.498,-0.361935446,-0.393428924,1,0,0,2.2283,Obsidian_rect,5,2.228,0,9,0,9,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,11,0.079992425,0.002458024,1,0,0,1.4668,rock_grid_rect_2,4,03,-1,-1,1.467,0.065661983,-0.243713658,1,0,0,2.5269,Diorite_rect,3,2.527,0,10,0,10,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,12,0.141337286,0.00702824,1,0,0,0.9972,rock_grid_rect_2,5,06,-1,-1,0.997,-0.425651968,-0.393732358,1,0,0,2.6165,Obsidian_rect,5,2.616,1,11,0,11,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,13,0.044666308,-0.016743246,1,0,0,1.2991,rock_grid_rect_2,4,01,-1,-1,1.299,-0.439933847,-0.253163447,1,0,0,7.9262,Andesite_rect,1,7.926,0,12,0,12,0,1,,,,,,,,,,,,,
6629442858ac993227d2a95d,TCN,2024-06-21_10h47.30.020,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,14,0.060797844,0.001368867,1,0,0,1.4507,rock_grid_rect_2,6,08,-1,-1,1.451,-0.313672767,-0.396211389,1,0,0,10.7728,Obsidian_rect,5,10.773,0,13,0,13,0,1,,,,,,,,,,,,,
