participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,1,0.27410078,-0.095362941,1,0,0,15.4465,Peridotite_13,7,13,3,6,15.446,0.154301961,-0.418204705,1,0,0,10.3173,Peridotite_rect,7,10.317,1,0,0,0,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,2,-0.261579792,-0.259788752,1,0,0,6.9773,Obsidian_07,5,07,2,3,6.977,-0.121100187,-0.411088149,1,0,0,6.1106,Pegmatite_rect,6,6.111,0,1,0,1,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,3,-0.082859198,0.238970598,1,0,0,7.7231,Obsidian_10,5,10,5,4,7.723,0.110893091,-0.251349608,1,0,0,6.1769,Diorite_rect,3,6.177,0,2,0,2,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,4,-0.542596976,0.384309451,1,0,0,9.513,Pumice_16,8,16,6,1,9.513,0.388945262,-0.415597598,1,0,0,9.023,Pumice_rect,8,9.023,1,3,0,3,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,5,-0.365219871,0.389234453,1,0,0,6.3997,Peridotite_07,7,07,6,2,6.4,0.424731493,-0.411427975,1,0,0,37.8582,Pumice_rect,8,37.858,0,4,0,4,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,6,-0.400749604,-0.252989531,1,0,0,5.485,Pegmatite_11,6,11,2,2,5.485,-0.444883943,-0.411700805,1,0,0,3.1253,Obsidian_rect,5,3.125,0,5,0,5,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,7,-0.54459246,0.281562448,1,0,0,6.5047,Pumice_09,8,09,5,1,6.505,0.380120675,-0.404978275,1,0,0,1.8074,Pumice_rect,8,1.807,1,6,0,6,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,8,-0.537064711,0.078714649,1,0,0,2.2101,Basalt_02,2,02,4,1,2.21,-0.430671771,-0.249377092,1,0,0,5.7877,Andesite_rect,1,5.788,0,7,0,7,0,1,,,,,,,,,,,,,
66296576ea9cd406efc12f7c,SCN,2024-06-24_13h48.48.419,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,9,-0.549116373,-0.085468968,1,0,0,2.5257,Gabbro_13,4,13,3,1,2.526,0.39825654,-0.245834033,1,0,0,5.2617,Gabbro_rect,4,5.262,1,8,0,8,0,1,,,,,,,,,,,,,
