participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,1,0.029074029,0,1,0,0,1.4764,rock_grid_rect_2,5,9,-1,-1,1.476,-0.42740743,-0.41759257,1,0,0,7.9748,Obsidian_rect,5,7.975,1,0,0,0,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,2,0.039259237,-0.000925903,1,0,0,1.0146,rock_grid_rect_2,4,10,-1,-1,1.015,-0.09777771,-0.253703681,1,0,0,1.7304,Basalt_rect,2,1.73,0,1,0,1,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,3,0.063333333,-0.025,1,0,0,0.928,rock_grid_rect_2,6,11,-1,-1,0.928,0.12259257,-0.237037014,1,0,0,8.5145,Diorite_rect,3,8.514,0,2,0,2,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,4,0.001296251,-0.007407396,1,0,0,0.9469,rock_grid_rect_2,6,15,-1,-1,0.947,0.181851807,-0.258333401,1,0,0,5.5302,Diorite_rect,3,5.53,0,3,0,3,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,5,0.075370348,-0.01759257,1,0,0,0.9337,rock_grid_rect_2,3,6,-1,-1,0.934,-0.408888889,-0.251851807,1,0,0,10.261,Andesite_rect,1,10.261,0,4,0,4,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,6,0.156851807,0.015740763,1,0,0,0.9009,rock_grid_rect_2,3,9,-1,-1,0.901,0.166111111,-0.266666734,1,0,0,0.9112,Diorite_rect,3,0.911,1,5,0,5,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,7,0.155925903,0.013888889,1,0,0,0.784,rock_grid_rect_2,7,14,-1,-1,0.784,0.169814792,-0.383333401,1,0,0,4.6331,Peridotite_rect,7,4.633,1,6,0,6,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,8,0.089259237,-0.018518507,1,0,0,0.8031,rock_grid_rect_2,1,2,-1,-1,0.803,-0.371851874,-0.254629584,1,0,0,1.9482,Andesite_rect,1,1.948,1,7,0,7,0,1,,,,,,,,,,,,,
662ae132d482fb6744a3d8c0,TCR,2024-06-21_14h09.25.790,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,9,0.069814792,-0.002777778,1,0,0,0.8478,rock_grid_rect_2,5,11,-1,-1,0.848,-0.407037048,-0.395370348,1,0,0,1.0861,Obsidian_rect,5,1.086,1,8,0,8,0,1,,,,,,,,,,,,,
