participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,1,-0.030347259,0.011449496,1,0,0,2.899,rock_grid_rect_2,6,12,-1,-1,2.899,0.229549761,-0.250792821,1,0,0,7.8271,Diorite_rect,3,7.827,0,0,0,0,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,2,0.038599014,0.010980959,1,0,0,2.1762,rock_grid_rect_2,1,09,-1,-1,2.176,-0.368128635,-0.384431062,1,0,0,3.6937,Obsidian_rect,5,3.694,0,1,0,1,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,3,0.014278553,-0.011687173,1,0,0,3.857,rock_grid_rect_2,8,03,-1,-1,3.857,0.343591054,-0.38621627,1,0,0,3.5201,Pumice_rect,8,3.52,1,2,0,2,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,4,0.047880314,0.00149681,1,0,0,1.2428,rock_grid_rect_2,2,11,-1,-1,1.243,-0.381210716,-0.406135488,1,0,0,4.2526,Obsidian_rect,5,4.253,0,3,0,3,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,5,-0.042747074,0.002091125,1,0,0,1.608,rock_grid_rect_2,4,12,-1,-1,1.608,0.148428458,-0.244589276,1,0,0,6.8701,Diorite_rect,3,6.87,0,4,0,4,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,6,0.003001248,0.009924359,1,0,0,1.9588,rock_grid_rect_2,4,13,-1,-1,1.959,0.096811577,-0.384491744,1,0,0,5.3664,Peridotite_rect,7,5.366,0,5,0,5,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,7,-0.012200532,-0.013714896,1,0,0,2.6098,rock_grid_rect_2,5,14,-1,-1,2.61,-0.385634917,-0.39609902,1,0,0,2.3061,Obsidian_rect,5,2.306,1,6,0,6,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,8,-0.0180272,0.015741419,1,0,0,1.7925,rock_grid_rect_2,1,10,-1,-1,1.793,-0.061196998,-0.271879903,1,0,0,4.2897,Basalt_rect,2,4.29,0,7,0,7,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,9,-0.01893757,0.009141639,1,0,0,2.1918,rock_grid_rect_2,7,05,-1,-1,2.192,0.070614426,-0.391844643,1,0,0,4.5047,Peridotite_rect,7,4.505,1,8,0,8,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,10,0.0130842,0.00330978,1,0,0,1.3424,rock_grid_rect_2,7,02,-1,-1,1.342,0.103933405,-0.412329709,1,0,0,3.7033,Peridotite_rect,7,3.703,1,9,0,9,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,11,0.026049367,-0.020201754,1,0,0,1.7586,rock_grid_rect_2,6,15,-1,-1,1.759,-0.23250163,-0.4124859,1,0,0,5.3388,Pegmatite_rect,6,5.339,1,10,0,10,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,12,-0.049865935,0.013495304,1,0,0,3.0928,rock_grid_rect_2,8,09,-1,-1,3.093,0.358670694,-0.395597105,1,0,0,2.2444,Pumice_rect,8,2.244,1,11,0,11,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,13,-0.004073602,0.016695376,1,0,0,1.3426,rock_grid_rect_2,3,06,-1,-1,1.343,0.314430378,-0.266764252,1,0,0,5.0146,Gabbro_rect,4,5.015,0,12,0,12,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,14,0.038120552,-0.00262875,1,0,0,1.1273,rock_grid_rect_2,3,07,-1,-1,1.127,0.152057012,-0.26673543,1,0,0,2.7613,Diorite_rect,3,2.761,1,13,0,13,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,15,0.025750902,-0.017314593,1,0,0,1.7927,rock_grid_rect_2,2,04,-1,-1,1.793,-0.120124605,-0.247623585,1,0,0,7.7244,Basalt_rect,2,7.724,1,14,0,14,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,1,16,-0.042216831,-0.00033315,1,0,0,3.6465,rock_grid_rect_2,5,04,-1,-1,3.647,-0.339555458,-0.395280132,1,0,0,2.7678,Obsidian_rect,5,2.768,1,15,0,15,0,1,,,,,,,,,,,,,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,1,,,,,,,,1,11,,,,,,,,,,,1,6.549,1,,,,,,-0.396729646,-0.267829542,1,0,0,6.5488,Andesite_rect,0,0,0,0,1,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,2,,,,,,,,7,04,,,,,,,,,,,7,5.122,1,,,,,,0.08920168,-0.39386283,1,0,0,5.1222,Peridotite_rect,1,0,1,0,1,
662b24af863fd5cc1437384c,TCR,2024-06-20_15h39.04.810,LearnStrategy,2023.2.3,Linux x86_64,60.24096386,1,2,3,,,,,,,,8,16,,,,,,,,,,,8,1.868,1,,,,,,0.425218794,-0.403056321,1,0,0,1.8677,Pumice_rect,2,0,2,0,1,
