participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,1,-0.266604614,0.409040606,1,0,0,9.2884,Obsidian_06,5,06,6,3,9.288,-0.39983837,-0.41835621,1,0,0,5.9938,Obsidian_rect,5,5.994,1,0,0,0,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,2,-0.397909094,0.402633851,1,0,0,4.1533,Pegmatite_06,6,06,6,2,4.153,0.123829481,-0.398959464,1,0,0,8.4246,Peridotite_rect,7,8.425,0,1,0,1,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,3,-0.548829029,0.40085712,1,0,0,5.7624,Gabbro_09,4,09,6,1,5.762,-0.141744882,-0.23534625,1,0,0,5.8389,Basalt_rect,2,5.839,0,2,0,2,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,4,-0.091831236,0.400186369,1,0,0,7.9762,Diorite_09,3,09,6,4,7.976,-0.41637901,-0.256311487,1,0,0,16.5809,Andesite_rect,1,16.581,0,3,0,3,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,5,0.23557468,0.414095547,1,0,0,9.6371,Diorite_06,3,06,6,6,9.637,0.126551084,-0.251864511,1,0,0,10.4319,Diorite_rect,3,10.432,1,4,0,4,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,6,0.537772172,0.387682583,1,0,0,4.5486,Pumice_13,8,13,6,8,4.549,0.374819381,-0.398029921,1,0,0,9.5366,Pumice_rect,8,9.537,1,5,0,5,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,7,-0.378983561,0.089106185,1,0,0,5.4902,Andesite_07,1,07,4,2,5.49,0.137032064,-0.255386635,1,0,0,8.0292,Diorite_rect,3,8.029,0,6,0,6,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,8,-0.228177332,-0.40011608,1,0,0,7.382,Pegmatite_09,6,09,1,3,7.382,0.166199183,-0.396570163,1,0,0,8.5137,Peridotite_rect,7,8.514,0,7,0,7,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,9,-0.383275576,-0.399978694,1,0,0,1.9896,Peridotite_05,7,05,1,2,1.99,0.344252749,-0.249678266,1,0,0,12.0819,Gabbro_rect,4,12.082,0,8,0,8,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,10,0.072627089,-0.255196465,1,0,0,6.941,Pumice_09,8,09,2,5,6.941,0.371550609,-0.388278989,1,0,0,2.8727,Pumice_rect,8,2.873,1,9,0,9,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,11,-0.514425772,-0.254865519,1,0,0,1.9687,Basalt_11,2,11,2,1,1.969,0.399071135,-0.242450516,1,0,0,13.8082,Gabbro_rect,4,13.808,0,10,0,10,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,12,-0.217895282,-0.238387157,1,0,0,9.0078,Andesite_01,1,01,2,3,9.008,-0.433809068,-0.255468072,1,0,0,4.713,Andesite_rect,1,4.713,1,11,0,11,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,13,-0.54360928,-0.405736231,1,0,0,7.0387,Pegmatite_13,6,13,1,1,7.039,-0.143048209,-0.395692161,1,0,0,15.8541,Pegmatite_rect,6,15.854,1,12,0,12,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,14,0.570139567,-0.108290891,1,0,0,2.5779,Pumice_10,8,10,3,8,2.578,0.434567148,-0.380711421,1,0,0,2.8046,Pumice_rect,8,2.805,1,13,0,13,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,15,0.256134711,0.251417626,1,0,0,8.5997,Peridotite_13,7,13,5,6,8.6,-0.383155427,-0.254669076,1,0,0,8.2431,Andesite_rect,1,8.243,0,14,0,14,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,1,16,0.092774116,0.252257679,1,0,0,3.5205,Andesite_06,1,06,5,5,3.52,-0.346570615,-0.24998508,1,0,0,8.6585,Andesite_rect,1,8.659,1,15,0,15,0,1,,,,,,,,,,,,,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,2,1,,,,,,,,8,14,,,,,,,,,,,8,7.614,1,,,,,,0.417255317,-0.392211349,1,0,0,7.6142,Pumice_rect,0,0,0,0,1,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,2,2,,,,,,,,3,14,,,,,,,,,,,1,16.109,0,,,,,,-0.386593176,-0.253371401,1,0,0,16.109,Andesite_rect,1,0,1,0,1,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,2,3,,,,,,,,4,11,,,,,,,,,,,2,8.032,0,,,,,,-0.09190719,-0.247253531,1,0,0,8.0323,Basalt_rect,2,0,2,0,1,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,2,4,,,,,,,,8,16,,,,,,,,,,,8,10.952,1,,,,,,0.38285952,-0.396385532,1,0,0,10.9524,Pumice_rect,3,0,3,0,1,
66312c5a4b47cc24d7b28a22,SCN,2024-06-26_11h07.47.993,LearnStrategy,2023.2.3,MacIntel,6.816632584,1,2,5,,,,,,,,2,10,,,,,,,,,,,4,10.597,0,,,,,,0.427398456,-0.246761915,1,0,0,10.5969,Gabbro_rect,4,0,4,0,1,
