participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,1,0.011111153,0.005555541,1,0,0,1.6234,rock_grid_rect_2,8,09,-1,-1,1.623,0.459259316,-0.407407407,1,0,0,6.4738,Pumice_rect,8,6.474,1,0,0,0,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,2,0.086111139,0.008333312,1,0,0,1.1069,rock_grid_rect_2,1,09,-1,-1,1.107,-0.128703718,-0.262962977,1,0,0,4.6892,Basalt_rect,2,4.689,0,1,0,1,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,3,0.00462963,0.00462963,1,0,0,0.9351,rock_grid_rect_2,2,12,-1,-1,0.935,-0.134259259,-0.259259259,1,0,0,3.3883,Basalt_rect,2,3.388,1,2,0,2,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,4,0.074999986,0.000925912,1,0,0,0.8489,rock_grid_rect_2,3,06,-1,-1,0.849,0.212962963,-0.255555541,1,0,0,6.1469,Diorite_rect,3,6.147,1,3,0,3,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,5,0.111111111,0.002777771,1,0,0,0.732,rock_grid_rect_2,1,04,-1,-1,0.732,0.439814815,-0.26944443,1,0,0,2.2798,Gabbro_rect,4,2.28,0,4,0,4,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,6,0.114814829,0.00462963,1,0,0,0.7859,rock_grid_rect_2,8,14,-1,-1,0.786,0.374074159,-0.248148176,1,0,0,2.53,Gabbro_rect,4,2.53,0,5,0,5,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,7,0.179629644,0.012962942,1,0,0,0.7756,rock_grid_rect_2,5,09,-1,-1,0.776,-0.41111109,-0.414814843,1,0,0,1.3434,Obsidian_rect,5,1.343,1,6,0,6,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,8,0.059259273,-0.00462963,1,0,0,0.6505,rock_grid_rect_2,7,16,-1,-1,0.651,-0.131481453,-0.404629672,1,0,0,4.8698,Pegmatite_rect,6,4.87,0,7,0,7,0,1,,,,,,,,,,,,,
6631d1814acfe3524a133869,TCR,2024-06-24_15h00.16.630,LearnStrategy,2023.2.3,Win32,119.047619,1,1,9,0.033333319,-0.00462963,1,0,0,0.8487,rock_grid_rect_2,4,14,-1,-1,0.849,0.061111097,-0.402777778,1,0,0,5.4141,Peridotite_rect,7,5.414,0,8,0,8,0,1,,,,,,,,,,,,,
