participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,1,0.105434783,0.005434783,1,0,0,1.816,rock_grid_rect_2,5,14,-1,-1,1.816,-0.356521739,-0.39673913,1,0,0,5.312,Obsidian_rect,5,5.312,1,0,0,0,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,2,0.032608696,-0.020652174,1,0,0,1.497,rock_grid_rect_2,6,12,-1,-1,1.497,-0.089130435,-0.243478261,1,0,0,4.303,Basalt_rect,2,4.303,0,1,0,1,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,3,0.020652174,-0.025,1,0,0,1.663,rock_grid_rect_2,2,02,-1,-1,1.663,0.118478261,-0.411956522,1,0,0,5.073,Peridotite_rect,7,5.073,0,2,0,2,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,4,0.065217391,-0.002173913,1,0,0,1.129,rock_grid_rect_2,7,16,-1,-1,1.129,0.14673913,-0.404347826,1,0,0,5.555,Peridotite_rect,7,5.555,1,3,0,3,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,5,0.057608696,-0.014130435,1,0,0,1.096,rock_grid_rect_2,1,04,-1,-1,1.096,0.123913043,-0.247826087,1,0,0,4.075,Diorite_rect,3,4.075,0,4,0,4,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,6,0.068478261,-0.005434783,1,0,0,1.046,rock_grid_rect_2,4,16,-1,-1,1.046,0.383695652,-0.266304348,1,0,0,2.757,Gabbro_rect,4,2.757,1,5,0,5,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,7,0.005434783,0.006521739,1,0,0,1.314,rock_grid_rect_2,2,14,-1,-1,1.314,0.347826087,-0.411956522,1,0,0,2.938,Pumice_rect,8,2.938,0,6,0,6,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,8,0.065217391,-0.009782609,1,0,0,0.962,rock_grid_rect_2,8,14,-1,-1,0.962,0.389130435,-0.380434783,1,0,0,2.173,Pumice_rect,8,2.173,1,7,0,7,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,9,0.005434783,0.009782609,1,0,0,0.963,rock_grid_rect_2,8,08,-1,-1,0.963,-0.101086957,-0.270652174,1,0,0,3.572,Basalt_rect,2,3.572,0,8,0,8,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,10,0.004347826,-0.019565217,1,0,0,1.014,rock_grid_rect_2,3,07,-1,-1,1.014,-0.115217391,-0.419565217,1,0,0,2.152,Pegmatite_rect,6,2.152,0,9,0,9,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,11,0.034782609,-0.020652174,1,0,0,1.063,rock_grid_rect_2,6,03,-1,-1,1.063,-0.368478261,-0.408695652,1,0,0,4.373,Obsidian_rect,5,4.373,0,10,0,10,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,12,-0.02173913,-0.025,1,0,0,1.094,rock_grid_rect_2,7,04,-1,-1,1.094,0.106521739,-0.413043478,1,0,0,5.305,Peridotite_rect,7,5.305,1,11,0,11,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,13,0.020652174,-0.019565217,1,0,0,1.047,rock_grid_rect_2,4,15,-1,-1,1.047,-0.075,-0.390217391,1,0,0,2.64,Pegmatite_rect,6,2.64,0,12,0,12,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,14,0.033695652,-0.02173913,1,0,0,1.162,rock_grid_rect_2,5,16,-1,-1,1.162,-0.352173913,-0.415217391,1,0,0,1.423,Obsidian_rect,5,1.423,1,13,0,13,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,15,0.036956522,-0.018478261,1,0,0,0.997,rock_grid_rect_2,1,05,-1,-1,0.997,-0.425,-0.248913043,1,0,0,5.473,Andesite_rect,1,5.473,1,14,0,14,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,16,0.030434783,-0.018478261,1,0,0,1.065,rock_grid_rect_2,3,13,-1,-1,1.065,0.107608696,-0.413043478,1,0,0,5.693,Peridotite_rect,7,5.693,0,15,0,15,0,1,,,,,,,,,,,,,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,2,1,,,,,,,,7,05,,,,,,,,,,,3,5.651,0,,,,,,0.079347826,-0.257608696,1,0,0,5.651,Diorite_rect,0,0,0,0,1,
66338fd253dbd4c5374e8a90,TCN,2024-06-11_13h10.21.391,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,2,2,,,,,,,,6,07,,,,,,,,,,,7,8.82,0,,,,,,0.110869565,-0.419565217,1,0,0,8.82,Peridotite_rect,1,0,1,0,1,
