participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,1,0.026851866,0.014814801,1,0,0,4.371,rock_grid_rect_2,2,10,-1,-1,4.371,-0.099999958,-0.400925954,1,0,0,13.0536,Pegmatite_rect,6,13.054,0,0,0,0,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,2,0.047222208,0.011111118,1,0,0,2.0377,rock_grid_rect_2,8,06,-1,-1,2.038,0.415740826,-0.404629672,1,0,0,3.3796,Pumice_rect,8,3.38,1,1,0,1,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,3,0.007407436,0.001851859,1,0,0,1.7811,rock_grid_rect_2,6,13,-1,-1,1.781,-0.423148155,-0.39444443,1,0,0,8.9144,Obsidian_rect,5,8.914,0,2,0,2,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,4,0.060185185,0.001851859,1,0,0,0.9063,rock_grid_rect_2,6,11,-1,-1,0.906,-0.393518519,-0.401851866,1,0,0,6.8972,Obsidian_rect,5,6.897,0,3,0,3,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,5,0.058333362,0.006481489,1,0,0,0.824,rock_grid_rect_2,8,13,-1,-1,0.824,0.409259231,-0.387037065,1,0,0,2.2057,Pumice_rect,8,2.206,1,4,0,4,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,6,-0.006481453,-0.008333347,1,0,0,1.06,rock_grid_rect_2,5,05,-1,-1,1.06,-0.452777757,-0.404629672,1,0,0,2.6886,Obsidian_rect,5,2.689,1,5,0,5,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,7,0.027777778,-0.001851859,1,0,0,1.0343,rock_grid_rect_2,1,02,-1,-1,1.034,0.136111153,-0.243518547,1,0,0,9.3438,Diorite_rect,3,9.344,0,6,0,6,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,8,0.023148148,-0.005555577,1,0,0,0.9997,rock_grid_rect_2,1,11,-1,-1,1,0.154629672,-0.262037065,1,0,0,5.1987,Diorite_rect,3,5.199,0,7,0,7,0,1,,,,,,,,,,,,,
66370a20a4b5b1a460904760,TCN,2024-06-20_15h28.13.349,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,9,-0.014814801,-0.001851859,1,0,0,0.9997,rock_grid_rect_2,4,10,-1,-1,1,0.419444473,-0.402777778,1,0,0,12.5776,Pumice_rect,8,12.578,0,8,0,8,0,1,,,,,,,,,,,,,
