participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.114583333,-0.002741228,1,0,0,4.9801,rock_grid_rect_2,4,11,-1,-1,4.98,0.378837719,-0.399122807,1,0,0,6.2882,Pumice_rect,8,6.288,0,0,0,0,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.116776316,-0.014802632,1,0,0,0.9969,rock_grid_rect_2,2,10,-1,-1,0.997,-0.395833333,-0.391995614,1,0,0,5.0566,Obsidian_rect,5,5.057,0,1,0,1,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.110197368,0.001096491,1,0,0,0.939,rock_grid_rect_2,1,11,-1,-1,0.939,-0.120614035,-0.411732456,1,0,0,6.0832,Pegmatite_rect,6,6.083,0,2,0,2,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.096491228,-0.010416667,1,0,0,0.8405,rock_grid_rect_2,6,12,-1,-1,0.84,0.114583333,-0.253837719,1,0,0,6.0099,Diorite_rect,3,6.01,0,3,0,3,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.140350877,0.024122807,1,0,0,0.9623,rock_grid_rect_2,5,05,-1,-1,0.962,-0.391447368,-0.398574561,1,0,0,3.9784,Obsidian_rect,5,3.978,1,4,0,4,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.104166667,0.007127193,1,0,0,0.9806,rock_grid_rect_2,4,05,-1,-1,0.981,0.122807018,-0.401315789,1,0,0,8.6651,Peridotite_rect,7,8.665,0,5,0,5,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.100877193,-0.004385965,1,0,0,0.7389,rock_grid_rect_2,1,03,-1,-1,0.739,-0.353070175,-0.252741228,1,0,0,6.4025,Andesite_rect,1,6.403,1,6,0,6,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.086074561,0,1,0,0,0.7699,rock_grid_rect_2,6,10,-1,-1,0.77,0.127741228,-0.401864035,1,0,0,2.5969,Peridotite_rect,7,2.597,0,7,0,7,0,1,,,,,,,,,,,,,
6638ed323cd2400f1d2b09d4,TCR,2024-06-21_11h46.45.702,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.115679825,-0.003289474,1,0,0,2.4477,rock_grid_rect_2,3,15,-1,-1,2.448,0.385964912,-0.406798246,1,0,0,6.5824,Pumice_rect,8,6.582,0,8,0,8,0,1,,,,,,,,,,,,,
