participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,1,-0.5703125,0.385416667,1,0,0,3.9673,Obsidian_06,5,06,6,1,3.967,-0.114583333,-0.239583333,1,0,0,9.067,Basalt_rect,2,9.067,0,0,0,0,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,2,-0.361979167,0.37890625,1,0,0,4.233,Pumice_10,8,10,6,2,4.233,0.33984375,-0.388020833,1,0,0,2.4746,Pumice_rect,8,2.475,1,1,0,1,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,3,-0.229166667,0.416666667,1,0,0,2.1419,Pegmatite_08,6,08,6,3,2.142,-0.34765625,-0.2421875,1,0,0,6.7826,Andesite_rect,1,6.783,0,2,0,2,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,4,-0.08203125,0.40234375,1,0,0,2.6632,Obsidian_16,5,16,6,4,2.663,-0.408854167,-0.244791667,1,0,0,8.1414,Andesite_rect,1,8.141,0,3,0,3,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,5,-0.377604167,-0.114583333,1,0,0,7.2655,Obsidian_11,5,11,3,2,7.266,-0.38671875,-0.40234375,1,0,0,2.1303,Obsidian_rect,5,2.13,1,4,0,4,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,6,-0.21875,-0.109375,1,0,0,2.0808,Diorite_07,3,07,3,3,2.081,0.091145833,-0.243489583,1,0,0,1.4076,Diorite_rect,3,1.408,1,5,0,5,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,7,-0.0703125,-0.424479167,1,0,0,3.164,Diorite_02,3,02,1,4,3.164,-0.326822917,-0.255208333,1,0,0,1.9168,Andesite_rect,1,1.917,0,6,0,6,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,8,0.227864583,-0.104166667,1,0,0,2.8291,Pegmatite_07,6,07,3,6,2.829,0.213541667,-0.40234375,1,0,0,7.3957,Peridotite_rect,7,7.396,0,7,0,7,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,9,0.061197917,-0.08203125,1,0,0,1.5271,Pumice_09,8,09,3,5,1.527,0.380208333,-0.397135417,1,0,0,4.3407,Pumice_rect,8,4.341,1,8,0,8,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,10,0.375,0.40625,1,0,0,1.9143,Basalt_05,2,05,6,7,1.914,0.359375,-0.23046875,1,0,0,7.3333,Gabbro_rect,4,7.333,0,9,0,9,0,1,,,,,,,,,,,,,
663afb4c74805516d7983f27,SCN,2024-06-21_10h49.57.702,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,11,-0.065104167,0.244791667,1,0,0,2.5039,Gabbro_11,4,11,5,4,2.504,-0.178385417,-0.25,1,0,0,1.6895,Basalt_rect,2,1.689,0,10,0,10,0,1,,,,,,,,,,,,,
