participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,1,0.012037037,-0.002777778,1,0,0,2.332,rock_grid_rect_2,2,05,-1,-1,2.332,0.396296296,-0.255555556,1,0,0,3.1991,Gabbro_rect,4,3.199,0,0,0,0,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,2,0.018518519,0.012037037,1,0,0,2.3387,rock_grid_rect_2,2,11,-1,-1,2.339,-0.085185185,-0.394444444,1,0,0,1.4359,Pegmatite_rect,6,1.436,0,1,0,1,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,3,0.122222222,0.000925926,1,0,0,1.075,rock_grid_rect_2,4,09,-1,-1,1.075,-0.150925926,-0.260185185,1,0,0,2.2874,Basalt_rect,2,2.287,0,2,0,2,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,4,0.011111111,-0.014814815,1,0,0,0.9013,rock_grid_rect_2,4,16,-1,-1,0.901,-0.336111111,-0.256481481,1,0,0,1.8663,Andesite_rect,1,1.866,0,3,0,3,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,5,0.110185185,0.001851852,1,0,0,0.846,rock_grid_rect_2,8,16,-1,-1,0.846,0.365740741,-0.255555556,1,0,0,1.1279,Gabbro_rect,4,1.128,0,4,0,4,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,6,0.071296296,0.00462963,1,0,0,0.7556,rock_grid_rect_2,5,12,-1,-1,0.756,-0.112037037,-0.257407407,1,0,0,1.5025,Basalt_rect,2,1.503,0,5,0,5,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,7,-0.026851852,-0.015740741,1,0,0,0.7138,rock_grid_rect_2,6,08,-1,-1,0.714,0.094444444,-0.387037037,1,0,0,1.1486,Peridotite_rect,7,1.149,0,6,0,6,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,8,0.026851852,-0.016666667,1,0,0,0.6027,rock_grid_rect_2,7,05,-1,-1,0.603,-0.117592593,-0.266666667,1,0,0,2.1691,Basalt_rect,2,2.169,0,7,0,7,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,9,0.013888889,-0.019444444,1,0,0,0.839,rock_grid_rect_2,3,13,-1,-1,0.839,-0.310185185,-0.405555556,1,0,0,1.7872,Obsidian_rect,5,1.787,0,8,0,8,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,10,0.061111111,-0.025,1,0,0,0.5264,rock_grid_rect_2,1,07,-1,-1,0.526,0.124074074,-0.4,1,0,0,1.8884,Peridotite_rect,7,1.888,0,9,0,9,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,11,0.107407407,-0.00462963,1,0,0,0.6167,rock_grid_rect_2,6,16,-1,-1,0.617,-0.113888889,-0.4,1,0,0,1.7178,Pegmatite_rect,6,1.718,1,10,0,10,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,12,0.049074074,-0.022222222,1,0,0,0.8041,rock_grid_rect_2,1,09,-1,-1,0.804,0.082407407,-0.259259259,1,0,0,0.53,Diorite_rect,3,0.53,0,11,0,11,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,13,0.058333333,-0.012037037,1,0,0,0.6375,rock_grid_rect_2,3,08,-1,-1,0.638,0.327777778,-0.248148148,1,0,0,2.9431,Gabbro_rect,4,2.943,0,12,0,12,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,14,0.102777778,0.019444444,1,0,0,0.7279,rock_grid_rect_2,8,13,-1,-1,0.728,-0.368518519,-0.246296296,1,0,0,1.1762,Andesite_rect,1,1.176,0,13,0,13,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,15,0.062962963,0.016666667,1,0,0,0.6793,rock_grid_rect_2,5,02,-1,-1,0.679,0.076851852,-0.244444444,1,0,0,0.8517,Diorite_rect,3,0.852,0,14,0,14,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,16,0.049074074,-0.014814815,1,0,0,0.8394,rock_grid_rect_2,7,10,-1,-1,0.839,0.087037037,-0.397222222,1,0,0,1.6133,Peridotite_rect,7,1.613,1,15,0,15,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,1,,,,,,,,4,08,,,,,,,,,,,2,3.709,0,,,,,,-0.107407407,-0.256481481,1,0,0,3.7091,Basalt_rect,0,0,0,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,2,,,,,,,,5,10,,,,,,,,,,,5,1.474,1,,,,,,-0.374074074,-0.392592593,1,0,0,1.4744,Obsidian_rect,1,0,1,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,3,,,,,,,,8,02,,,,,,,,,,,4,1.655,0,,,,,,0.383333333,-0.267592593,1,0,0,1.655,Gabbro_rect,2,0,2,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,4,,,,,,,,4,11,,,,,,,,,,,7,1.694,0,,,,,,0.160185185,-0.408333333,1,0,0,1.6938,Peridotite_rect,3,0,3,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,5,,,,,,,,2,16,,,,,,,,,,,7,1.254,0,,,,,,0.187037037,-0.399074074,1,0,0,1.2537,Peridotite_rect,4,0,4,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,6,,,,,,,,2,04,,,,,,,,,,,6,1.491,0,,,,,,-0.124074074,-0.392592593,1,0,0,1.4911,Pegmatite_rect,5,0,5,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,7,,,,,,,,1,06,,,,,,,,,,,1,1.184,1,,,,,,-0.324074074,-0.250925926,1,0,0,1.1838,Andesite_rect,6,0,6,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,8,,,,,,,,6,15,,,,,,,,,,,3,1.296,0,,,,,,0.190740741,-0.260185185,1,0,0,1.296,Diorite_rect,7,0,7,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,9,,,,,,,,7,14,,,,,,,,,,,4,1.06,0,,,,,,0.335185185,-0.256481481,1,0,0,1.0604,Gabbro_rect,8,0,8,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,10,,,,,,,,1,14,,,,,,,,,,,3,1.349,0,,,,,,0.109259259,-0.230555556,1,0,0,1.3486,Diorite_rect,9,0,9,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,11,,,,,,,,5,09,,,,,,,,,,,6,0.774,0,,,,,,-0.106481481,-0.385185185,1,0,0,0.7738,Pegmatite_rect,10,0,10,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,12,,,,,,,,6,09,,,,,,,,,,,1,1.736,0,,,,,,-0.318518519,-0.260185185,1,0,0,1.7356,Andesite_rect,11,0,11,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,13,,,,,,,,8,06,,,,,,,,,,,2,2,0,,,,,,-0.148148148,-0.27037037,1,0,0,1.9995,Basalt_rect,12,0,12,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,14,,,,,,,,3,02,,,,,,,,,,,8,1.412,0,,,,,,0.337037037,-0.390740741,1,0,0,1.4123,Pumice_rect,13,0,13,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,15,,,,,,,,3,07,,,,,,,,,,,3,1.228,1,,,,,,0.122222222,-0.250925926,1,0,0,1.2283,Diorite_rect,14,0,14,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,1,2,16,,,,,,,,7,15,,,,,,,,,,,4,1.357,0,,,,,,0.331481481,-0.266666667,1,0,0,1.3566,Gabbro_rect,15,0,15,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,1,0.063888889,0.000925926,1,0,0,1.0617,rock_grid_rect_2,8,09,-1,-1,1.062,0.356481481,-0.268518519,1,0,0,1.0581,Gabbro_rect,4,1.058,0,0,0,0,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,2,0.089814815,0.011111111,1,0,0,0.589,rock_grid_rect_2,7,16,-1,-1,0.589,0.148148148,-0.243518519,1,0,0,0.3644,Diorite_rect,3,0.364,0,1,0,1,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,3,-0.064814815,-0.014814815,1,0,0,0.4784,rock_grid_rect_2,1,07,-1,-1,0.478,-0.037037037,-0.241666667,1,0,0,0.3472,Basalt_rect,2,0.347,0,2,0,2,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,4,-0.026851852,0.016666667,1,0,0,0.6312,rock_grid_rect_2,4,13,-1,-1,0.631,0.086111111,-0.393518519,1,0,0,0.4613,Peridotite_rect,7,0.461,0,3,0,3,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,5,-0.014814815,0.016666667,1,0,0,0.6104,rock_grid_rect_2,6,16,-1,-1,0.61,-0.128703704,-0.416666667,1,0,0,0.7269,Pegmatite_rect,6,0.727,1,4,0,4,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,6,-0.063888889,-0.001851852,1,0,0,0.6727,rock_grid_rect_2,4,10,-1,-1,0.673,-0.371296296,-0.233333333,1,0,0,0.3798,Andesite_rect,1,0.38,0,5,0,5,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,7,0,-0.013888889,1,0,0,0.7839,rock_grid_rect_2,2,14,-1,-1,0.784,-0.356481481,-0.386111111,1,0,0,0.4263,Obsidian_rect,5,0.426,0,6,0,6,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,8,0.000925926,-0.010185185,1,0,0,0.5201,rock_grid_rect_2,4,16,-1,-1,0.52,-0.089814815,-0.246296296,1,0,0,0.4237,Basalt_rect,2,0.424,0,7,0,7,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,9,0.123148148,-0.012037037,1,0,0,0.5967,rock_grid_rect_2,3,12,-1,-1,0.597,0.313888889,-0.410185185,1,0,0,0.4576,Pumice_rect,8,0.458,0,8,0,8,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,10,0.097222222,-0.019444444,1,0,0,0.7283,rock_grid_rect_2,3,08,-1,-1,0.728,0.180555556,-0.380555556,1,0,0,0.475,Peridotite_rect,7,0.475,0,9,0,9,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,11,0.059259259,-0.012962963,1,0,0,0.4854,rock_grid_rect_2,5,12,-1,-1,0.485,0.371296296,-0.246296296,1,0,0,0.7544,Gabbro_rect,4,0.754,0,10,0,10,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,12,0.096296296,-0.008333333,1,0,0,0.5409,rock_grid_rect_2,7,05,-1,-1,0.541,0.173148148,-0.246296296,1,0,0,0.6277,Diorite_rect,3,0.628,0,11,0,11,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,13,0.044444444,-0.019444444,1,0,0,0.7562,rock_grid_rect_2,7,10,-1,-1,0.756,-0.060185185,-0.384259259,1,0,0,0.7256,Pegmatite_rect,6,0.726,0,12,0,12,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,14,0.062037037,-0.008333333,1,0,0,0.7145,rock_grid_rect_2,6,07,-1,-1,0.715,0.121296296,-0.396296296,1,0,0,0.4194,Peridotite_rect,7,0.419,0,13,0,13,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,15,0.056481481,0.002777778,1,0,0,0.4923,rock_grid_rect_2,2,11,-1,-1,0.492,0.099074074,-0.27037037,1,0,0,0.3299,Diorite_rect,3,0.33,0,14,0,14,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,1,16,0.060185185,-0.011111111,1,0,0,0.5826,rock_grid_rect_2,8,15,-1,-1,0.583,-0.094444444,-0.242592593,1,0,0,0.8616,Basalt_rect,2,0.862,0,15,0,15,0,1,,,,,,,,,,,,,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,1,,,,,,,,4,15,,,,,,,,,,,4,2.402,1,,,,,,0.333333333,-0.251851852,1,0,0,2.402,Gabbro_rect,0,0,0,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,2,,,,,,,,3,06,,,,,,,,,,,2,3.311,0,,,,,,-0.162037037,-0.257407407,1,0,0,3.3111,Basalt_rect,1,0,1,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,3,,,,,,,,3,14,,,,,,,,,,,8,1.697,0,,,,,,0.37962963,-0.409259259,1,0,0,1.697,Pumice_rect,2,0,2,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,4,,,,,,,,8,05,,,,,,,,,,,7,0.426,0,,,,,,0.185185185,-0.388888889,1,0,0,0.4257,Peridotite_rect,3,0,3,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,5,,,,,,,,7,02,,,,,,,,,,,6,1.503,0,,,,,,-0.127777778,-0.384259259,1,0,0,1.5028,Pegmatite_rect,4,0,4,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,6,,,,,,,,1,11,,,,,,,,,,,3,1.523,0,,,,,,0.099074074,-0.251851852,1,0,0,1.5232,Diorite_rect,5,0,5,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,7,,,,,,,,5,05,,,,,,,,,,,5,1.908,1,,,,,,-0.359259259,-0.387962963,1,0,0,1.9084,Obsidian_rect,6,0,6,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,8,,,,,,,,5,04,,,,,,,,,,,5,1.094,1,,,,,,-0.419444444,-0.399074074,1,0,0,1.094,Obsidian_rect,7,0,7,0,1,
6643ad1d6324582f8867c01a,TCR,2024-06-25_14h31.36.751,LearnStrategy,2023.2.3,Win32,144.9275362,2,2,9,,,,,,,,1,03,,,,,,,,,,,2,1.163,0,,,,,,-0.158333333,-0.250925926,1,0,0,1.1632,Basalt_rect,8,0,8,0,1,
