participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,1,0.076889277,0.075730602,1,0,0,3.0168,Diorite_08,3,08,4,5,3.017,3,11,0.364659707,-0.418433587,1,0,0,2.5929,Pumice_rect,8,2.593,0,0,0,0,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,2,-0.067709128,0.063507557,1,0,0,2.0607,Pumice_15,8,15,4,4,2.061,2,08,0.178566933,-0.253169139,1,0,0,4.7644,Diorite_rect,3,4.764,0,1,0,1,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,3,0.55486536,-0.109481454,1,0,0,1.7696,Obsidian_12,5,12,3,8,1.77,4,15,-0.395158648,-0.414002577,1,0,0,3.1048,Obsidian_rect,5,3.105,1,2,0,2,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,4,0.402646303,0.421930825,1,0,0,2.5231,Diorite_11,3,11,6,7,2.523,2,02,-0.133301099,-0.25604852,1,0,0,5.4065,Basalt_rect,2,5.406,0,3,0,3,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,5,-0.544565519,-0.129833817,1,0,0,2.0795,Pegmatite_10,6,10,3,1,2.079,7,07,-0.13684694,-0.415381034,1,0,0,3.4303,Pegmatite_rect,6,3.43,1,4,0,4,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,6,-0.573370457,0.06794707,1,0,0,1.8253,Basalt_08,2,08,4,1,1.825,7,05,-0.421235919,-0.251661301,1,0,0,1.9912,Andesite_rect,1,1.991,0,5,0,5,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,7,0.56124862,-0.127117316,1,0,0,1.4954,Obsidian_12,5,12,3,8,1.495,1,05,-0.405348976,-0.396289905,1,0,0,1.1122,Obsidian_rect,5,1.112,1,6,0,6,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,8,-0.40131851,0.421009332,1,0,0,1.5152,Pumice_05,8,05,6,2,1.515,6,15,0.365754366,-0.409230471,1,0,0,1.8978,Pumice_rect,8,1.898,1,7,0,7,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,9,-0.55382061,0.409842283,1,0,0,1.1916,Andesite_14,1,14,6,1,1.192,8,04,-0.361877441,-0.257052739,1,0,0,2.0633,Andesite_rect,1,2.063,1,8,0,8,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,10,-0.223828117,0.4148057,1,0,0,1.484,Gabbro_15,4,15,6,3,1.484,5,08,0.420713027,-0.251832565,1,0,0,2.7663,Gabbro_rect,4,2.766,1,9,0,9,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,11,-0.105594635,0.390807519,1,0,0,1.3051,Gabbro_10,4,10,6,4,1.305,6,10,0.095201333,-0.405663331,1,0,0,2.7165,Peridotite_rect,7,2.716,0,10,0,10,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,12,0.122326374,0.420105979,1,0,0,1.5027,Andesite_07,1,07,6,5,1.503,3,08,-0.099875132,-0.257429441,1,0,0,5.1052,Basalt_rect,2,5.105,0,11,0,11,0,1,,,,,,,,,,,,,
6647b26b402c0a3c5ab8b0cd,SCR,2024-06-20_13h28.40.192,LearnStrategy,2023.2.3,Linux x86_64,60.97560976,1,1,13,0.372790813,0.41191709,1,0,0,1.4463,Diorite_11,3,11,6,7,1.446,5,06,0.165335814,-0.251848618,1,0,0,1.6503,Diorite_rect,3,1.65,1,12,0,12,0,1,,,,,,,,,,,,,
