participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,0.07962963,-0.076851852,1,0,0,7.2119,Pegmatite_13,6,13,3,5,7.212,4,10,-0.164814815,-0.262037037,1,0,0,60.8323,Basalt_rect,2,60.832,0,0,0,0,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.237962963,-0.419444444,1,0,0,8.381,Pegmatite_10,6,10,1,6,8.381,1,02,-0.363888889,-0.268518519,1,0,0,68.9228,Andesite_rect,1,68.923,0,1,0,1,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,0.518518519,0.244444444,1,0,0,8.9649,Pegmatite_16,6,16,5,8,8.965,2,09,0.143518519,-0.248148148,1,0,0,2.7557,Diorite_rect,3,2.756,0,2,0,2,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.249074074,0.085185185,1,0,0,6.7977,Pumice_13,8,13,4,3,6.798,3,06,-0.375925926,-0.262962963,1,0,0,9.3232,Andesite_rect,1,9.323,0,3,0,3,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,0.408333333,-0.259259259,1,0,0,2.6975,Basalt_06,2,06,2,7,2.697,7,15,-0.47962963,-0.389814815,1,0,0,2.8933,Obsidian_rect,5,2.893,0,4,0,4,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.368518519,-0.414814815,1,0,0,1.7136,Obsidian_10,5,10,1,2,1.714,8,10,-0.157407407,-0.251851852,1,0,0,4.1932,Basalt_rect,2,4.193,0,5,0,5,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,0.390740741,0.101851852,1,0,0,6.5643,Pegmatite_08,6,08,4,7,6.564,4,16,-0.103703704,-0.405555556,1,0,0,3.79,Pegmatite_rect,6,3.79,1,6,0,6,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,-0.074074074,-0.424074074,1,0,0,3.2469,Peridotite_13,7,13,1,4,3.247,7,13,0.133333333,-0.261111111,1,0,0,2.7221,Diorite_rect,3,2.722,0,7,0,7,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.225,-0.099074074,1,0,0,2.9637,Obsidian_05,5,05,3,3,2.964,3,16,-0.380555556,-0.266666667,1,0,0,2.2771,Andesite_rect,1,2.277,0,8,0,8,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,10,0.087962963,0.081481481,1,0,0,1.2136,Andesite_09,1,09,4,5,1.214,6,08,0.335185185,-0.392592593,1,0,0,1.211,Pumice_rect,8,1.211,0,9,0,9,0,1,,,,,,,,,,,,,
6655e4f304ea91b8ecb46edc,SCR,2024-06-24_14h45.03.944,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,11,0.236111111,0.438888889,1,0,0,2.2813,Andesite_03,1,03,6,6,2.281,5,05,-0.341666667,-0.265740741,1,0,0,1.7406,Andesite_rect,1,1.741,1,10,0,10,0,1,,,,,,,,,,,,,
