participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,1,-0.373958333,0.08125,1,0,0,7.456,Pegmatite_10,6,10,4,2,7.456,0.095833333,-0.270833333,1,0,0,8.721,Diorite_rect,3,8.721,0,0,0,0,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,2,-0.069791667,0.402083333,1,0,0,4.532,Obsidian_04,5,04,6,4,4.532,-0.35,-0.397916667,1,0,0,2.838,Obsidian_rect,5,2.838,1,1,0,1,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,3,-0.396875,0.388541667,1,0,0,6.332,Peridotite_16,7,16,6,2,6.332,0.139583333,-0.2375,1,0,0,1.777,Diorite_rect,3,1.777,0,2,0,2,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,4,0.073958333,0.39375,1,0,0,2.915,Diorite_08,3,08,6,5,2.915,0.419791667,-0.26875,1,0,0,6.203,Gabbro_rect,4,6.203,0,3,0,3,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,5,0.5125,0.389583333,1,0,0,3.832,Obsidian_07,5,07,6,8,3.832,-0.13125,-0.265625,1,0,0,5.643,Basalt_rect,2,5.643,0,4,0,4,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,6,-0.538541667,0.241666667,1,0,0,3.749,Diorite_11,3,11,5,1,3.749,0.117708333,-0.244791667,1,0,0,2.624,Diorite_rect,3,2.624,1,5,0,5,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,7,-0.378125,0.241666667,1,0,0,1.582,Pegmatite_03,6,03,5,2,1.582,-0.183333333,-0.395833333,1,0,0,6.571,Pegmatite_rect,6,6.571,1,6,0,6,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,8,-0.215625,0.226041667,1,0,0,1.566,Diorite_06,3,06,5,3,1.566,0.13125,-0.254166667,1,0,0,4.015,Diorite_rect,3,4.015,1,7,0,7,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,9,0.535416667,0.242708333,1,0,0,7.1,Andesite_11,1,11,5,8,7.1,0.140625,-0.401041667,1,0,0,5.709,Peridotite_rect,7,5.709,0,8,0,8,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,10,0.066666667,0.073958333,1,0,0,3.017,Pegmatite_16,6,16,4,5,3.017,-0.367708333,-0.232291667,1,0,0,1.17,Andesite_rect,1,1.17,0,9,0,9,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,11,0.55625,0.06875,1,0,0,8.859,Peridotite_13,7,13,4,8,8.859,-0.0375,-0.404166667,1,0,0,6.885,Pegmatite_rect,6,6.885,0,10,0,10,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,12,0.23125,0.071875,1,0,0,12.016,Diorite_02,3,02,4,6,12.016,0.136458333,-0.255208333,1,0,0,1.869,Diorite_rect,3,1.869,1,11,0,11,0,1,,,,,,,,,,,,,
665877fac83409588bdc6bfb,SCN,2024-06-25_12h41.14.467,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,13,0.211458333,-0.422916667,1,0,0,1.399,Pegmatite_15,6,15,1,6,1.399,-0.416666667,-0.271875,1,0,0,3.77,Andesite_rect,1,3.77,0,12,0,12,0,1,,,,,,,,,,,,,
