participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,1,0.094444444,-0.008333333,1,0,0,2.3107,rock_grid_rect_2,3,10,-1,-1,2.311,-0.110185185,-0.248148148,1,0,0,5.4045,Basalt_rect,2,5.404,0,0,0,0,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,2,0.069444444,-0.015740741,1,0,0,1.7195,rock_grid_rect_2,2,08,-1,-1,1.72,-0.335185185,-0.383333333,1,0,0,3.3681,Obsidian_rect,5,3.368,0,1,0,1,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,3,0.010185185,-0.012037037,1,0,0,1.1216,rock_grid_rect_2,1,09,-1,-1,1.122,0.40462963,-0.383333333,1,0,0,5.8144,Pumice_rect,8,5.814,0,2,0,2,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,4,0.151851852,0.007407407,1,0,0,1.7686,rock_grid_rect_2,2,14,-1,-1,1.769,-0.092592593,-0.387962963,1,0,0,4.6454,Pegmatite_rect,6,4.645,0,3,0,3,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,5,0.02037037,-0.003703704,1,0,0,1.079,rock_grid_rect_2,8,16,-1,-1,1.079,0.42037037,-0.384259259,1,0,0,1.6356,Pumice_rect,8,1.636,1,4,0,4,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,6,0.016666667,0.022222222,1,0,0,1.6899,rock_grid_rect_2,6,08,-1,-1,1.69,0.165740741,-0.231481481,1,0,0,8.5226,Diorite_rect,3,8.523,0,5,0,5,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,7,0.011111111,-0.003703704,1,0,0,2.3128,rock_grid_rect_2,3,14,-1,-1,2.313,0.106481481,-0.232407407,1,0,0,5.9521,Diorite_rect,3,5.952,1,6,0,6,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,8,0.059259259,-0.008333333,1,0,0,0.898,rock_grid_rect_2,5,07,-1,-1,0.898,-0.342592593,-0.388888889,1,0,0,3.9341,Obsidian_rect,5,3.934,1,7,0,7,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,9,0.083333333,0.011111111,1,0,0,0.9718,rock_grid_rect_2,8,09,-1,-1,0.972,0.381481481,-0.400925926,1,0,0,3.5256,Pumice_rect,8,3.526,1,8,0,8,0,1,,,,,,,,,,,,,
6658ee766e2632a6de409027,TCN,2024-06-25_09h40.27.219,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,10,0.038888889,-0.00462963,1,0,0,1.0468,rock_grid_rect_2,4,03,-1,-1,1.047,0.161111111,-0.237962963,1,0,0,1.8321,Diorite_rect,3,1.832,0,9,0,9,0,1,,,,,,,,,,,,,
