participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,1,0.576666667,0.096666667,1,0,0,5.9134,Andesite_09,1,09,4,8,5.913,1,09,-0.101111111,-0.25,1,0,0,10.8868,Basalt_rect,2,10.887,0,0,0,0,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,2,0.202222222,-0.215555556,1,0,0,7.3198,Pegmatite_15,6,15,2,6,7.32,6,15,-0.07,-0.265555556,1,0,0,8.3816,Basalt_rect,2,8.382,0,1,0,1,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,3,-0.523333333,0.231111111,1,0,0,2.2413,Gabbro_08,4,08,5,1,2.241,4,08,0.134444444,-0.237777778,1,0,0,3.2509,Diorite_rect,3,3.251,0,2,0,2,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,4,0.364444444,-0.392222222,1,0,0,2.4627,Pegmatite_07,6,07,1,7,2.463,6,07,-0.334444444,-0.401111111,1,0,0,6.5913,Obsidian_rect,5,6.591,0,3,0,3,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,5,0.068888889,-0.244444444,1,0,0,1.4847,Obsidian_09,5,09,2,5,1.485,5,09,0.385555556,-0.397777778,1,0,0,4.7822,Pumice_rect,8,4.782,0,4,0,4,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,6,0.394444444,0.238888889,1,0,0,12.2348,Obsidian_06,5,06,5,7,12.235,5,06,-0.376666667,-0.396666667,1,0,0,2.5133,Obsidian_rect,5,2.513,1,5,0,5,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,7,0.422222222,0.091111111,1,0,0,1.4246,Basalt_14,2,14,4,7,1.425,2,14,-0.358888889,-0.248888889,1,0,0,4.7181,Andesite_rect,1,4.718,0,6,0,6,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,8,-0.375555556,0.085555556,1,0,0,1.9772,Andesite_01,1,01,4,2,1.977,1,01,-0.342222222,-0.257777778,1,0,0,13.4566,Andesite_rect,1,13.457,1,7,0,7,0,1,,,,,,,,,,,,,
66601438206fb7fc6c48a81f,SCR,2024-06-11_12h12.04.349,LearnStrategy,2023.2.3,Win32,60.06006006,1,1,9,0.221111111,0.096666667,1,0,0,1.3495,Peridotite_05,7,05,4,6,1.35,7,05,-0.088888889,-0.236666667,1,0,0,3.6614,Basalt_rect,2,3.661,0,8,0,8,0,1,,,,,,,,,,,,,
