participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,1,-0.413194444,-0.0875,1,0,0,2.7563,Pumice_09,8,09,3,2,2.756,0.327777778,-0.379861111,1,0,0,4.6811,Pumice_rect,8,4.681,1,0,0,0,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,2,-0.543055556,-0.086111111,1,0,0,1.1205,Pumice_03,8,03,3,1,1.12,-0.052777778,-0.411111111,1,0,0,5.2987,Pegmatite_rect,6,5.299,0,1,0,1,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,3,-0.077083333,0.070138889,1,0,0,0.6839,Pumice_02,8,02,4,4,0.684,-0.168055556,-0.383333333,1,0,0,2.1893,Pegmatite_rect,6,2.189,0,2,0,2,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,4,0.107638889,0.0625,1,0,0,0.7626,Gabbro_15,4,15,4,5,0.763,0.170138889,-0.240277778,1,0,0,2.6504,Diorite_rect,3,2.65,0,3,0,3,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,5,0.405555556,0.088888889,1,0,0,1.5505,Basalt_14,2,14,4,7,1.55,-0.127083333,-0.259722222,1,0,0,1.9407,Basalt_rect,2,1.941,1,4,0,4,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,6,-0.229166667,0.08125,1,0,0,0.8778,Peridotite_15,7,15,4,3,0.878,0.111805556,-0.409027778,1,0,0,3.7226,Peridotite_rect,7,3.723,1,5,0,5,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,7,-0.405555556,0.073611111,1,0,0,0.7022,Pumice_13,8,13,4,2,0.702,-0.298611111,-0.271527778,1,0,0,4.954,Andesite_rect,1,4.954,0,6,0,6,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,8,-0.569444444,-0.26875,1,0,0,1.0837,Andesite_04,1,04,2,1,1.084,-0.361805556,-0.251388889,1,0,0,4.6212,Andesite_rect,1,4.621,1,7,0,7,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,9,-0.083333333,-0.413194444,1,0,0,0.8779,Pegmatite_10,6,10,1,4,0.878,0.091666667,-0.382638889,1,0,0,3.9524,Peridotite_rect,7,3.952,0,8,0,8,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,10,0.575694444,-0.4125,1,0,0,0.9992,Obsidian_04,5,04,1,8,0.999,-0.325,-0.38125,1,0,0,0.8442,Obsidian_rect,5,0.844,1,9,0,9,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,11,0.409722222,-0.234722222,1,0,0,0.7321,Gabbro_05,4,05,2,7,0.732,-0.077777778,-0.408333333,1,0,0,4.4318,Pegmatite_rect,6,4.432,0,10,0,10,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,12,0.079166667,0.079861111,1,0,0,1.4719,Gabbro_15,4,15,4,5,1.472,0.3625,-0.244444444,1,0,0,0.7227,Gabbro_rect,4,0.723,1,11,0,11,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,13,0.417361111,-0.278472222,1,0,0,0.587,Gabbro_05,4,05,2,7,0.587,0.404166667,-0.23125,1,0,0,0.7295,Gabbro_rect,4,0.73,1,12,0,12,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,14,0.575694444,-0.235416667,1,0,0,0.745,Obsidian_06,5,06,2,8,0.745,-0.328472222,-0.403472222,1,0,0,0.9713,Obsidian_rect,5,0.971,1,13,0,13,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,15,0.551388889,-0.082638889,1,0,0,0.49,Andesite_10,1,10,3,8,0.49,-0.380555556,-0.229166667,1,0,0,3.0565,Andesite_rect,1,3.057,1,14,0,14,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,1,16,0.352083333,-0.099305556,1,0,0,0.7325,Andesite_11,1,11,3,7,0.733,-0.354861111,-0.239583333,1,0,0,6.917,Andesite_rect,1,6.917,1,15,0,15,0,1,,,,,,,,,,,,,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,1,,,,,,,,5,16,,,,,,,,,,,5,1.644,1,,,,,,-0.347916667,-0.385416667,1,0,0,1.6439,Obsidian_rect,0,0,0,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,2,,,,,,,,4,12,,,,,,,,,,,2,17.717,0,,,,,,-0.167361111,-0.25625,1,0,0,17.7169,Basalt_rect,1,0,1,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,3,,,,,,,,7,14,,,,,,,,,,,1,52.945,0,,,,,,-0.369444444,-0.270833333,1,0,0,52.9452,Andesite_rect,2,0,2,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,4,,,,,,,,8,16,,,,,,,,,,,8,3.257,1,,,,,,0.345833333,-0.4125,1,0,0,3.2573,Pumice_rect,3,0,3,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,5,,,,,,,,6,15,,,,,,,,,,,6,47.415,1,,,,,,-0.184722222,-0.408333333,1,0,0,47.4148,Pegmatite_rect,4,0,4,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,6,,,,,,,,2,01,,,,,,,,,,,2,8.808,1,,,,,,-0.201388889,-0.250694444,1,0,0,8.808,Basalt_rect,5,0,5,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,7,,,,,,,,4,13,,,,,,,,,,,4,2.191,1,,,,,,0.364583333,-0.260416667,1,0,0,2.1907,Gabbro_rect,6,0,6,0,1,
6664597b10bb2abd191df517,SCN,2024-06-20_16h28.32.811,LearnStrategy,2023.2.3,Win32,166.6666667,1,2,8,,,,,,,,6,11,,,,,,,,,,,6,1.271,1,,,,,,-0.058333333,-0.392361111,1,0,0,1.2711,Pegmatite_rect,7,0,7,0,1,
