participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,1,-0.087239583,0.239583333,1,0,0,15.0872,Pegmatite_03,6,03,5,4,15.087,0.140625,-0.395833333,1,0,0,12.4332,Peridotite_rect,7,12.433,0,0,0,0,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,2,0.559895833,-0.109375,1,0,0,30.0171,Basalt_08,2,08,3,8,30.017,-0.1171875,-0.255208333,1,0,0,5.3026,Basalt_rect,2,5.303,1,1,0,1,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,3,-0.24609375,-0.104166667,1,0,0,4.4957,Pumice_02,8,02,3,3,4.496,0.33984375,-0.25390625,1,0,0,26.4443,Gabbro_rect,4,26.444,0,2,0,2,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,4,0.22265625,0.28125,1,0,0,11.3858,Pumice_08,8,08,5,6,11.386,0.140625,-0.23046875,1,0,0,4.0195,Diorite_rect,3,4.019,0,3,0,3,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,5,0.055989583,-0.092447917,1,0,0,8.1011,Obsidian_06,5,06,3,5,8.101,-0.459635417,-0.401041667,1,0,0,17.0071,Obsidian_rect,5,17.007,1,4,0,4,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,6,0.516927083,0.3984375,1,0,0,13.5001,Peridotite_16,7,16,6,8,13.5,0.108072917,-0.3984375,1,0,0,13.9554,Peridotite_rect,7,13.955,1,5,0,5,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,7,-0.248697917,-0.239583333,1,0,0,5.3243,Basalt_10,2,10,2,3,5.324,-0.147135417,-0.407552083,1,0,0,11.8214,Pegmatite_rect,6,11.821,0,6,0,6,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,8,0.217447917,-0.10546875,1,0,0,12.5377,Andesite_04,1,04,3,6,12.538,-0.372395833,-0.256510417,1,0,0,10.5313,Andesite_rect,1,10.531,1,7,0,7,0,1,,,,,,,,,,,,,
666e0c42ac414869ed22fbc5,SCN,2024-06-24_13h48.27.335,LearnStrategy,2023.2.3,Win32,3.36813742,1,1,9,0.37890625,-0.272135417,1,0,0,12.7316,Pegmatite_11,6,11,2,7,12.732,-0.41015625,-0.421875,1,0,0,3.5693,Obsidian_rect,5,3.569,0,8,0,8,0,1,,,,,,,,,,,,,
