participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.071296268,-0.250925912,1,0,0,2.557,Pumice_03,8,03,2,4,2.557,8,03,0.386111083,-0.391666695,1,0,0,5.2997,Pumice_rect,8,5.3,1,0,0,0,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.551851908,-0.401851866,1,0,0,1.653,Obsidian_05,5,05,1,8,1.653,5,05,-0.324999986,-0.409259302,1,0,0,2.6706,Obsidian_rect,5,2.671,1,1,0,1,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.23055557,0.273148148,1,0,0,1.399,Diorite_09,3,09,5,3,1.399,3,09,-0.099999958,-0.397222236,1,0,0,5.1284,Pegmatite_rect,6,5.128,0,2,0,2,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.405555548,0.26203703,1,0,0,1.7615,Diorite_10,3,10,5,2,1.761,3,10,-0.115740741,-0.385185171,1,0,0,4.5392,Pegmatite_rect,6,4.539,0,3,0,3,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.080555598,-0.420370384,1,0,0,1.4447,Obsidian_06,5,06,1,5,1.445,5,06,0.381481453,-0.263888889,1,0,0,7.93,Gabbro_rect,4,7.93,0,4,0,4,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.229629658,-0.10092594,1,0,0,1.4628,Peridotite_05,7,05,3,6,1.463,7,05,-0.178703661,-0.249074088,1,0,0,2.7691,Basalt_rect,2,2.769,0,5,0,5,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.076851809,-0.097222222,1,0,0,0.8956,Pumice_09,8,09,3,4,0.896,8,09,0.384259259,-0.387962977,1,0,0,1.502,Pumice_rect,8,1.502,1,6,0,6,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.06759255,0.099074081,1,0,0,1.1452,Gabbro_10,4,10,4,4,1.145,4,10,-0.093518504,-0.39444443,1,0,0,5.0705,Pegmatite_rect,6,5.07,0,7,0,7,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.081481439,0.262962959,1,0,0,1.3451,Andesite_02,1,02,5,4,1.345,1,02,0.089814857,-0.391666695,1,0,0,4.9228,Peridotite_rect,7,4.923,0,8,0,8,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.564814815,0.397222219,1,0,0,1.6262,Basalt_11,2,11,6,8,1.626,2,11,-0.091666681,-0.397222236,1,0,0,2.745,Pegmatite_rect,6,2.745,0,9,0,9,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.591666645,0.094444452,1,0,0,1.423,Peridotite_13,7,13,4,1,1.423,7,13,-0.068518533,-0.390740783,1,0,0,4.275,Pegmatite_rect,6,4.275,0,10,0,10,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.407407407,0.284259249,1,0,0,1.4258,Pegmatite_08,6,08,5,7,1.426,6,08,-0.080555527,-0.37962963,1,0,0,1.9803,Pegmatite_rect,6,1.98,1,11,0,11,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,-0.218518504,0.082407386,1,0,0,1.0287,Andesite_03,1,03,4,3,1.029,1,03,-0.373148141,-0.242592635,1,0,0,5.2403,Andesite_rect,1,5.24,1,12,0,12,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,-0.594444434,0.268518519,1,0,0,1.3289,Gabbro_03,4,03,5,1,1.329,4,03,0.060185185,-0.261111153,1,0,0,2.391,Diorite_rect,3,2.391,0,13,0,13,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.05277782,0.37314815,1,0,0,1.3945,Basalt_08,2,08,6,5,1.394,2,08,-0.065740727,-0.252777806,1,0,0,8.1052,Basalt_rect,2,8.105,1,14,0,14,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,-0.06759255,-0.381481524,1,0,0,1.4791,Pegmatite_09,6,09,1,4,1.479,6,09,-0.07222218,-0.420370384,1,0,0,4.8843,Pegmatite_rect,6,4.884,1,15,0,15,0,1,,,,,,,,,,,,,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,8,04,,,,,,,,,,,,,8,2.015,1,,,,,,0.353703675,-0.404629672,1,0,0,2.0148,Pumice_rect,0,0,0,0,1,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,7,16,,,,,,,,,,,,,2,8.644,0,,,,,,-0.094444416,-0.235185199,1,0,0,8.6438,Basalt_rect,1,0,1,0,1,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,4,01,,,,,,,,,,,,,7,4.599,0,,,,,,0.101851852,-0.40370369,1,0,0,4.5991,Peridotite_rect,2,0,2,0,1,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,2,05,,,,,,,,,,,,,4,3.915,0,,,,,,0.363888917,-0.232407393,1,0,0,3.9154,Gabbro_rect,3,0,3,0,1,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,2,10,,,,,,,,,,,,,3,7.404,0,,,,,,0.12037037,-0.24537037,1,0,0,7.4037,Diorite_rect,4,0,4,0,1,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,5,08,,,,,,,,,,,,,5,1.559,1,,,,,,-0.380555541,-0.392592607,1,0,0,1.5591,Obsidian_rect,5,0,5,0,1,
66751182f21224f506c8d043,SCR,2024-06-24_16h32.48.834,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,6,05,,,,,,,,,,,,,6,2.608,1,,,,,,-0.104629587,-0.407407407,1,0,0,2.6083,Pegmatite_rect,6,0,6,0,1,
