participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,1,0.074999986,-0.002777771,1,0,0,2.419,rock_grid_rect_2,3,15,-1,-1,2.419,0.362037094,-0.393518519,1,0,0,5.741,Pumice_rect,8,5.741,0,0,0,0,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,2,0.021296325,-0.003703718,1,0,0,8.01,rock_grid_rect_2,4,01,-1,-1,8.01,-0.081481439,-0.264814801,1,0,0,23.052,Basalt_rect,2,23.052,0,1,0,1,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,3,0.018518519,0.002777771,1,0,0,3.162,rock_grid_rect_2,4,09,-1,-1,3.162,0.14444443,-0.266666695,1,0,0,3.449,Diorite_rect,3,3.449,0,2,0,2,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,4,0.134259259,0.003703683,1,0,0,0.96,rock_grid_rect_2,5,14,-1,-1,0.96,-0.085185157,-0.244444459,1,0,0,2.648,Basalt_rect,2,2.648,0,3,0,3,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,5,0.055555556,0.018518519,1,0,0,2.451,rock_grid_rect_2,7,04,-1,-1,2.451,-0.062037009,-0.392592607,1,0,0,5.246,Pegmatite_rect,6,5.246,0,4,0,4,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,6,0.079629616,0.01944443,1,0,0,1.237,rock_grid_rect_2,1,06,-1,-1,1.237,0.36018527,-0.393518519,1,0,0,3.347,Pumice_rect,8,3.347,0,5,0,5,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,7,-0.04351849,-0.019444466,1,0,0,1.166,rock_grid_rect_2,1,14,-1,-1,1.166,-0.135185171,-0.251851894,1,0,0,4.099,Basalt_rect,2,4.099,0,6,0,6,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,8,0.033333319,-0.01666666,1,0,0,1.049,rock_grid_rect_2,3,14,-1,-1,1.049,0.362037094,-0.397222236,1,0,0,2.549,Pumice_rect,8,2.549,0,7,0,7,0,1,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,TCN,2024-06-25_15h04.17.449,LearnStrategy,2023.2.3,Win32,58.82352941,1,1,9,0.018518519,-0.01666666,1,0,0,0.872,rock_grid_rect_2,2,02,-1,-1,0.872,0.382407436,-0.390740783,1,0,0,2.546,Pumice_rect,8,2.546,0,8,0,8,0,1,,,,,,,,,,,,,
