participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,1,0.52275655,0.25356109,1,0,0,4.2896,Peridotite_07,7,07,5,8,4.29,7,07,-0.155413935,-0.243949045,1,0,0,6.0457,Basalt_rect,2,6.046,0,0,0,0,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,2,0.260567479,0.109959382,1,0,0,1.6295,Pumice_13,8,13,4,6,1.629,8,13,0.328199331,-0.378286102,1,0,0,5.1277,Pumice_rect,8,5.128,1,1,0,1,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,3,0.352287224,-0.101273885,1,0,0,4.0469,Basalt_14,2,14,3,7,4.047,2,14,-0.369426752,-0.381992063,1,0,0,7.4196,Obsidian_rect,5,7.42,0,2,0,2,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,4,-0.286045147,-0.261551895,1,0,0,1.412,Peridotite_02,7,02,2,3,1.412,7,02,0.14475984,-0.257846089,1,0,0,4.6079,Diorite_rect,3,4.608,0,3,0,3,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,5,0.025246162,-0.300463245,1,0,0,1.33,Gabbro_05,4,05,2,5,1.33,4,05,-0.088708729,-0.243022632,1,0,0,7.7923,Basalt_rect,2,7.792,0,4,0,4,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,6,-0.069253054,-0.149449984,1,0,0,0.9302,Basalt_05,2,05,3,4,0.93,2,05,-0.131325886,-0.379212514,1,0,0,4.4082,Pegmatite_rect,6,4.408,0,5,0,5,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,7,0.389345828,0.272090314,1,0,0,1.4294,Diorite_10,3,10,5,7,1.429,3,10,0.359698914,-0.238390336,1,0,0,3.9253,Gabbro_rect,4,3.925,0,6,0,6,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,8,0.068789809,0.437927032,1,0,0,2.0797,Andesite_02,1,02,6,5,2.08,1,02,0.152171452,-0.268037172,1,0,0,6.9735,Diorite_rect,3,6.974,0,7,0,7,0,1,,,,,,,,,,,,
62b0ff84054c6ca32f481c65,SCR,2024-06-20_13h34.39.297,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,9,0.56352057,0.096062455,1,0,0,1.4304,Gabbro_16,4,16,4,8,1.43,4,16,0.378228177,-0.258772424,1,0,0,7.8437,Gabbro_rect,4,7.844,1,8,0,8,0,1,,,,,,,,,,,,
