"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Peridotite","text_Pegmatite","time_obs","time_resp","text_Andesite","text_Basalt","text_Diorite","text_Gabbro","time_fb1","time_fb2","text_Pumice"
"1920","953","true","chrome","131.0.0","false","Windows 10","true","175.44","false","true","browser-check","0","2.0.0","351","6575fb1c1a04b30cfb2832d5","4","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","5062002","6575fb1c1a04b30cfb2832d5","4","26","5061831","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","5064083","6575fb1c1a04b30cfb2832d5","4","26","1067","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","5064084","6575fb1c1a04b30cfb2832d5","4","26","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","5079946","6575fb1c1a04b30cfb2832d5","4","26","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","5116645","6575fb1c1a04b30cfb2832d5","4","26","36698","","","","","","","","[{""page_index"":0,""viewing_time"":13012},{""page_index"":1,""viewing_time"":12028},{""page_index"":2,""viewing_time"":11658}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","5117740","6575fb1c1a04b30cfb2832d5","4","26","1094","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","5122939","6575fb1c1a04b30cfb2832d5","4","26","5198","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","0","test","1","Diorite","Gabbro","05","false","3","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","5123453","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","5132892","6575fb1c1a04b30cfb2832d5","4","26","9439","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","6","class_response","0","test","2","Peridotite","Pegmatite","09","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","5133397","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","5136002","6575fb1c1a04b30cfb2832d5","4","26","2605","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","0","class_response","0","test","3","Andesite","Andesite","03","true","1","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","5136512","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","5137633","6575fb1c1a04b30cfb2832d5","4","26","1119","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","4","Obsidian","Obsidian","02","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","5138145","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","5142312","6575fb1c1a04b30cfb2832d5","4","26","4166","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","1","class_response","0","test","5","Basalt","Obsidian","07","false","2","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","5142822","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","5144517","6575fb1c1a04b30cfb2832d5","4","26","1694","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","6","Pumice","Andesite","14","false","8","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","5145029","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","5151214","6575fb1c1a04b30cfb2832d5","4","26","6184","","","","","","","","","<img src= ""rock_img/I_Andesite_01.jpg"" style=""width:8cm; height:5.87cm;""><p>What type of rock is this?</p>","3","class_response","0","test","7","Gabbro","Andesite","01","false","4","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","5151718","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","5154715","6575fb1c1a04b30cfb2832d5","4","26","2997","","","","","","","","","<img src= ""rock_img/I_Pegmatite_05.jpg"" style=""width:8cm; height:7.300000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","8","Pegmatite","Pegmatite","05","true","6","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","5155216","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","5157439","6575fb1c1a04b30cfb2832d5","4","26","2222","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","7","class_response","0","test","9","Pumice","Pegmatite","06","false","8","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","5157943","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","5161256","6575fb1c1a04b30cfb2832d5","4","26","3312","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","10","Andesite","Diorite","10","false","1","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","5161761","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","5164679","6575fb1c1a04b30cfb2832d5","4","26","2918","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","2","class_response","0","test","11","Diorite","Diorite","14","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","5165185","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","5167371","6575fb1c1a04b30cfb2832d5","4","26","2184","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","4","class_response","0","test","12","Obsidian","Basalt","08","false","5","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","5167877","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","5171778","6575fb1c1a04b30cfb2832d5","4","26","3899","","","","","","","","","<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>","6","class_response","0","test","13","Peridotite","Pegmatite","12","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","5172292","6575fb1c1a04b30cfb2832d5","4","26","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","5174288","6575fb1c1a04b30cfb2832d5","4","26","1995","","","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","0","test","14","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","","","",""
